DataSet,Class1,Class2,F1,F2,L1,L2,L3
D31,1,all,3.0342691506506045,0.02171970762219908,0.19602093297961135,0.03225806451612903,0.5
D31,10,all,0.4224810296253345,0.02181851073317818,0.064784353931138,0.03225806451612903,0.5
D31,11,all,1.7573891655054839,0.017571163511139458,0.0651632204166722,0.03225806451612903,0.5
D31,12,all,1.7527692002872977,0.018267980247561953,0.06456456269869124,0.03225806451612903,0.5
D31,13,all,1.4303349518671997,0.022328833745343828,0.06482492610459831,0.03225806451612903,0.5
D31,14,all,0.12598818753483917,0.020357137421504877,0.06470671448910999,0.03225806451612903,0.5
D31,15,all,0.24748811938700072,0.01744304652874285,0.06493311410648103,0.03225806451612903,0.5
D31,16,all,1.2984693534772025,0.017582298827111233,0.06514726459797306,0.03225806451612903,0.5
D31,17,all,0.4915558519216314,0.015412190035758744,0.06493505417229409,0.03225806451612903,0.5
D31,18,all,2.270094873808739,0.020194990791801076,0.07233475472115111,0.03225806451612903,0.5
D31,19,all,1.856632937770932,0.018746943350061177,0.06487988329150832,0.03225806451612903,0.5
D31,2,all,0.6994393562732651,0.020009980255122413,0.06459658780165162,0.03225806451612903,0.5
D31,20,all,2.6656361786796823,0.017614153132637065,0.4126138210098401,0.03225806451612903,0.5
D31,21,all,1.2856652052670328,0.02182588103452835,0.0648910828572791,0.03225806451612903,0.5
D31,22,all,2.2042856959604546,0.023345676724602783,0.0650904605077829,0.03225806451612903,0.5
D31,23,all,2.7736172172712217,0.037843036662122694,0.23675629163661868,0.03225806451612903,0.5
D31,24,all,2.0506274807926257,0.021323339052580662,0.06987742079727852,0.03225806451612903,0.5
D31,25,all,3.3010399481615473,0.016821750661366663,0.10026198763135977,0.03225806451612903,0.5
D31,26,all,0.7424059940065131,0.027153559270263503,0.06467933603348149,0.03225806451612903,0.5
D31,27,all,0.6973418248100165,0.017791222911204694,0.06473007399110911,0.03225806451612903,0.5
D31,28,all,1.2151867821455749,0.01890541623822511,0.06502040944613117,0.03225806451612903,0.5
D31,29,all,0.531474897198752,0.01586364191020473,0.064854441042847,0.03225806451612903,0.5
D31,3,all,1.391424225578347,0.022758083442657565,0.06454408345858687,0.03225806451612903,0.5
D31,30,all,2.824624213280071,0.015853951751360444,0.25933387032486305,0.03225806451612903,0.5
D31,31,all,2.444831382232858,0.014067851633141254,0.06564191543274932,0.03225806451612903,0.5
D31,4,all,1.2974006295607836,0.022076676644868145,0.06533897491538013,0.03225806451612903,0.5
D31,5,all,2.677824065409746,0.020452586246730173,0.06900122129745119,0.03225806451612903,0.5
D31,6,all,2.091638058394204,0.02608154931918533,0.07328436197906038,0.03225806451612903,0.5
D31,7,all,2.583600888536696,0.02172153308383376,0.06524870276129266,0.03225806451612903,0.5
D31,8,all,0.15248378004125637,0.02089131313236415,0.06466636204039888,0.03225806451612903,0.5
D31,9,all,1.7722428354114,0.018999495967224368,0.0650964433489717,0.03225806451612903,0.5
R15,1,all,6.262821298016514E-4,0.008749821972429786,0.13360442781110077,0.06666666666666667,0.5
R15,10,all,2.9497639678949765,0.006660080147016477,0.22172068249938198,0.06666666666666667,0.5
R15,11,all,5.357117879326552,-8.501916144531461E-4,0.22518955377497263,0.06666666666666667,0.5
R15,12,all,4.2403644074665205,0.012894326985405932,0.22743421301288302,0.06666666666666667,0.5
R15,13,all,4.263920274457687,0.0070136804613353575,0.22709112003315315,0.06666666666666667,0.5
R15,14,all,5.243392846736088,0.0011597736308987146,0.22392998068998055,0.06666666666666667,0.5
R15,15,all,2.9400774492223354,0.011320709711504819,0.22671498823637104,0.06666666666666667,0.5
R15,2,all,0.4379692059895343,0.012260012566602425,0.13373021196783683,0.06666666666666667,0.5
R15,3,all,0.2736843575938509,0.009222223226628903,0.133624471315166,0.06666666666666667,0.5
R15,4,all,0.359093204489919,0.011007735188617127,0.13335088505227352,0.06666666666666667,0.5
R15,5,all,0.3593936887266413,0.006884786288003095,0.133524718320159,0.06666666666666667,0.5
R15,6,all,0.374709234249097,0.010058191599787413,0.13343516589576063,0.06666666666666667,0.5
R15,7,all,0.40475574391378044,0.010210264388562765,0.13362859961097365,0.06666666666666667,0.5
R15,8,all,0.2532667228032439,0.010242545878434445,0.13343404783582766,0.06666666666666667,0.5
R15,9,all,5.629984968880025,-0.008159483708562459,0.22591535274803784,0.06666666666666667,0.5
