DataSet,F1-Mean,SD,F2-Mean,SD,L1-Mean,SD,L2-Mean,SD,L3-Mean,SD
appendicitis,0.8218,0.00,0.0446,0.00,0.4182,0.00,0.1981,0.00,0.5000,0.00
balance,0.2347,0.15,1.0000,0.00,0.3687,0.08,0.1102,0.05,0.3500,0.21
banana,0.0098,0.00,0.6257,0.00,0.8966,0.00,0.4483,0.00,0.5000,0.00
bands,0.1543,0.00,0.0000,0.00,0.7855,0.00,0.3041,0.00,0.4005,0.00
bupa,0.0548,0.00,0.0732,0.00,1.0068,0.00,0.3014,0.00,0.3435,0.00
cleveland,0.5607,0.45,0.1602,0.04,0.5757,0.19,0.2673,0.12,0.4890,0.03
contraceptive,0.1988,0.12,0.7659,0.04,0.9025,0.05,0.3232,0.04,0.3275,0.02
ecoli,12.6622,21.97,0.0416,0.13,0.3304,0.25,0.1477,0.12,0.4710,0.10
glass,3.6455,2.62,0.0017,0.00,0.4705,0.20,0.2548,0.13,0.4754,0.09
haberman,0.1832,0.00,0.7177,0.00,0.5533,0.00,0.2680,0.00,0.4925,0.00
hayes-roth,0.3465,0.20,0.5309,0.33,0.6645,0.13,0.2321,0.14,0.2202,0.11
ionosphere,0.6094,0.00,0.0000,0.00,0.4523,0.00,0.1168,0.00,0.1490,0.00
iris,28.4550,18.74,0.0179,0.01,0.2917,0.20,0.0233,0.03,0.0090,0.01
led7digit,5.9341,2.18,1.0000,0.00,0.2089,0.06,0.0473,0.04,0.0274,0.03
magic,0.5587,0.00,0.0815,0.00,0.7174,0.00,0.2135,0.00,0.2365,0.00
newthyroid,5.8349,2.83,0.0005,0.00,0.7013,0.14,0.1100,0.02,0.2338,0.09
page-blocks,2.5433,1.44,0.0004,0.00,60.5615,66.12,0.0391,0.03,0.1583,0.13
penbased,11.4838,11.66,0.0458,0.11,4.2620,2.55,0.0020,0.01,0.0153,0.02
phoneme,0.2699,0.00,0.2708,0.00,0.6672,0.00,0.2567,0.00,0.3355,0.00
pima,0.5743,0.00,0.2516,0.00,0.6887,0.00,0.3503,0.00,0.5000,0.00
ring,0.0505,0.00,0.0000,0.00,0.7206,0.00,0.2323,0.00,0.2045,0.00
saheart,0.3907,0.00,0.3590,0.00,0.9081,0.00,0.2771,0.00,0.3255,0.00
satimage,6.3640,4.73,0.0000,0.00,6.2676,4.60,0.0269,0.04,0.0268,0.04
segment,31.9623,34.24,0.0000,0.00,0.3740,0.13,0.0229,0.05,0.0125,0.03
shuttle,64.3559,261.06,0.0000,0.00,1.8729,2.17,0.0283,0.12,0.0769,0.14
sonar,0.4616,0.00,0.0000,0.00,0.6469,0.00,0.1875,0.00,0.1340,0.00
spectfheart,0.5501,0.00,0.0000,0.00,3.6855,0.00,0.0936,0.00,0.2115,0.00
titanic,0.4867,0.00,1.0000,0.00,0.4483,0.00,0.2240,0.00,0.3010,0.00
twonorm,0.4352,0.00,0.0041,0.00,0.8313,0.00,0.0226,0.00,0.0080,0.00
vehicle,0.8032,0.45,0.0282,0.06,2.8113,1.25,0.0584,0.11,0.1741,0.11
wine,9.4815,7.34,0.0000,0.00,0.2915,0.08,0.0105,0.01,0.0022,0.00
wisconsin,3.5536,0.00,0.2169,0.00,1.4386,0.00,0.0278,0.00,0.0085,0.00
yeast,13.7682,36.83,0.0037,0.01,0.3837,0.24,0.1863,0.13,0.4896,0.06
