DataSet,Class1,Class2,F1,F2,L1,L2,L3
appendicitis,1,all,0.8218494798763977,0.04464209913632891,0.4181898467806369,0.19811320754716982,0.5
balance,1,all,0.3838616036646043,1.0,0.5695942404398611,0.048,0.0725
balance,2,all,0.0010972411263929437,1.0,0.15704613422337982,0.0784,0.5
balance,3,all,0.3838616036646046,1.0,0.5695519260240401,0.048,0.0765
banana,1,all,0.009808837921454278,0.6257244395844723,0.8966377840217535,0.4483018867924528,0.5
bands,1,all,0.15433765810850844,0.0,0.7854572050607854,0.3041095890410959,0.4005
bupa,1,all,0.05479704371346128,0.07320217050564,1.006823151192692,0.30144927536231886,0.3435
cleveland,1,all,0.7601187025649077,0.209468598191358,0.5419137850733268,0.16161616161616163,0.1155
cleveland,2,all,0.09835529472995745,0.11637571299761859,0.36399262310300984,0.18181818181818182,0.5
cleveland,3,all,0.35030082812652313,0.09394088305321108,0.23607359807221528,0.11784511784511785,0.5
cleveland,4,all,0.5249920964315485,0.08516434432060499,0.2362170667236196,0.11784511784511785,0.5
cleveland,5,all,0.5958805282272915,0.08023316043727374,0.0879835970232481,0.04377104377104377,0.5
contraceptive,1,all,0.1277454034753686,0.75,0.8416211237923903,0.3122878479293958,0.329
contraceptive,2,all,0.24527085808817914,0.7272727272727273,0.45237493998934936,0.22606924643584522,0.5
contraceptive,3,all,0.10108754510311281,0.8125,0.6939339719935376,0.3469110658520027,0.5
ecoli,1,all,1.1747779900853117,0.0,0.5311336707221526,0.14285714285714285,0.095
ecoli,2,all,0.8690556386663064,0.0,0.49303192733800705,0.22916666666666666,0.5
ecoli,3,all,1.0309329840683126,0.0,0.012184753770125184,0.005952380952380952,0.5
ecoli,4,all,40.62799401197611,0.0,0.022235515186514353,0.005952380952380952,0.5
ecoli,5,all,1.0578432733631236,0.0,0.225863071024056,0.10416666666666667,0.5
ecoli,6,all,1.167851269171961,0.0,0.15130420396517477,0.05952380952380952,0.5
ecoli,7,all,65.00302114803605,0.0,0.06194455184236468,0.01488095238095238,0.5
ecoli,8,all,0.5587636852454065,0.0,0.33517265679681707,0.15476190476190477,0.5
glass,1,all,0.644587608611017,6.27877712131448E-5,0.6701579379674986,0.32710280373831774,0.5
glass,2,all,0.18786335400577073,0.008188072304346187,0.7107568830961531,0.35514018691588783,0.5
glass,3,all,0.39236696496313994,6.042370952217376E-7,0.15943888797499675,0.0794392523364486,0.5
glass,4,all,1.4256083623643805,0.0036871552813881807,0.13365528673180407,0.06074766355140187,0.5
glass,5,all,0.9413509273966881,0.0,0.08764832525042157,0.04205607476635514,0.5
glass,6,all,2.3453740200572564,0.01394712569285524,0.28668969842298064,0.13551401869158877,0.5
