@relation banana
@attribute At1 real [-3.09, 2.81]
@attribute At2 real [-2.39, 3.19]
@attribute Class {-1.0, 1.0}
@inputs At1, At2
@outputs Class
@data
-1.52, -1.15, 1.0
-1.05, 0.72, -1.0
0.0809, 1.93, 1.0
1.26, 1.21, 1.0
0.444, 1.99, -1.0
-0.687, -1.29, -1.0
1.12, 0.626, -1.0
1.3, 0.196, -1.0
0.408, 0.0673, 1.0
-1.41, 1.11, -1.0
1.16, 0.978, -1.0
0.0284, 1.62, -1.0
0.00665, 0.0118, 1.0
0.785, 0.0481, 1.0
-0.0314, -1.01, -1.0
-0.285, -1.1, -1.0
-0.508, -0.715, 1.0
0.603, -0.108, 1.0
0.888, 0.817, -1.0
-1.99, 0.549, -1.0
-0.0868, -1.33, -1.0
-0.0269, 0.958, 1.0
-0.697, 1.35, -1.0
0.408, 1.16, -1.0
0.615, -0.0228, 1.0
-1.26, 0.23, 1.0
-0.562, -0.873, -1.0
0.926, 0.972, -1.0
1.94, -0.65, -1.0
-0.903, 0.101, 1.0
0.386, 1.55, -1.0
-1.1, 1.16, -1.0
1.07, -0.985, 1.0
1.49, 1.55, 1.0
-0.202, 0.712, 1.0
1.71, 1.1, 1.0
-1.7, 0.872, -1.0
0.741, -1.2, 1.0
-0.412, 0.492, 1.0
-0.0674, 1.85, -1.0
1.15, 0.243, -1.0
2.06, -0.482, -1.0
0.291, -0.795, -1.0
1.1, -0.695, 1.0
-1.54, 0.685, -1.0
0.254, -0.862, -1.0
1.63, 0.475, -1.0
0.945, 0.309, -1.0
1.42, -0.32, 1.0
0.378, -0.0609, 1.0
1.19, 0.113, 1.0
-0.168, 1.32, -1.0
1.23, -0.0582, 1.0
0.44, 0.399, 1.0
0.308, -1.06, -1.0
1.05, 0.701, -1.0
-0.595, 1.46, -1.0
-1.86, -0.963, 1.0
0.863, 0.765, -1.0
-0.592, -1.17, -1.0
0.122, -0.041, 1.0
1.05, 0.453, -1.0
-0.187, -1.38, -1.0
-0.619, -0.748, -1.0
-1.02, -0.296, 1.0
-0.387, 0.26, 1.0
1.69, -0.724, -1.0
-1.58, -1.26, 1.0
