@relation bands
@attribute Proof_cut real [25.0, 72.5]
@attribute Viscosity integer [35, 72]
@attribute Caliper real [0.133, 0.533]
@attribute Ink_temperature real [11.2, 24.5]
@attribute Humifity integer [57, 105]
@attribute Roughness real [0.056, 1.25]
@attribute Blade_pressure integer [16, 70]
@attribute Varnish_pct real [0.0, 35.8]
@attribute Press_speed integer [0, 2600]
@attribute Ink_pct real [41.0, 76.9]
@attribute Solvent_pct real [22.0, 53.4]
@attribute Esa_voltage real [0.0, 16.0]
@attribute ESA_amperage real [0.0, 6.0]
@attribute Wax real [0.0, 3.1]
@attribute Hardener real [0.0, 3.0]
@attribute Roller_durometer real [28.0, 60.0]
@attribute Density integer [30, 45]
@attribute Anode_ratio real [83.33, 117.86]
@attribute Chrome_content integer [90, 100]
@attribute Band_type {band, noband}
@inputs Proof_cut, Viscosity, Caliper, Ink_temperature, Humifity, Roughness, Blade_pressure, Varnish_pct, Press_speed, Ink_pct, Solvent_pct, Esa_voltage, ESA_amperage, Wax, Hardener, Roller_durometer, Density, Anode_ratio, Chrome_content
@outputs Band_type
@data
40.0,42,0.2,14.5,74,1.0,25,8.0,2100,57.5,34.5,0.0,0.0,2.3,0.7,35.0,40,107.4,100,band
37.5,44,0.2,16.0,90,0.75,28,20.0,2050,45.0,35.0,0.0,0.0,2.4,0.8,35.0,40,107.4,100,noband
37.5,44,0.2,16.5,91,0.75,30,21.7,2050,43.5,34.8,0.0,0.0,2.7,0.8,35.0,40,107.4,100,noband
37.5,44,0.3,15.0,85,0.75,34,0.0,1400,62.5,37.5,0.0,0.0,2.8,1.0,28.0,40,103.12,100,noband
35.0,44,0.3,16.0,80,1.0,32,7.0,1400,58.1,34.9,0.0,0.0,3.0,1.0,28.0,40,103.12,100,noband
25.0,38,0.2,13.0,75,0.625,25,0.0,1600,57.5,42.5,0.0,0.0,2.5,0.85,30.0,40,103.12,100,noband
35.0,38,0.433,16.0,70,0.75,50,0.0,1400,62.5,37.5,0.0,0.0,2.8,1.5,28.0,40,103.125,100,noband
40.0,39,0.233,15.0,77,0.75,20,9.4,2000,52.1,38.5,0.0,0.0,2.5,1.0,40.0,40,103.22,100,noband
55.0,37,0.267,16.0,75,0.625,20,5.6,1850,55.6,38.9,0.0,0.0,0.8,0.75,33.0,40,109.67,100,noband
42.5,41,0.2,14.0,80,0.625,20,7.4,1750,53.2,39.4,0.0,0.0,2.1,0.9,35.0,40,96.97,100,noband
49.0,43,0.35,14.5,74,0.75,23,9.1,1900,56.8,34.1,2.0,0.0,0.7,0.2,35.0,40,103.22,100,band
60.0,49,0.333,14.9,77,0.75,27,0.0,1650,58.8,41.2,0.0,0.0,2.5,0.7,33.0,40,103.33,100,noband
55.0,49,0.267,12.5,70,0.625,30,5.6,1750,55.6,38.9,0.0,0.0,2.5,0.9,34.0,40,106.66,100,band
40.0,49,0.233,15.3,74,1.0,34,0.0,2000,62.5,37.5,0.0,0.0,2.2,1.0,35.0,40,100.0,100,noband
35.0,48,0.233,16.0,86,0.562,30,16.1,1900,44.6,39.3,0.0,0.0,2.5,1.5,30.0,40,103.22,100,noband
47.5,68,0.4,14.0,78,0.75,22,0.0,1900,62.5,37.5,0.0,0.0,2.1,1.7,33.0,40,103.125,100,band
40.0,60,0.233,15.0,78,1.0,28,0.0,2380,60.0,40.0,3.0,0.0,2.5,1.0,30.0,40,106.66,100,band
40.0,55,0.433,15.5,92,0.75,22,9.6,1550,53.2,37.2,1.0,0.0,2.9,1.3,33.0,40,106.66,100,band
42.5,52,0.4,13.9,76,0.625,25,0.0,1800,50.0,50.0,0.0,0.0,2.5,0.9,40.0,40,106.66,100,band
47.0,67,0.4,16.0,74,0.812,38,0.0,1900,58.8,41.2,2.0,0.0,2.5,1.1,33.0,40,103.125,100,noband
47.0,67,0.333,16.0,82,0.562,30,1.5,1900,50.5,34.3,0.0,0.0,2.5,1.1,33.0,40,103.125,100,noband
50.0,50,0.2,15.7,90,0.75,50,0.0,1420,62.5,37.5,0.0,0.0,3.0,1.35,40.0,40,106.45,100,noband
35.0,56,0.2,15.0,80,0.812,40,8.6,2100,53.8,37.6,8.0,0.0,1.7,1.0,30.0,40,100.0,100,noband
45.0,54,0.333,15.5,76,0.812,30,5.6,2250,55.6,38.9,2.0,0.0,2.5,1.3,30.0,40,106.45,100,noband
47.5,68,0.35,16.0,80,0.75,30,0.0,2250,52.1,47.9,0.0,0.0,1.5,0.75,35.0,40,106.45,100,noband
37.5,70,0.4,15.0,65,0.75,25,5.4,1500,54.3,40.2,0.0,0.0,2.3,0.9,40.0,40,106.66,100,noband
50.0,60,0.4,16.0,76,0.562,28,5.6,1600,55.6,38.9,0.0,0.0,1.0,0.5,35.0,40,110.0,100,noband
50.0,62,0.4,15.4,98,0.75,25,10.6,1750,48.1,41.3,0.0,0.0,2.8,1.3,33.0,40,110.0,100,noband
45.0,42,0.233,16.0,84,0.625,28,0.0,2220,54.3,45.7,0.0,0.0,2.5,1.0,30.0,35,100.0,100,noband
55.0,54,0.267,15.0,70,0.625,60,3.4,1600,56.8,39.8,0.0,0.0,1.0,0.4,45.0,40,103.3,100,noband
37.5,54,0.3,14.5,80,1.0,20,10.9,2400,54.3,34.8,0.0,0.0,2.5,0.4,30.0,40,103.3,100,noband
72.5,54,0.2,14.5,82,0.75,50,2.2,1900,56.7,41.6,0.0,0.0,3.0,0.9,40.0,33,100.0,100,noband
50.0,56,0.2,14.3,105,0.75,70,0.0,1600,55.5,44.5,0.0,0.0,3.0,1.0,45.0,35,100.0,100,band
30.0,51,0.333,16.0,76,0.875,25,19.1,2250,42.7,38.2,3.0,0.0,1.2,0.5,30.0,35,103.3,100,noband
30.0,58,0.467,15.0,96,0.75,30,0.0,2300,58.8,41.2,6.0,0.0,3.0,0.75,30.0,35,100.0,100,noband
52.5,54,0.433,16.3,90,0.75,38,0.0,1800,62.5,38.5,0.0,0.0,2.9,1.1,33.0,35,100.0,100,noband
55.0,49,0.233,15.6,80,1.0,30,35.8,1950,41.7,22.5,1.0,0.0,2.7,1.0,40.0,37,100.0,100,band
45.0,47,0.2,14.0,80,0.75,20,18.0,1800,45.0,37.0,0.0,0.0,2.5,0.8,40.0,40,96.9,100,noband
37.5,56,0.3,14.0,82,0.625,28,0.0,1700,58.8,41.2,2.0,0.0,2.5,0.5,40.0,35,100.0,100,noband
57.5,53,0.367,14.5,70,0.625,58,20.2,1600,42.0,37.8,3.0,0.0,3.0,1.0,40.0,35,105.2,100,noband
57.5,51,0.333,15.2,70,0.625,25,11.1,1850,50.5,38.4,3.0,0.0,2.5,0.8,34.0,30,100.0,100,noband
52.5,55,0.333,14.0,70,0.625,55,7.9,1600,57.5,34.44,4.0,0.0,3.0,0.8,40.0,45,93.75,100,noband
35.0,72,0.367,15.2,72,1.0,36,0.0,2200,65.2,34.8,0.0,0.0,2.5,1.0,30.0,40,93.6,90,band
40.0,60,0.2,15.5,73,0.75,28,0.0,1850,65.2,34.8,0.0,0.0,2.8,1.0,30.0,40,100.0,90,band
60.0,50,0.233,14.5,70,0.75,45,15.6,1650,45.8,38.5,2.0,0.0,2.5,1.0,40.0,40,100.0,100,noband
65.0,50,0.267,15.0,86,0.25,28,10.5,1700,52.6,36.8,2.0,0.0,2.5,0.6,40.0,40,103.3,100,noband
40.0,50,0.3,13.0,74,0.25,25,0.0,2500,58.8,41.2,2.0,0.0,2.5,0.5,30.0,40,114.29,100,noband
40.0,43,0.2,13.5,76,0.75,52,4.4,1726,55.0,40.6,0.0,0.0,3.0,1.0,40.0,40,96.77,100,noband
40.0,51,0.233,15.0,70,0.25,24,0.5,0,59.5,40.0,0.0,0.0,3.0,1.0,35.0,40,100.0,100,band
45.0,43,0.2,16.0,80,0.75,30,3.1,2200,51.0,45.9,0.0,0.0,2.5,1.3,35.0,40,103.33,100,noband
40.0,45,0.233,13.6,90,0.75,45,0.0,1386,62.5,37.5,0.0,0.0,3.0,0.7,40.0,40,96.77,100,band
50.0,43,0.267,14.0,74,0.625,20,2.2,1800,56.2,41.6,0.0,0.0,3.0,1.0,38.0,40,96.875,100,band
