@relation ionosphere
@attribute Pulse1 integer [0, 1]
@attribute Pulse3 real [-1.0, 1.0]
@attribute Pulse4 real [-1.0, 1.0]
@attribute Pulse5 real [-1.0, 1.0]
@attribute Pulse6 real [-1.0, 1.0]
@attribute Pulse7 real [-1.0, 1.0]
@attribute Pulse8 real [-1.0, 1.0]
@attribute Pulse9 real [-1.0, 1.0]
@attribute Pulse10 real [-1.0, 1.0]
@attribute Pulse11 real [-1.0, 1.0]
@attribute Pulse12 real [-1.0, 1.0]
@attribute Pulse13 real [-1.0, 1.0]
@attribute Pulse14 real [-1.0, 1.0]
@attribute Pulse15 real [-1.0, 1.0]
@attribute Pulse16 real [-1.0, 1.0]
@attribute Pulse17 real [-1.0, 1.0]
@attribute Pulse18 real [-1.0, 1.0]
@attribute Pulse19 real [-1.0, 1.0]
@attribute Pulse20 real [-1.0, 1.0]
@attribute Pulse21 real [-1.0, 1.0]
@attribute Pulse22 real [-1.0, 1.0]
@attribute Pulse23 real [-1.0, 1.0]
@attribute Pulse24 real [-1.0, 1.0]
@attribute Pulse25 real [-1.0, 1.0]
@attribute Pulse26 real [-1.0, 1.0]
@attribute Pulse27 real [-1.0, 1.0]
@attribute Pulse28 real [-1.0, 1.0]
@attribute Pulse29 real [-1.0, 1.0]
@attribute Pulse30 real [-1.0, 1.0]
@attribute Pulse31 real [-1.0, 1.0]
@attribute Pulse32 real [-1.0, 1.0]
@attribute Pulse33 real [-1.0, 1.0]
@attribute Pulse34 real [-1.0, 1.0]
@attribute Class {g, b}
@inputs Pulse1, Pulse3, Pulse4, Pulse5, Pulse6, Pulse7, Pulse8, Pulse9, Pulse10, Pulse11, Pulse12, Pulse13, Pulse14, Pulse15, Pulse16, Pulse17, Pulse18, Pulse19, Pulse20, Pulse21, Pulse22, Pulse23, Pulse24, Pulse25, Pulse26, Pulse27, Pulse28, Pulse29, Pulse30, Pulse31, Pulse32, Pulse33, Pulse34
@outputs Class
@data
1, 0.023, -0.0060, -0.099, -0.119, -0.0080, -0.118, 0.147, 0.066, 0.038, -0.063, 0.0, 0.0, -0.046, -0.155, -0.0030, -0.102, -0.116, -0.054, 0.018, 0.037, 0.015, 0.0090, 0.035, -0.015, -0.032, 0.092, -0.079, 0.0070, 0.0, 0.0, -0.0, 0.12, b
1, 0.976, -0.106, 0.946, -0.208, 0.928, -0.284, 0.86, -0.273, 0.798, -0.479, 0.782, -0.508, 0.746, -0.614, 0.579, -0.681, 0.379, -0.736, 0.363, -0.766, 0.319, -0.798, 0.228, -0.816, 0.137, -0.825, 0.046, -0.824, -0.043, -0.813, -0.138, -0.81, g
0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, b
1, 1.0, -0.867, 1.0, 0.223, 0.855, -0.399, 1.0, -0.121, 1.0, 0.351, 1.0, 0.078, 1.0, -0.148, 1.0, -1.0, 1.0, -1.0, 0.618, 0.158, 1.0, 0.623, 1.0, -0.17, 1.0, 0.359, 1.0, -0.665, 1.0, 0.884, 1.0, -0.188, b
1, 1.0, 0.074, 1.0, 0.034, 1.0, -0.056, 1.0, 0.088, 1.0, 0.197, 1.0, 0.203, 1.0, 0.128, 1.0, 0.106, 1.0, 0.271, 1.0, 0.448, 1.0, 0.418, 1.0, 0.2, 1.0, 0.367, 0.956, 0.486, 1.0, 0.325, 1.0, 0.467, g
0, 0.0, 0.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, b
0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, -1.0, -0.719, 1.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 0.562, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, b
1, 1.0, -0.0060, 1.0, -0.098, 1.0, -0.076, 1.0, -0.106, 1.0, -0.111, 1.0, -0.395, 1.0, -0.156, 0.921, -0.319, 0.865, -0.345, 0.917, -0.441, 0.961, -0.469, 0.819, -0.404, 0.827, -0.422, 0.758, -0.382, 0.804, -0.406, 0.744, -0.45, g
1, 1.0, -0.062, 1.0, 0.029, 1.0, -0.051, 1.0, -0.017, 1.0, -0.117, 0.845, -0.052, 0.934, -0.066, 0.692, -0.074, 0.657, -0.204, 0.949, -0.316, 0.809, -0.317, 0.849, -0.348, 0.725, -0.292, 0.731, -0.386, 0.544, -0.263, 0.642, -0.395, g
1, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -0.018, 1.0, -1.0, 1.0, 1.0, 1.0, -0.856, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 1.0, 1.0, 1.0, -0.791, 1.0, 1.0, 1.0, 1.0, b
1, 0.882, -0.146, 0.934, -0.111, 0.921, -0.164, 0.883, -0.17, 0.885, -0.318, 0.853, -0.315, 0.821, -0.359, 0.807, -0.336, 0.752, -0.47, 0.706, -0.472, 0.662, -0.501, 0.613, -0.481, 0.568, -0.546, 0.502, -0.599, 0.471, -0.574, 0.422, -0.581, g
1, 0.912, 0.043, 0.942, 0.023, 0.947, 0.053, 0.936, 0.013, 0.919, 0.063, 0.928, 0.121, 0.92, 0.062, 0.889, 0.127, 0.837, 0.144, 0.81, 0.118, 0.77, 0.142, 0.758, 0.113, 0.736, 0.133, 0.664, 0.153, 0.709, 0.108, 0.653, 0.114, g
