@relation unknow
@attribute a1 real [13.0, 334177.0]
@attribute a2 real [0.0, 256382.0]
@attribute a3 real [3.0, 5323.0]
@attribute a4 real [1.0, 893.0]
@attribute a5 real [0.0, 675.0]
@attribute a6 real [-457916.0, 575241.0]
@attribute a7 real [-297172.0, 238321.0]
@attribute a8 real [-205895.0, 179851.0]
@attribute a9 real [0.0, 89958.0]
@attribute a10 real [57.0, 495561.0]
@attribute a11 {g, h}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9, a10
@outputs a11
@data
26977.0, 9724.0, 2306.0, 459.0, 24.0, -12317.0, 16287.0, 1648.0, 3675.0, 197338.0, g
39176.0, 26382.0, 2797.0, 345.0, 2.0, -38124.0, 25422.0, 17057.0, 6497.0, 299173.0, g
414.0, 25658.0, 3041.0, 204.0, 102.0, 39265.0, 30505.0, -2335.0, 634.0, 91228.0, g
26893.0, 17768.0, 2844.0, 378.0, 236.0, -1671.0, -8159.0, -15811.0, 23821.0, 10902.0, g
28088.0, 6808.0, 225.0, 59.0, 317.0, -7709.0, -17411.0, -2859.0, 27549.0, 146596.0, g
35315.0, 16406.0, 2687.0, 314.0, 18.0, 44324.0, 2992.0, -9498.0, 5231.0, 151136.0, g
1923.0, 11444.0, 2366.0, 599.0, 304.0, -10422.0, -18422.0, 8921.0, 24262.0, 222838.0, g
23787.0, 13453.0, 2325.0, 501.0, 31.0, -24077.0, -14559.0, 9071.0, 4575.0, 10702.0, g
56521.0, 25534.0, 3302.0, 173.0, 87.0, 37594.0, 32893.0, -17352.0, 2379.0, 234512.0, g
27428.0, 12636.0, 2756.0, 392.0, 213.0, -133.0, 19197.0, 546.0, 3597.0, 255342.0, g
47836.0, 20812.0, 3392.0, 256.0, 141.0, 19236.0, 37475.0, -8701.0, 468.0, 215892.0, g
27882.0, 17644.0, 2746.0, 376.0, 199.0, 33244.0, 19635.0, 7669.0, 37904.0, 202109.0, g
114722.0, 5897.0, 4445.0, 54.0, 27.0, 92306.0, 93767.0, -4316.0, 2934.0, 25785.0, g
53968.0, 25405.0, 3024.0, 218.0, 112.0, 16744.0, 50671.0, -1117.0, 8986.0, 261066.0, g
49922.0, 22332.0, 3293.0, 236.0, 121.0, 6722.0, 51401.0, -12995.0, 685.0, 240119.0, g
58036.0, 16086.0, 2903.0, 231.0, 121.0, 4615.0, 18862.0, -12331.0, 4913.0, 133565.0, g
51573.0, 25264.0, 3326.0, 178.0, 91.0, 834.0, 40431.0, -17456.0, 3174.0, 235107.0, g
45415.0, 25363.0, 3139.0, 228.0, 116.0, 10349.0, 15256.0, 16218.0, 13285.0, 247465.0, g
28217.0, 17031.0, 2603.0, 37.0, 188.0, 25747.0, -9524.0, -13395.0, 14081.0, 215501.0, g
70308.0, 25174.0, 3324.0, 167.0, 86.0, -81475.0, 22391.0, -166.0, 3951.0, 243299.0, g
75867.0, 20082.0, 2974.0, 277.0, 151.0, -124634.0, 69865.0, -17387.0, 1861.0, 260741.0, g
2383.0, 15336.0, 2638.0, 446.0, 298.0, 1011.0, 13436.0, -1504.0, 5397.0, 220885.0, g
62089.0, 28864.0, 3341.0, 264.0, 18.0, -30598.0, 36342.0, -16454.0, 6479.0, 298592.0, g
72769.0, 31443.0, 3861.0, 162.0, 81.0, 11366.0, 60441.0, -18966.0, 786.0, 249506.0, g
3036.0, 1143.0, 2377.0, 378.0, 191.0, -49363.0, 22154.0, 8517.0, 1673.0, 238833.0, g
76191.0, 29703.0, 3508.0, 107.0, 57.0, -117196.0, 48078.0, -19021.0, 164.0, 242437.0, g
63805.0, 23922.0, 3475.0, 175.0, 1.0, 44123.0, 51436.0, -1849.0, 19.0, 240845.0, g
8311.0, 38219.0, 3688.0, 209.0, 109.0, -18988.0, -40773.0, 25834.0, 1997.0, 366082.0, g
21911.0, 9757.0, 223.0, 647.0, 409.0, -2018.0, -20022.0, 11516.0, 87984.0, 186455.0, g
32224.0, 1435.0, 2374.0, 512.0, 273.0, 37238.0, 18082.0, -8868.0, 221.0, 204417.0, g
32399.0, 16473.0, 258.0, 408.0, 257.0, 24995.0, 30329.0, 12875.0, 7352.0, 190318.0, g
20031.0, 6897.0, 2197.0, 8.0, 454.0, 19795.0, 14628.0, -5075.0, 11338.0, 97818.0, g
28658.0, 6673.0, 2253.0, 575.0, 316.0, -34077.0, -17538.0, -3408.0, 7689.0, 153222.0, g
23055.0, 15724.0, 2441.0, 388.0, 205.0, -11103.0, -10378.0, 11575.0, 10379.0, 174131.0, g
33776.0, 17567.0, 2701.0, 42.0, 246.0, -2528.0, -25876.0, 9423.0, 1314.0, 231062.0, g
58126.0, 28694.0, 318.0, 172.0, 93.0, 74825.0, 50152.0, -22465.0, 5798.0, 205607.0, g
5577.0, 24523.0, 2985.0, 234.0, 13.0, 24467.0, 5202.0, 5376.0, 554.0, 280757.0, g
16574.0, 11409.0, 2283.0, 583.0, 326.0, 2823.0, -7276.0, 5723.0, 45906.0, 150268.0, g
21433.0, 9541.0, 2394.0, 593.0, 357.0, 3145.0, -15039.0, 10064.0, 207.0, 109464.0, g
22394.0, 19355.0, 2597.0, 43.0, 249.0, -1689.0, -20017.0, -14605.0, 55884.0, 44902.0, g
18093.0, 7408.0, 2216.0, 802.0, 508.0, -3044.0, 6396.0, -3648.0, 6119.0, 205452.0, g
29649.0, 19076.0, 2575.0, 304.0, 164.0, -2334.0, -1788.0, 14376.0, 3242.0, 135346.0, g
72618.0, 17185.0, 2871.0, 236.0, 124.0, 28439.0, 65415.0, -15187.0, 6979.0, 265691.0, g
15132.0, 12051.0, 2348.0, 659.0, 388.0, -1338.0, -2315.0, 7269.0, 21428.0, 81919.0, g
38078.0, 17472.0, 2747.0, 301.0, 153.0, 23444.0, 30653.0, -11801.0, 20797.0, 179288.0, g
19039.0, 9967.0, 2236.0, 581.0, 352.0, -22205.0, -11722.0, -2858.0, 5675.0, 160389.0, g
40439.0, 16356.0, 2672.0, 275.0, 14.0, 57061.0, 24582.0, -1125.0, 138.0, 190253.0, g
18513.0, 9939.0, 2265.0, 63.0, 394.0, 20055.0, 13194.0, -3825.0, 40251.0, 9342.0, g
84672.0, 1828.0, 296.0, 3.0, 156.0, 35044.0, 99605.0, 10754.0, 5334.0, 273305.0, g
48268.0, 26838.0, 2706.0, 244.0, 123.0, 13835.0, -36664.0, -20275.0, 35118.0, 97574.0, g
56192.0, 29755.0, 3132.0, 22.0, 121.0, 55107.0, 49969.0, 21943.0, 1591.0, 222135.0, g
47814.0, 3937.0, 3266.0, 224.0, 114.0, 46292.0, 3427.0, -23227.0, 12068.0, 152651.0, g
12685.0, 11726.0, 2015.0, 715.0, 362.0, 1518.0, -5018.0, -11504.0, 44082.0, 152933.0, g
29171.0, 15675.0, 2852.0, 376.0, 236.0, 5072.0, 12015.0, -798.0, 196.0, 243332.0, g
2469.0, 10773.0, 2422.0, 552.0, 323.0, -7836.0, -22063.0, 3027.0, 21797.0, 214126.0, g
51167.0, 16435.0, 2622.0, 323.0, 185.0, -31098.0, 32936.0, -8724.0, 5521.0, 177361.0, g
95008.0, 24802.0, 3664.0, 145.0, 79.0, -5117.0, 81412.0, 1372.0, 51.0, 278401.0, g
81361.0, 22821.0, 3447.0, 164.0, 83.0, 44865.0, 69357.0, -17382.0, 1933.0, 252607.0, g
62932.0, 15239.0, 3131.0, 268.0, 142.0, 56442.0, 62072.0, 4325.0, 542.0, 214813.0, g
44086.0, 18885.0, 3014.0, 258.0, 135.0, 26546.0, -28558.0, 1211.0, 734.0, 213539.0, g
18274.0, 16928.0, 2385.0, 491.0, 262.0, -11674.0, -17852.0, -11681.0, 82525.0, 138811.0, g
22626.0, 15261.0, 2742.0, 406.0, 229.0, -489.0, -11392.0, -7769.0, 15109.0, 133836.0, g
63338.0, 28103.0, 3418.0, 169.0, 9.0, -7502.0, 5508.0, 5685.0, 5324.0, 189071.0, g
20458.0, 10509.0, 2223.0, 599.0, 344.0, -5637.0, 16724.0, -8521.0, 46285.0, 142186.0, g
24817.0, 14351.0, 2668.0, 421.0, 25.0, -12186.0, 4357.0, -13136.0, 3542.0, 170342.0, g
18724.0, 9729.0, 224.0, 649.0, 405.0, 19875.0, 13594.0, -459.0, 8687.0, 178448.0, g
31968.0, 26369.0, 3051.0, 276.0, 156.0, 5205.0, 21953.0, 12797.0, 1832.0, 224432.0, g
