@relation page-blocks
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {1, 2, 3, 4, 5}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
6, 3, 18, 500.0, 0.5, 0.944, 2.25, 9, 17, 4, 1
6, 4, 24, 0.667, 0.417, 0.708, 2.5, 10, 17, 4, 1
5, 3, 15, 0.6, 0.533, 0.733, 8.0, 8, 11, 1, 1
5, 5, 25, 1.0, 0.4, 0.56, 5.0, 10, 14, 2, 1
13, 25, 325, 1.923, 0.234, 0.286, 10.86, 76, 93, 7, 1
13, 25, 325, 1.923, 0.351, 0.68, 6.0, 114, 221, 19, 1
9, 80, 720, 8.889, 0.333, 0.878, 2.02, 240, 632, 119, 1
9, 83, 747, 9.222, 0.284, 0.849, 1.91, 212, 634, 111, 1
12, 56, 672, 4.667, 0.256, 0.827, 2.02, 172, 556, 85, 1
10, 83, 830, 8.3, 0.266, 0.827, 2.1, 221, 686, 105, 1
3, 116, 348, 38.667, 0.385, 0.494, 33.5, 134, 172, 4, 2
11, 65, 715, 5.909, 0.39, 0.877, 2.61, 279, 627, 107, 1
8, 8, 64, 1.0, 0.234, 0.328, 5.0, 15, 21, 3, 1
11, 119, 1309, 10.818, 0.236, 0.747, 1.75, 309, 978, 177, 1
2, 69, 138, 34.5, 0.623, 0.906, 10.75, 86, 125, 8, 2
1, 10, 10, 10.0, 0.9, 1.0, 9.0, 9, 10, 1, 2
14, 185, 2590, 13.214, 0.254, 0.651, 2.27, 657, 1687, 289, 1
2, 17, 34, 8.5, 0.588, 0.971, 6.67, 20, 33, 3, 2
7, 15, 105, 2.143, 0.324, 0.762, 3.09, 34, 80, 11, 1
7, 46, 322, 6.571, 0.155, 0.587, 4.17, 50, 189, 12, 1
11, 9, 99, 0.818, 0.485, 0.727, 6.0, 48, 72, 8, 1
11, 8, 88, 0.727, 0.443, 0.466, 39.0, 39, 41, 1, 1
11, 8, 88, 0.727, 0.511, 0.852, 9.0, 45, 75, 5, 1
10, 49, 490, 4.9, 0.52, 0.961, 2.97, 255, 471, 86, 1
9, 95, 855, 10.556, 0.285, 0.723, 2.1, 244, 618, 116, 1
11, 84, 924, 7.636, 0.262, 0.82, 1.69, 242, 758, 143, 1
8, 84, 672, 10.5, 0.269, 0.966, 1.79, 181, 649, 101, 1
7, 14, 98, 2.0, 0.184, 0.612, 18.0, 18, 60, 1, 1
8, 46, 368, 5.75, 0.391, 0.951, 1.85, 144, 350, 78, 1
12, 62, 744, 5.167, 0.234, 0.66, 1.58, 174, 491, 110, 1
9, 64, 576, 7.111, 0.465, 0.899, 2.58, 268, 518, 104, 1
12, 117, 1404, 9.75, 0.22, 0.673, 1.68, 309, 945, 184, 1
8, 40, 320, 5.0, 0.403, 0.991, 2.53, 129, 317, 51, 1
1, 75, 75, 75.0, 0.813, 1.0, 5.55, 61, 75, 11, 2
11, 8, 88, 0.727, 0.375, 0.602, 4.13, 33, 53, 8, 1
2, 157, 314, 78.5, 0.506, 0.551, 26.5, 159, 173, 6, 2
1, 52, 52, 52.0, 0.788, 1.0, 10.25, 41, 52, 4, 2
8, 79, 632, 9.875, 0.375, 0.956, 2.12, 237, 604, 112, 1
9, 81, 729, 9.0, 0.388, 0.897, 2.38, 283, 654, 119, 1
10, 11, 110, 1.1, 0.382, 1.0, 1.5, 42, 110, 28, 1
9, 12, 108, 1.333, 0.407, 0.88, 1.69, 44, 95, 26, 1
10, 81, 810, 8.1, 0.279, 0.81, 2.11, 226, 656, 107, 1
9, 82, 738, 9.111, 0.329, 0.871, 2.11, 243, 643, 115, 1
10, 100, 1000, 10.0, 0.449, 0.874, 2.82, 449, 874, 159, 1
9, 32, 288, 3.556, 0.365, 0.781, 2.23, 105, 225, 47, 1
8, 46, 368, 5.75, 0.348, 0.918, 1.97, 128, 338, 65, 1
10, 131, 1310, 13.1, 0.456, 0.851, 3.0, 597, 1115, 199, 1
8, 45, 360, 5.625, 0.156, 0.725, 1.87, 56, 261, 30, 1
48, 402, 19296, 8.375, 0.055, 0.094, 4.13, 1058, 1814, 256, 5
9, 97, 873, 10.778, 0.466, 0.973, 2.42, 407, 849, 168, 1
9, 21, 189, 2.333, 0.354, 0.878, 2.68, 67, 166, 25, 1
