@relation unknow
@attribute A1 real [-6879.0, 6285.0]
@attribute A2 real [-7141.0, 6921.0]
@attribute A3 real [-7734.0, 7611.0]
@attribute A4 real [-6627.0, 7149.0]
@attribute A5 real [-7184.0, 6383.0]
@attribute A6 real [-6946.0, 6743.0]
@attribute A7 real [-7781.0, 6285.0]
@attribute A8 real [-6882.0, 6357.0]
@attribute A9 real [-7184.0, 7487.0]
@attribute A10 real [-7232.0, 6757.0]
@attribute A11 real [-7803.0, 7208.0]
@attribute A12 real [-7395.0, 6791.0]
@attribute A13 real [-7096.0, 6403.0]
@attribute A14 real [-7472.0, 7261.0]
@attribute A15 real [-7342.0, 7372.0]
@attribute A16 real [-7121.0, 6905.0]
@attribute A17 real [-7163.0, 7175.0]
@attribute A18 real [-8778.0, 6896.0]
@attribute A19 real [-7554.0, 5726.0]
@attribute A20 real [-6722.0, 7627.0]
@attribute class {0, 1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20
@outputs class
@data
722.0, 1.0, -3476.0, 161.0, -281.0, -1687.0, -1441.0, -94.0, 2444.0, -2449.0, -126.0, 2178.0, 33.0, 335.0, 344.0, -1961.0, 1389.0, -1497.0, 4755.0, -2818.0, 0
3137.0, -1585.0, 1051.0, -2812.0, -2528.0, -1049.0, 2705.0, -812.0, -2296.0, -715.0, -592.0, 186.0, 1676.0, 546.0, 3.0, 232.0, -1958.0, -2134.0, 1201.0, 547.0, 0
1356.0, 199.0, -304.0, 904.0, 1652.0, -465.0, 2321.0, -333.0, 1252.0, -866.0, 4.0, 1126.0, 377.0, -243.0, -974.0, 1203.0, 87.0, 254.0, 99.0, 1116.0, 1
463.0, 182.0, 1123.0, -174.0, 628.0, 841.0, -248.0, 966.0, 48.0, 1697.0, 1299.0, 279.0, 146.0, 1483.0, 868.0, 1281.0, -577.0, 456.0, 1734.0, 828.0, 1
-866.0, -433.0, 359.0, 1755.0, -1099.0, 1282.0, 149.0, 887.0, 2744.0, -1664.0, 1212.0, 1326.0, 38.0, 1638.0, -402.0, -717.0, 1442.0, 248.0, 1581.0, 1985.0, 1
-128.0, 873.0, -459.0, 985.0, 578.0, 149.0, 469.0, 1273.0, -161.0, 262.0, 1357.0, 421.0, 1878.0, 197.0, 15.0, -1224.0, -224.0, 552.0, -4.0, 395.0, 1
3488.0, -903.0, -811.0, 1842.0, -1194.0, 1408.0, -562.0, 1894.0, -1598.0, -456.0, 177.0, 1768.0, 2548.0, 908.0, 3088.0, -2483.0, -456.0, -851.0, 2892.0, 613.0, 0
-2969.0, 1445.0, 4285.0, 796.0, -1181.0, 2336.0, -2712.0, 5123.0, 663.0, 1681.0, 287.0, 78.0, -3713.0, -723.0, -2517.0, 918.0, 2059.0, 434.0, 1562.0, -726.0, 0
1197.0, -952.0, 61.0, 864.0, 3081.0, 566.0, -664.0, -452.0, -534.0, 547.0, 115.0, 1752.0, 1372.0, -41.0, 839.0, 598.0, 587.0, 1165.0, 116.0, 52.0, 1
554.0, -82.0, 416.0, 545.0, -671.0, 33.0, 2937.0, 1916.0, 669.0, 248.0, 383.0, 993.0, -1044.0, 1813.0, 19.0, 226.0, 733.0, 62.0, -566.0, 1113.0, 1
727.0, -1345.0, 2048.0, 1248.0, -1729.0, 466.0, -192.0, -74.0, -205.0, -646.0, 214.0, 3261.0, 4455.0, 1854.0, -3569.0, 1967.0, 196.0, -278.0, 1258.0, -1153.0, 0
