@relation segment
@attribute Region-centroid-col real [1.0, 254.0]
@attribute Region-centroid-row real [11.0, 251.0]
@attribute Region-pixel-count real [9.0, 10.0]
@attribute Short-line-density-5 real [0.0, 0.33333334]
@attribute Short-line-density-2 real [0.0, 0.22222222]
@attribute Vedge-mean real [0.0, 29.222221]
@attribute Vegde-sd real [0.0, 991.7184]
@attribute Hedge-mean real [0.0, 44.722225]
@attribute Hedge-sd real [-1.5894573E-8, 1386.3292]
@attribute Intensity-mean real [0.0, 143.44444]
@attribute Rawred-mean real [0.0, 137.11111]
@attribute Rawblue-mean real [0.0, 150.88889]
@attribute Rawgreen-mean real [0.0, 142.55556]
@attribute Exred-mean real [-49.666668, 9.888889]
@attribute Exblue-mean real [-12.444445, 82.0]
@attribute Exgreen-mean real [-33.88889, 24.666666]
@attribute Value-mean real [0.0, 150.88889]
@attribute Saturatoin-mean real [0.0, 1.0]
@attribute Hue-mean real [-3.0441751, 2.9124804]
@attribute Class {1, 2, 3, 4, 5, 6, 7}
@inputs Region-centroid-col, Region-centroid-row, Region-pixel-count, Short-line-density-5, Short-line-density-2, Vedge-mean, Vegde-sd, Hedge-mean, Hedge-sd, Intensity-mean, Rawred-mean, Rawblue-mean, Rawgreen-mean, Exred-mean, Exblue-mean, Exgreen-mean, Value-mean, Saturatoin-mean, Hue-mean
@outputs Class
@data
32.0, 173.0, 9.0, 0.0, 0.0, 1.7222217, 1.7815932, 9.0, 6.749488, 43.592594, 39.555557, 52.88889, 38.333336, -12.111111, 27.88889, -15.777778, 52.88889, 0.26691392, -1.9988575, 6
61.0, 197.0, 9.0, 0.0, 0.0, 1.4444441, 1.5153533, 2.6111107, 1.9254634, 49.592594, 44.22222, 61.555557, 43.0, -16.11111, 35.88889, -19.777779, 61.555557, 0.30292457, -2.0222743, 6
197.0, 229.0, 9.0, 0.0, 0.0, 1.3888885, 1.5740727, 1.1666662, 0.5666664, 17.74074, 14.111111, 17.88889, 21.222221, -10.888889, 0.44444445, 10.444445, 21.222221, 0.3357168, 2.651605, 7
178.0, 128.0, 9.0, 0.0, 0.0, 0.44444433, 0.34074068, 0.88888866, 0.2074075, 5.9259257, 7.888889, 6.4444447, 3.4444444, 5.888889, 1.5555556, -7.4444447, 7.888889, 0.56371254, -0.7213002, 1
126.0, 237.0, 9.0, 0.0, 0.0, 0.94444436, 0.24074084, 1.0000001, 0.48888868, 5.7777777, 4.2222223, 4.2222223, 8.888889, -4.6666665, -4.6666665, 9.333333, 8.888889, 0.5538119, 2.0972314, 7
214.0, 246.0, 9.0, 0.0, 0.0, 2.8333328, 1.9177537, 2.9999993, 1.988857, 17.518518, 14.222222, 15.444445, 22.88889, -9.888889, -6.2222223, 16.11111, 22.88889, 0.39154765, 2.2328491, 7
107.0, 146.0, 9.0, 0.0, 0.0, 1.888889, 1.0074077, 2.111111, 1.3185171, 21.37037, 16.777779, 29.666666, 17.666668, -13.777778, 24.88889, -11.111111, 29.666666, 0.43278608, -2.1649706, 4
218.0, 115.0, 9.0, 0.0, 0.0, 0.944444, 0.5340271, 0.38888898, 0.38968194, 22.962963, 19.444445, 29.444445, 20.0, -10.555555, 19.444445, -8.888889, 29.444445, 0.33914888, -2.1486697, 5
50.0, 199.0, 9.0, 0.0, 0.0, 3.2222226, 2.9789395, 5.611111, 4.6159945, 55.666668, 49.11111, 69.77778, 48.11111, -19.666666, 42.333332, -22.666666, 69.77778, 0.31241447, -2.0454311, 6
56.0, 107.0, 9.0, 0.0, 0.0, 1.1111107, 0.20740713, 4.722223, 20.196299, 49.814816, 46.22222, 58.333332, 44.88889, -10.777778, 25.555555, -14.777778, 58.333332, 0.23045462, -1.9914447, 4
