@relation vehicle
@attribute Compactness integer [73, 119]
@attribute Circularity integer [33, 59]
@attribute Distance_circularity integer [40, 112]
@attribute Radius_ratio integer [104, 333]
@attribute Praxis_aspect_ratio integer [47, 138]
@attribute Max_length_aspect_ratio integer [2, 55]
@attribute Scatter_ratio integer [112, 265]
@attribute Elongatedness integer [26, 61]
@attribute Praxis_rectangular integer [17, 29]
@attribute Length_rectangular integer [118, 188]
@attribute Major_variance integer [130, 320]
@attribute Minor_variance integer [184, 1018]
@attribute Gyration_radius integer [109, 268]
@attribute Major_skewness integer [59, 135]
@attribute Minor_skewness integer [0, 22]
@attribute Minor_kurtosis integer [0, 41]
@attribute Major_kurtosis integer [176, 206]
@attribute Hollows_ratio integer [181, 211]
@attribute Class {van, saab, bus, opel}
@inputs Compactness, Circularity, Distance_circularity, Radius_ratio, Praxis_aspect_ratio, Max_length_aspect_ratio, Scatter_ratio, Elongatedness, Praxis_rectangular, Length_rectangular, Major_variance, Minor_variance, Gyration_radius, Major_skewness, Minor_skewness, Minor_kurtosis, Major_kurtosis, Hollows_ratio
@outputs Class
@data
90.0, 43.0, 66.0, 157.0, 65.0, 9.0, 137.0, 48.0, 18.0, 146.0, 162.0, 281.0, 164.0, 67.0, 3.0, 3.0, 193.0, 202.0, van
93.0, 44.0, 98.0, 197.0, 62.0, 11.0, 183.0, 36.0, 22.0, 146.0, 202.0, 505.0, 152.0, 64.0, 4.0, 14.0, 195.0, 204.0, saab
96.0, 55.0, 103.0, 201.0, 65.0, 9.0, 204.0, 32.0, 23.0, 166.0, 227.0, 624.0, 246.0, 74.0, 6.0, 2.0, 186.0, 194.0, opel
89.0, 36.0, 51.0, 109.0, 52.0, 6.0, 118.0, 57.0, 17.0, 129.0, 137.0, 206.0, 125.0, 80.0, 2.0, 14.0, 181.0, 185.0, van
99.0, 41.0, 77.0, 197.0, 69.0, 6.0, 177.0, 36.0, 21.0, 139.0, 202.0, 485.0, 151.0, 72.0, 4.0, 10.0, 198.0, 199.0, bus
84.0, 37.0, 53.0, 121.0, 59.0, 5.0, 123.0, 55.0, 17.0, 125.0, 141.0, 221.0, 133.0, 82.0, 7.0, 1.0, 179.0, 183.0, van
94.0, 43.0, 64.0, 173.0, 69.0, 7.0, 150.0, 43.0, 19.0, 142.0, 169.0, 344.0, 177.0, 68.0, 9.0, 1.0, 199.0, 206.0, bus
89.0, 43.0, 85.0, 160.0, 64.0, 11.0, 155.0, 43.0, 19.0, 151.0, 173.0, 356.0, 174.0, 72.0, 5.0, 9.0, 185.0, 196.0, van
94.0, 49.0, 87.0, 137.0, 54.0, 11.0, 158.0, 43.0, 20.0, 162.0, 178.0, 366.0, 186.0, 75.0, 5.0, 5.0, 183.0, 194.0, van
119.0, 54.0, 106.0, 220.0, 65.0, 12.0, 213.0, 31.0, 24.0, 167.0, 223.0, 675.0, 232.0, 66.0, 20.0, 1.0, 192.0, 202.0, saab
91.0, 45.0, 79.0, 176.0, 59.0, 9.0, 163.0, 40.0, 20.0, 148.0, 184.0, 404.0, 179.0, 62.0, 0.0, 10.0, 199.0, 208.0, saab
101.0, 56.0, 104.0, 185.0, 53.0, 6.0, 257.0, 26.0, 28.0, 168.0, 275.0, 956.0, 230.0, 83.0, 5.0, 26.0, 180.0, 184.0, bus
85.0, 39.0, 68.0, 119.0, 52.0, 5.0, 128.0, 53.0, 18.0, 135.0, 148.0, 241.0, 142.0, 75.0, 8.0, 8.0, 182.0, 187.0, van
96.0, 40.0, 70.0, 120.0, 50.0, 8.0, 137.0, 50.0, 18.0, 141.0, 162.0, 269.0, 139.0, 80.0, 10.0, 13.0, 183.0, 183.0, van
83.0, 42.0, 66.0, 156.0, 67.0, 7.0, 150.0, 45.0, 19.0, 144.0, 174.0, 333.0, 159.0, 78.0, 4.0, 2.0, 182.0, 188.0, bus
98.0, 55.0, 101.0, 219.0, 69.0, 11.0, 225.0, 30.0, 25.0, 178.0, 231.0, 748.0, 216.0, 74.0, 6.0, 14.0, 187.0, 195.0, opel
92.0, 39.0, 91.0, 191.0, 62.0, 8.0, 176.0, 37.0, 21.0, 137.0, 196.0, 466.0, 151.0, 67.0, 3.0, 23.0, 192.0, 200.0, opel
73.0, 37.0, 53.0, 111.0, 54.0, 6.0, 126.0, 55.0, 18.0, 128.0, 135.0, 227.0, 147.0, 82.0, 1.0, 15.0, 176.0, 184.0, opel
94.0, 36.0, 68.0, 127.0, 54.0, 7.0, 127.0, 52.0, 18.0, 132.0, 155.0, 242.0, 116.0, 66.0, 1.0, 2.0, 195.0, 196.0, van
94.0, 38.0, 84.0, 158.0, 55.0, 9.0, 169.0, 39.0, 20.0, 130.0, 196.0, 430.0, 155.0, 69.0, 9.0, 15.0, 190.0, 195.0, opel
86.0, 43.0, 68.0, 152.0, 62.0, 7.0, 150.0, 44.0, 19.0, 142.0, 179.0, 337.0, 164.0, 75.0, 4.0, 9.0, 188.0, 192.0, bus
87.0, 44.0, 65.0, 124.0, 56.0, 6.0, 149.0, 46.0, 19.0, 144.0, 170.0, 321.0, 171.0, 87.0, 4.0, 12.0, 179.0, 182.0, bus
82.0, 45.0, 66.0, 252.0, 126.0, 52.0, 148.0, 45.0, 19.0, 144.0, 237.0, 326.0, 185.0, 119.0, 1.0, 1.0, 181.0, 185.0, bus
92.0, 38.0, 60.0, 130.0, 62.0, 5.0, 114.0, 58.0, 17.0, 132.0, 135.0, 194.0, 137.0, 72.0, 14.0, 5.0, 190.0, 194.0, van
102.0, 45.0, 83.0, 198.0, 65.0, 5.0, 194.0, 33.0, 22.0, 146.0, 225.0, 576.0, 167.0, 79.0, 0.0, 27.0, 193.0, 191.0, bus
108.0, 53.0, 103.0, 202.0, 64.0, 10.0, 220.0, 30.0, 25.0, 168.0, 224.0, 711.0, 214.0, 73.0, 11.0, 10.0, 188.0, 199.0, saab
99.0, 46.0, 105.0, 209.0, 64.0, 11.0, 197.0, 34.0, 23.0, 152.0, 212.0, 575.0, 159.0, 65.0, 0.0, 33.0, 194.0, 205.0, opel
99.0, 48.0, 79.0, 199.0, 68.0, 6.0, 185.0, 35.0, 22.0, 153.0, 202.0, 524.0, 171.0, 74.0, 5.0, 8.0, 195.0, 195.0, bus
93.0, 43.0, 85.0, 133.0, 54.0, 10.0, 155.0, 44.0, 19.0, 153.0, 174.0, 351.0, 165.0, 75.0, 12.0, 13.0, 184.0, 196.0, van
93.0, 49.0, 79.0, 180.0, 65.0, 7.0, 173.0, 37.0, 21.0, 158.0, 189.0, 463.0, 194.0, 70.0, 5.0, 10.0, 197.0, 202.0, bus
85.0, 45.0, 71.0, 150.0, 63.0, 8.0, 143.0, 46.0, 19.0, 147.0, 171.0, 307.0, 179.0, 72.0, 2.0, 3.0, 187.0, 196.0, van
85.0, 41.0, 66.0, 155.0, 65.0, 22.0, 149.0, 45.0, 19.0, 139.0, 173.0, 330.0, 155.0, 75.0, 6.0, 16.0, 184.0, 191.0, bus
97.0, 42.0, 101.0, 186.0, 59.0, 9.0, 186.0, 36.0, 22.0, 138.0, 208.0, 511.0, 168.0, 67.0, 7.0, 41.0, 194.0, 206.0, saab
87.0, 42.0, 64.0, 150.0, 64.0, 10.0, 133.0, 50.0, 18.0, 142.0, 157.0, 264.0, 159.0, 67.0, 7.0, 1.0, 193.0, 201.0, van
91.0, 42.0, 80.0, 162.0, 66.0, 8.0, 148.0, 44.0, 19.0, 145.0, 171.0, 331.0, 147.0, 70.0, 3.0, 5.0, 189.0, 199.0, van
106.0, 49.0, 107.0, 194.0, 57.0, 11.0, 214.0, 31.0, 24.0, 161.0, 224.0, 670.0, 172.0, 67.0, 0.0, 39.0, 192.0, 206.0, opel
95.0, 45.0, 80.0, 186.0, 62.0, 7.0, 164.0, 40.0, 20.0, 145.0, 188.0, 406.0, 178.0, 65.0, 11.0, 18.0, 199.0, 204.0, opel
107.0, 52.0, 101.0, 218.0, 64.0, 11.0, 202.0, 33.0, 23.0, 164.0, 219.0, 610.0, 192.0, 65.0, 17.0, 2.0, 197.0, 206.0, opel
94.0, 45.0, 81.0, 166.0, 67.0, 9.0, 145.0, 46.0, 19.0, 147.0, 164.0, 313.0, 179.0, 66.0, 11.0, 14.0, 194.0, 202.0, van
89.0, 44.0, 70.0, 137.0, 58.0, 6.0, 136.0, 49.0, 18.0, 146.0, 168.0, 273.0, 166.0, 78.0, 10.0, 3.0, 186.0, 187.0, van
101.0, 51.0, 105.0, 212.0, 68.0, 10.0, 209.0, 32.0, 24.0, 162.0, 222.0, 653.0, 224.0, 73.0, 5.0, 23.0, 186.0, 195.0, opel
97.0, 48.0, 94.0, 198.0, 63.0, 9.0, 181.0, 36.0, 21.0, 155.0, 200.0, 494.0, 189.0, 64.0, 20.0, 11.0, 199.0, 203.0, opel
87.0, 40.0, 81.0, 162.0, 68.0, 10.0, 146.0, 46.0, 19.0, 139.0, 167.0, 317.0, 157.0, 70.0, 0.0, 13.0, 189.0, 199.0, van
82.0, 44.0, 72.0, 150.0, 64.0, 7.0, 154.0, 44.0, 19.0, 144.0, 181.0, 350.0, 177.0, 80.0, 0.0, 16.0, 183.0, 187.0, bus
84.0, 44.0, 77.0, 150.0, 59.0, 5.0, 152.0, 44.0, 19.0, 143.0, 175.0, 344.0, 177.0, 77.0, 8.0, 2.0, 183.0, 187.0, saab
79.0, 47.0, 74.0, 141.0, 61.0, 7.0, 153.0, 43.0, 19.0, 149.0, 175.0, 349.0, 199.0, 77.0, 6.0, 10.0, 183.0, 189.0, bus
95.0, 36.0, 73.0, 191.0, 73.0, 6.0, 156.0, 41.0, 19.0, 126.0, 184.0, 374.0, 124.0, 71.0, 2.0, 19.0, 199.0, 204.0, bus
103.0, 49.0, 100.0, 194.0, 60.0, 10.0, 185.0, 35.0, 22.0, 160.0, 202.0, 518.0, 178.0, 62.0, 13.0, 8.0, 198.0, 208.0, saab
80.0, 45.0, 71.0, 128.0, 56.0, 7.0, 151.0, 45.0, 19.0, 147.0, 171.0, 337.0, 176.0, 79.0, 3.0, 16.0, 181.0, 187.0, bus
91.0, 43.0, 88.0, 157.0, 61.0, 9.0, 149.0, 45.0, 19.0, 157.0, 165.0, 326.0, 140.0, 64.0, 1.0, 26.0, 197.0, 207.0, van
83.0, 46.0, 73.0, 137.0, 59.0, 6.0, 148.0, 45.0, 19.0, 146.0, 167.0, 327.0, 183.0, 75.0, 8.0, 0.0, 185.0, 191.0, bus
109.0, 54.0, 109.0, 225.0, 68.0, 11.0, 214.0, 31.0, 24.0, 169.0, 226.0, 675.0, 212.0, 68.0, 11.0, 32.0, 189.0, 202.0, saab
89.0, 46.0, 77.0, 125.0, 52.0, 10.0, 156.0, 44.0, 20.0, 160.0, 171.0, 351.0, 177.0, 78.0, 7.0, 17.0, 183.0, 191.0, van
89.0, 48.0, 85.0, 189.0, 64.0, 8.0, 169.0, 39.0, 20.0, 153.0, 188.0, 427.0, 190.0, 64.0, 16.0, 5.0, 195.0, 201.0, saab
83.0, 41.0, 70.0, 155.0, 65.0, 7.0, 144.0, 46.0, 19.0, 141.0, 168.0, 309.0, 147.0, 71.0, 4.0, 12.0, 188.0, 195.0, bus
93.0, 36.0, 63.0, 139.0, 57.0, 8.0, 132.0, 50.0, 18.0, 136.0, 158.0, 260.0, 121.0, 67.0, 3.0, 27.0, 193.0, 201.0, van
109.0, 55.0, 102.0, 169.0, 51.0, 6.0, 241.0, 27.0, 26.0, 165.0, 265.0, 870.0, 247.0, 84.0, 10.0, 11.0, 184.0, 183.0, bus
98.0, 52.0, 86.0, 207.0, 69.0, 5.0, 192.0, 33.0, 22.0, 161.0, 212.0, 570.0, 221.0, 75.0, 4.0, 6.0, 194.0, 195.0, bus
106.0, 48.0, 107.0, 202.0, 61.0, 10.0, 207.0, 32.0, 24.0, 153.0, 227.0, 635.0, 200.0, 70.0, 5.0, 28.0, 190.0, 203.0, saab
109.0, 48.0, 107.0, 215.0, 62.0, 10.0, 205.0, 32.0, 23.0, 158.0, 222.0, 624.0, 168.0, 65.0, 9.0, 32.0, 195.0, 206.0, opel
96.0, 52.0, 104.0, 222.0, 67.0, 9.0, 198.0, 33.0, 23.0, 163.0, 217.0, 589.0, 226.0, 67.0, 12.0, 20.0, 192.0, 201.0, opel
93.0, 40.0, 62.0, 117.0, 49.0, 7.0, 131.0, 52.0, 18.0, 145.0, 160.0, 249.0, 156.0, 78.0, 8.0, 6.0, 184.0, 184.0, van
82.0, 44.0, 63.0, 123.0, 54.0, 7.0, 151.0, 45.0, 19.0, 147.0, 166.0, 329.0, 185.0, 81.0, 3.0, 4.0, 179.0, 182.0, bus
89.0, 44.0, 82.0, 136.0, 54.0, 6.0, 149.0, 45.0, 19.0, 144.0, 170.0, 332.0, 168.0, 68.0, 10.0, 14.0, 188.0, 193.0, opel
93.0, 43.0, 88.0, 170.0, 66.0, 9.0, 150.0, 45.0, 19.0, 147.0, 164.0, 334.0, 143.0, 65.0, 2.0, 17.0, 196.0, 206.0, van
86.0, 42.0, 65.0, 125.0, 54.0, 7.0, 150.0, 45.0, 19.0, 140.0, 171.0, 327.0, 172.0, 85.0, 2.0, 8.0, 180.0, 182.0, bus
107.0, 57.0, 102.0, 184.0, 55.0, 7.0, 234.0, 28.0, 26.0, 171.0, 243.0, 822.0, 229.0, 77.0, 7.0, 11.0, 187.0, 187.0, bus
99.0, 51.0, 88.0, 188.0, 62.0, 5.0, 203.0, 32.0, 23.0, 158.0, 222.0, 625.0, 219.0, 77.0, 8.0, 26.0, 191.0, 190.0, bus
