dataSetname,fuzzyMeasure,dat,training,testing
iris,5,1,98.33333333333333,96.66666666666667
iris,5,2,97.5,96.66666666666667
iris,5,3,99.16666666666667,90.0
iris,5,4,100.0,83.33333333333333
iris,5,5,100.0,90.0
iris,50,1,97.5,100.0
iris,50,2,98.33333333333333,96.66666666666667
iris,50,3,99.16666666666667,90.0
iris,50,4,99.16666666666667,93.33333333333333
iris,50,5,100.0,90.0
wine,5,1,100.0,91.66666666666667
wine,5,2,99.29577464788733,94.44444444444444
wine,5,3,100.0,100.0
wine,5,4,100.0,94.28571428571429
wine,5,5,100.0,88.57142857142857
wine,50,1,100.0,94.44444444444444
wine,50,2,99.29577464788733,94.44444444444444
wine,50,3,100.0,100.0
wine,50,4,100.0,94.28571428571429
wine,50,5,100.0,88.57142857142857
cleveland,5,1,89.91596638655462,50.847457627118644
cleveland,5,2,91.94915254237289,62.295081967213115
cleveland,5,3,89.91596638655462,59.32203389830509
cleveland,5,4,87.91666666666667,56.14035087719298
cleveland,5,5,90.67796610169492,57.377049180327866
cleveland,50,1,90.75630252100841,54.23728813559322
cleveland,50,2,89.83050847457628,65.57377049180327
cleveland,50,3,93.27731092436974,42.3728813559322
cleveland,50,5,92.79661016949153,54.09836065573771
ecoli,5,1,91.41791044776119,70.58823529411765
ecoli,5,2,90.70631970260223,82.08955223880596
ecoli,5,3,90.70631970260223,73.13432835820896
ecoli,5,4,91.44981412639405,73.13432835820896
ecoli,5,5,93.3085501858736,83.58208955223881
ecoli,50,1,91.04477611940298,72.05882352941177
ecoli,50,3,90.70631970260223,73.13432835820896
ecoli,50,5,92.93680297397769,88.05970149253731
appendicitis,5,1,96.42857142857143,86.36363636363636
appendicitis,5,2,98.82352941176471,61.904761904761905
appendicitis,5,3,96.47058823529412,85.71428571428571
appendicitis,5,4,95.29411764705883,85.71428571428571
appendicitis,5,5,96.47058823529412,80.95238095238095
appendicitis,50,1,95.23809523809524,81.81818181818181
appendicitis,50,2,97.6470588235294,76.19047619047619
appendicitis,50,3,95.29411764705883,85.71428571428571
appendicitis,50,4,95.29411764705883,90.47619047619048
balance,5,1,89.8,80.0
balance,5,2,89.4,83.2
balance,5,3,88.6,85.6
balance,5,4,89.6,82.4
balance,5,5,89.2,80.8
ecoli,5,4,91.44981412639405,73.13432835820896
