dataSetname,fuzzyMeasure,dat,training,testing
appendicitis,5,1,96.42857142857143,86.36363636363636
appendicitis,5,2,98.82352941176471,61.904761904761905
appendicitis,5,3,96.47058823529412,85.71428571428571
appendicitis,5,4,95.29411764705883,85.71428571428571
appendicitis,5,5,96.47058823529412,80.95238095238095
appendicitis,50,1,95.23809523809524,81.81818181818181
appendicitis,50,2,96.47058823529412,80.95238095238095
appendicitis,50,3,95.29411764705883,85.71428571428571
appendicitis,50,4,95.29411764705883,90.47619047619048
appendicitis,50,5,96.47058823529412,76.19047619047619
balance,5,1,89.8,80.0
balance,5,2,89.4,83.2
balance,5,3,88.6,85.6
balance,5,4,89.6,82.4
balance,5,5,89.2,80.8
balance,50,1,89.2,80.0
balance,50,2,88.0,79.2
balance,50,3,89.0,82.4
balance,50,4,88.6,80.0
balance,50,5,88.6,79.2
banana,5,1,87.94811320754717,85.37735849056604
banana,5,2,88.56132075471699,86.22641509433963
banana,5,3,87.0754716981132,86.79245283018868
banana,5,4,85.94339622641509,85.66037735849056
banana,5,5,88.06603773584905,87.54716981132076
banana,50,1,84.36320754716981,81.88679245283019
banana,50,2,84.12735849056604,82.26415094339623
banana,50,3,84.10377358490567,83.20754716981132
banana,50,4,83.72641509433963,83.30188679245283
banana,50,5,82.99528301886792,81.50943396226415
bands,5,1,90.0,66.66666666666667
bands,5,2,88.73720136518772,77.77777777777777
bands,5,3,89.00343642611683,62.16216216216216
bands,5,4,91.49659863945578,70.4225352112676
bands,5,5,89.72602739726027,65.75342465753425
bands,50,1,91.37931034482759,69.33333333333333
bands,50,2,88.39590443686006,70.83333333333333
bands,50,3,90.37800687285224,59.45945945945946
bands,50,4,91.15646258503402,76.05633802816901
bands,50,5,87.67123287671232,69.86301369863014
bupa,5,1,78.6231884057971,66.66666666666667
bupa,5,2,85.5072463768116,66.66666666666667
bupa,5,3,81.52173913043478,69.56521739130434
bupa,5,4,80.07246376811594,63.768115942028984
bupa,5,5,81.8840579710145,68.1159420289855
bupa,50,1,80.07246376811594,66.66666666666667
bupa,50,2,84.05797101449275,69.56521739130434
bupa,50,3,79.34782608695652,65.21739130434783
bupa,50,4,81.15942028985508,57.971014492753625
bupa,50,5,78.6231884057971,72.46376811594203
cleveland,5,1,89.91596638655462,50.847457627118644
cleveland,5,2,91.94915254237289,62.295081967213115
cleveland,5,3,89.91596638655462,59.32203389830509
cleveland,5,4,87.91666666666667,56.14035087719298
cleveland,5,5,90.67796610169492,57.377049180327866
cleveland,50,1,92.85714285714286,52.54237288135593
cleveland,50,2,91.94915254237289,63.9344262295082
cleveland,50,3,90.33613445378151,50.847457627118644
cleveland,50,4,87.5,50.87719298245614
cleveland,50,5,92.79661016949153,52.459016393442624
contraceptive,5,1,61.20543293718166,51.86440677966102
contraceptive,5,2,62.054329371816635,46.440677966101696
contraceptive,5,3,61.29032258064516,51.186440677966104
contraceptive,5,4,63.3587786259542,48.97959183673469
contraceptive,5,5,61.74724342663274,46.93877551020408
contraceptive,50,1,60.86587436332768,51.86440677966102
contraceptive,50,2,61.62988115449915,45.76271186440678
contraceptive,50,3,62.30899830220713,48.813559322033896
contraceptive,50,4,62.93469041560645,50.68027210884354
contraceptive,50,5,62.6802374893978,47.61904761904762
ecoli,5,1,91.41791044776119,70.58823529411765
ecoli,5,2,90.70631970260223,82.08955223880596
ecoli,5,3,90.70631970260223,73.13432835820896
ecoli,5,4,91.44981412639405,73.13432835820896
ecoli,5,5,93.3085501858736,83.58208955223881
ecoli,50,1,90.29850746268657,72.05882352941177
ecoli,50,2,90.70631970260223,77.61194029850746
ecoli,50,3,90.33457249070632,73.13432835820896
ecoli,50,4,88.84758364312268,73.13432835820896
ecoli,50,5,92.19330855018588,88.05970149253731
glass,5,1,81.87134502923976,62.7906976744186
glass,5,2,85.96491228070175,60.46511627906977
glass,5,3,84.7953216374269,62.7906976744186
glass,5,4,80.11695906432749,69.76744186046511
glass,5,5,81.97674418604652,64.28571428571429
glass,50,1,83.62573099415205,62.7906976744186
glass,50,2,84.7953216374269,58.13953488372093
glass,50,3,84.7953216374269,65.11627906976744
glass,50,4,81.87134502923976,69.76744186046511
glass,50,5,82.55813953488372,64.28571428571429
haberman,5,1,85.24590163934427,80.64516129032258
haberman,5,2,81.63265306122449,65.57377049180327
haberman,5,3,82.04081632653062,72.1311475409836
haberman,5,4,84.89795918367346,70.49180327868852
haberman,5,5,82.04081632653062,73.77049180327869
haberman,50,1,81.9672131147541,75.80645161290323
haberman,50,2,82.44897959183673,70.49180327868852
haberman,50,3,81.63265306122449,73.77049180327869
haberman,50,4,84.89795918367346,73.77049180327869
haberman,50,5,83.6734693877551,78.68852459016394
hayes-roth,5,1,93.75,71.875
hayes-roth,5,2,92.96875,68.75
hayes-roth,5,3,91.40625,75.0
hayes-roth,5,4,91.40625,90.625
hayes-roth,5,5,90.625,78.125
hayes-roth,50,1,93.75,71.875
hayes-roth,50,2,92.96875,71.875
hayes-roth,50,3,91.40625,75.0
hayes-roth,50,4,91.40625,90.625
hayes-roth,50,5,90.625,78.125
ionosphere,5,1,98.57142857142857,88.73239436619718
ionosphere,5,2,100.0,91.42857142857143
ionosphere,5,3,99.644128113879,94.28571428571429
ionosphere,5,4,98.932384341637,97.14285714285714
ionosphere,5,5,99.28825622775801,90.0
ionosphere,50,1,98.21428571428571,90.14084507042253
ionosphere,50,2,100.0,88.57142857142857
ionosphere,50,3,99.28825622775801,91.42857142857143
ionosphere,50,4,98.57651245551601,95.71428571428571
ionosphere,50,5,98.57651245551601,87.14285714285714
iris,5,1,98.33333333333333,96.66666666666667
iris,5,2,97.5,96.66666666666667
iris,5,3,99.16666666666667,90.0
iris,5,4,100.0,83.33333333333333
iris,5,5,100.0,90.0
iris,50,1,97.5,100.0
iris,50,2,98.33333333333333,96.66666666666667
iris,50,3,99.16666666666667,86.66666666666667
iris,50,4,99.16666666666667,93.33333333333333
iris,50,5,100.0,90.0
led7digit,5,1,73.0,76.0
led7digit,5,2,75.5,60.0
led7digit,5,3,74.5,66.0
led7digit,5,4,73.75,74.0
led7digit,5,5,78.5,71.0
led7digit,50,1,72.5,73.0
led7digit,50,2,75.0,63.0
led7digit,50,3,74.75,65.0
led7digit,50,4,73.5,73.0
led7digit,50,5,78.75,74.0
