dataSet,5.0-TRA,5.0-TES,50.0-TRA,50.0-TES
appendicitis,96.7±1.15,80.13±9.32,95.75±0.59,83.03±4.8
balance,89.32±0.41,82.4±1.96,88.68±0.41,80.16±1.18
banana,87.52±0.92,86.32±0.78,83.86±0.48,82.43±0.71
bands,89.79±0.97,68.56±5.31,89.8±1.49,69.11±5.38
bupa,81.52±2.3,66.96±1.92,80.65±1.9,66.38±4.88
cleveland,90.08±1.31,57.2±3.79,91.09±2.01,54.13±4.96
contraceptive,61.93±0.78,49.08±2.18,62.08±0.75,48.95±2.17
ecoli,91.52±0.95,76.51±5.27,90.48±1.07,76.8±5.95
glass,82.95±2.13,64.02±3.12,83.53±1.18,64.02±3.75
haberman,83.17±1.56,72.52±4.9,82.92±1.21,74.51±2.7
hayes-roth,92.03±1.15,76.88±7.55,92.03±1.15,77.5±6.96
ionosphere,99.29±0.5,92.32±3.04,98.93±0.64,90.6±2.94
iris,99.0±0.97,91.33±4.99,98.83±0.85,93.33±4.71
led7digit,75.05±1.91,69.4±5.78,74.9±2.12,69.6±4.63
magic,84.08±0.39,78.86±2.91,84.12±0.58,79.23±2.41
newthyroid,98.95±0.44,94.88±2.71,98.49±0.59,96.28±1.14
penbased,97.73±0.32,90.55±1.64,97.18±0.47,89.82±1.21
phoneme,84.96±0.47,82.98±0.84,83.73±0.86,81.46±0.76
pima,84.6±0.96,74.6±2.35,85.25±0.97,74.74±1.72
Mean,87.9±9.04,76.61±11.92,87.49±8.95,76.43±12.14
