@relation bands
@attribute Proof_cut real[25.0,72.5]
@attribute Viscosity integer[35,72]
@attribute Caliper real[0.133,0.533]
@attribute Ink_temperature real[11.2,24.5]
@attribute Humifity integer[57,105]
@attribute Roughness real[0.056,1.25]
@attribute Blade_pressure integer[16,70]
@attribute Varnish_pct real[0.0,35.8]
@attribute Press_speed integer[0,2600]
@attribute Ink_pct real[41.0,76.9]
@attribute Solvent_pct real[22.0,53.4]
@attribute Esa_voltage real[0.0,16.0]
@attribute ESA_amperage real[0.0,6.0]
@attribute Wax real[0.0,3.1]
@attribute Hardener real[0.0,3.0]
@attribute Roller_durometer real[28.0,60.0]
@attribute Density integer[30,45]
@attribute Anode_ratio real[83.33,117.86]
@attribute Chrome_content integer[90,100]
@attribute Band_type{band,noband}
@inputs Proof_cut, Viscosity, Caliper, Ink_temperature, Humifity, Roughness, Blade_pressure, Varnish_pct, Press_speed, Ink_pct, Solvent_pct, Esa_voltage, ESA_amperage, Wax, Hardener, Roller_durometer, Density, Anode_ratio, Chrome_content
@outputs Band_type
@data
55.0,46,0.3,15.0,80,0.75,20,6.6,1900,54.9,38.5,0.0,0.0,2.5,0.7,34.0,40,105.0,100,noband
50.0,45,0.367,12.0,70,0.75,60,0.0,1650,60.2,39.8,1.5,0.0,3.0,1.0,40.0,40,103.22,100,band
50.0,45,0.3,15.0,76,1.0,30,8.0,2150,57.5,34.5,0.0,0.0,2.5,1.0,35.0,40,107.4,100,noband
35.0,38,0.433,16.0,70,0.75,50,0.0,1400,62.5,37.5,0.0,0.0,2.8,1.5,28.0,40,103.125,100,noband
40.0,47,0.35,14.43,76,0.75,16,7.2,2000,51.5,41.2,1.0,0.0,2.7,1.4,40.0,40,100.0,100,band
55.0,56,0.233,15.0,84,0.625,25,16.7,1850,52.1,31.3,4.0,0.0,2.0,0.6,34.0,40,103.125,100,band
40.0,50,0.233,16.0,70,0.562,30,0.0,2400,58.8,41.2,8.0,0.0,1.5,0.5,33.0,40,103.125,100,noband
45.0,54,0.367,15.5,74,0.562,40,10.5,2250,52.6,36.8,2.0,0.0,2.5,1.8,30.0,40,106.45,100,noband
40.0,64,0.2,15.5,85,1.0,26,0.0,2400,58.8,41.2,0.0,0.0,2.5,1.0,30.0,40,103.125,100,noband
50.0,69,0.367,17.0,82,0.75,50,0.0,1700,62.5,37.5,0.0,0.0,3.0,1.0,40.0,40,106.45,100,band
50.0,62,0.4,15.4,98,0.75,25,10.6,1750,48.1,41.3,0.0,0.0,2.8,1.3,33.0,40,110.0,100,noband
45.0,69,0.267,16.1,76,0.75,22,5.6,2426,55.6,38.9,0.0,0.0,2.7,0.7,30.0,40,103.22,100,noband
40.0,65,0.267,16.2,79,0.625,30,0.0,1500,62.5,37.5,4.0,0.0,2.5,1.0,38.0,40,106.45,100,band
50.0,50,0.3,14.5,84,0.25,24,20.7,1500,41.3,38.0,0.0,0.0,3.0,0.6,40.0,33,103.3,100,band
40.0,41,0.233,14.0,79,0.75,20,0.0,1530,61.7,38.3,5.0,0.0,3.1,1.8,33.0,33,96.9,100,noband
57.5,54,0.267,15.5,80,0.625,55,0.0,1600,62.5,37.5,0.0,0.0,3.0,0.5,45.0,40,103.3,100,noband
47.5,41,0.333,18.0,74,0.5,30,17.7,1900,44.2,38.1,2.0,0.0,2.5,1.0,40.0,33,100.0,100,band
50.0,52,0.2,14.0,80,0.75,60,4.4,1700,54.9,40.7,0.0,0.0,2.5,1.0,40.0,33,100.0,100,band
52.5,54,0.433,16.3,90,0.75,38,0.0,1800,62.5,38.5,0.0,0.0,2.9,1.1,33.0,35,100.0,100,noband
65.0,61,0.367,14.8,80,0.375,45,19.5,1660,42.4,38.1,0.0,0.0,3.0,1.0,32.0,35,105.2,100,noband
45.0,54,0.2,15.0,80,0.812,20,0.0,2000,58.8,41.2,0.0,0.0,1.5,0.6,33.0,35,111.1,100,noband
45.0,54,0.167,18.0,90,0.5,26,8.3,1875,52.1,39.6,0.0,0.0,3.0,1.0,33.0,35,106.9,100,noband
45.0,56,0.333,14.9,85,1.0,30,17.3,1600,48.1,34.6,0.0,0.0,2.8,1.0,40.0,35,100.0,100,noband
35.0,56,0.267,15.0,70,1.0,33,0.0,2350,65.2,34.8,0.0,0.0,2.5,1.0,30.0,40,93.75,90,band
60.0,50,0.3,14.5,60,0.75,40,19.0,1650,47.6,33.3,0.0,0.0,2.5,1.0,40.0,40,103.3,100,noband
40.0,49,0.267,14.0,82,0.625,30,0.0,2150,65.2,34.8,1.0,0.0,2.5,0.9,30.0,40,93.75,90,band
37.5,43,0.2,15.8,80,0.5,32,0.0,2400,62.5,37.5,5.0,0.0,2.5,0.9,35.0,40,96.77,100,noband
45.0,43,0.2,16.0,80,0.75,30,3.1,2200,51.0,45.9,0.0,0.0,2.5,1.3,35.0,40,103.33,100,noband
70.0,43,0.3,18.1,78,0.5,28,14.4,2125,48.1,37.5,5.0,0.0,3.0,0.9,33.0,40,100.0,100,noband
45.0,42,0.2,14.0,75,1.0,20,11.2,1800,51.0,37.8,8.0,0.0,2.5,1.0,35.0,40,100.0,100,noband
50.0,42,0.267,16.0,88,0.75,33,11.5,1650,52.1,36.4,0.0,0.0,2.5,1.0,38.0,40,106.25,100,noband
45.0,60,0.3,16.0,88,0.75,33,0.0,1500,56.8,43.2,0.0,0.0,2.9,1.1,40.0,40,103.22,100,band
40.0,58,0.2,15.5,84,0.375,25,9.0,2000,52.8,38.2,5.0,0.0,3.0,1.1,35.0,40,103.125,100,noband
60.0,60,0.2,15.0,80,0.75,50,10.4,1380,47.2,42.5,0.0,0.0,3.0,1.0,38.0,40,106.5,100,noband
40.0,60,0.2,15.0,85,1.0,25,6.9,2100,54.0,39.1,0.0,0.0,2.5,1.2,35.0,40,103.13,100,band
55.0,61,0.283,21.0,78,1.0,28,0.0,1500,58.8,41.2,3.0,0.0,2.5,0.7,35.0,40,100.0,100,band
40.0,39,0.2,15.0,83,0.625,30,0.0,2000,58.1,41.9,1.0,0.0,2.5,0.6,35.0,40,100.0,100,band
