@relation bands
@attribute Proof_cut real [25.0, 72.5]
@attribute Viscosity integer [35, 72]
@attribute Caliper real [0.133, 0.533]
@attribute Ink_temperature real [11.2, 24.5]
@attribute Humifity integer [57, 105]
@attribute Roughness real [0.056, 1.25]
@attribute Blade_pressure integer [16, 70]
@attribute Varnish_pct real [0.0, 35.8]
@attribute Press_speed integer [0, 2600]
@attribute Ink_pct real [41.0, 76.9]
@attribute Solvent_pct real [22.0, 53.4]
@attribute Esa_voltage real [0.0, 16.0]
@attribute ESA_amperage real [0.0, 6.0]
@attribute Wax real [0.0, 3.1]
@attribute Hardener real [0.0, 3.0]
@attribute Roller_durometer real [28.0, 60.0]
@attribute Density integer [30, 45]
@attribute Anode_ratio real [83.33, 117.86]
@attribute Chrome_content integer [90, 100]
@attribute Band_type {band, noband}
@inputs Proof_cut, Viscosity, Caliper, Ink_temperature, Humifity, Roughness, Blade_pressure, Varnish_pct, Press_speed, Ink_pct, Solvent_pct, Esa_voltage, ESA_amperage, Wax, Hardener, Roller_durometer, Density, Anode_ratio, Chrome_content
@outputs Band_type
@data
55.0,46,0.3,15.0,80,0.75,20,6.6,1900,54.9,38.5,0.0,0.0,2.5,0.7,34.0,40,105.0,100,noband
40.0,45,0.2,15.0,76,0.812,30,0.0,2400,62.5,37.5,0.0,0.0,1.0,1.0,30.0,40,107.4,100,noband
40.0,41,0.2,15.8,72,1.0,30,0.0,2000,62.5,37.5,0.0,0.0,2.5,1.0,30.0,40,107.4,100,band
30.0,45,0.233,17.0,70,0.75,35,0.0,2200,58.8,41.2,0.0,0.0,2.5,1.0,33.0,40,106.45,100,band
45.0,44,0.267,14.1,78,0.625,22,7.6,1510,54.3,38.0,0.0,0.0,2.5,0.7,34.0,40,114.28,100,noband
50.0,43,0.3,17.0,87,0.812,35,0.0,2300,58.8,41.2,0.0,0.0,1.3,0.7,30.0,40,103.22,100,noband
25.0,38,0.233,14.0,70,0.625,25,0.0,1600,58.8,41.2,5.0,0.0,1.7,0.9,30.0,40,103.12,100,noband
40.0,46,0.267,16.5,68,0.875,25,0.0,1700,58.8,41.2,0.0,0.0,1.0,1.0,33.0,40,103.125,100,noband
40.0,35,0.233,18.0,85,0.625,30,0.0,2000,62.5,37.5,0.0,0.0,2.5,0.9,30.0,40,103.125,100,noband
40.0,47,0.35,14.43,76,0.75,16,7.2,2000,51.5,41.2,1.0,0.0,2.7,1.4,40.0,40,100.0,100,band
50.0,43,0.333,14.02,68,0.75,56,7.4,1800,53.2,39.4,0.0,0.5,3.0,1.3,40.0,40,109.67,100,noband
40.0,44,0.2,16.1,78,0.938,30,5.6,1800,55.6,38.9,0.0,0.0,2.0,1.0,35.0,40,103.22,100,noband
40.0,43,0.267,16.0,80,0.562,30,5.6,1900,55.6,38.9,0.0,0.0,2.2,1.3,30.0,40,103.22,100,noband
