@relation unknow
@attribute age real [29.0, 77.0]
@attribute sex real [0.0, 1.0]
@attribute cp real [1.0, 4.0]
@attribute trestbps real [94.0, 200.0]
@attribute chol real [126.0, 564.0]
@attribute fbs real [0.0, 1.0]
@attribute restecg real [0.0, 2.0]
@attribute thalach real [71.0, 202.0]
@attribute exang real [0.0, 1.0]
@attribute oldpeak real [0.0, 6.2]
@attribute slope real [1.0, 3.0]
@attribute ca real [0.0, 3.0]
@attribute thal real [3.0, 7.0]
@attribute num {0, 1, 2, 3, 4}
@inputs age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal
@outputs num
@data
62.0, 0.0, 4.0, 140.0, 268.0, 0.0, 2.0, 160.0, 0.0, 3.6, 3.0, 2.0, 3.0, 3
58.0, 1.0, 3.0, 132.0, 224.0, 0.0, 2.0, 173.0, 0.0, 3.2, 1.0, 2.0, 7.0, 3
60.0, 1.0, 4.0, 117.0, 230.0, 1.0, 0.0, 160.0, 1.0, 1.4, 1.0, 2.0, 7.0, 2
71.0, 0.0, 2.0, 160.0, 302.0, 0.0, 0.0, 162.0, 0.0, 0.4, 1.0, 2.0, 3.0, 0
58.0, 1.0, 3.0, 112.0, 230.0, 0.0, 2.0, 165.0, 0.0, 2.5, 2.0, 1.0, 7.0, 4
54.0, 0.0, 3.0, 135.0, 304.0, 1.0, 0.0, 170.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
60.0, 1.0, 3.0, 140.0, 185.0, 0.0, 2.0, 155.0, 0.0, 3.0, 2.0, 0.0, 3.0, 1
46.0, 1.0, 3.0, 150.0, 231.0, 0.0, 0.0, 147.0, 0.0, 3.6, 2.0, 0.0, 3.0, 1
39.0, 1.0, 3.0, 140.0, 321.0, 0.0, 2.0, 182.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
52.0, 1.0, 2.0, 120.0, 325.0, 0.0, 0.0, 172.0, 0.0, 0.2, 1.0, 0.0, 3.0, 0
51.0, 0.0, 3.0, 130.0, 256.0, 0.0, 2.0, 149.0, 0.0, 0.5, 1.0, 0.0, 3.0, 0
63.0, 0.0, 3.0, 135.0, 252.0, 0.0, 2.0, 172.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
52.0, 1.0, 4.0, 128.0, 255.0, 0.0, 0.0, 161.0, 1.0, 0.0, 1.0, 1.0, 7.0, 1
59.0, 1.0, 4.0, 110.0, 239.0, 0.0, 2.0, 142.0, 1.0, 1.2, 2.0, 1.0, 7.0, 2
45.0, 1.0, 4.0, 115.0, 260.0, 0.0, 2.0, 185.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
57.0, 0.0, 4.0, 128.0, 303.0, 0.0, 2.0, 159.0, 0.0, 0.0, 1.0, 1.0, 3.0, 0
63.0, 1.0, 4.0, 130.0, 330.0, 1.0, 2.0, 132.0, 1.0, 1.8, 1.0, 3.0, 7.0, 3
65.0, 1.0, 1.0, 138.0, 282.0, 1.0, 2.0, 174.0, 0.0, 1.4, 2.0, 1.0, 3.0, 1
51.0, 1.0, 3.0, 94.0, 227.0, 0.0, 0.0, 154.0, 1.0, 0.0, 1.0, 1.0, 7.0, 0
43.0, 0.0, 3.0, 122.0, 213.0, 0.0, 0.0, 165.0, 0.0, 0.2, 2.0, 0.0, 3.0, 0
62.0, 1.0, 2.0, 120.0, 281.0, 0.0, 2.0, 103.0, 0.0, 1.4, 2.0, 1.0, 7.0, 3
64.0, 1.0, 3.0, 125.0, 309.0, 0.0, 0.0, 131.0, 1.0, 1.8, 2.0, 0.0, 7.0, 1
57.0, 1.0, 4.0, 165.0, 289.0, 1.0, 2.0, 124.0, 0.0, 1.0, 2.0, 3.0, 7.0, 4
60.0, 0.0, 3.0, 102.0, 318.0, 0.0, 0.0, 160.0, 0.0, 0.0, 1.0, 1.0, 3.0, 0
52.0, 1.0, 1.0, 152.0, 298.0, 1.0, 0.0, 178.0, 0.0, 1.2, 2.0, 0.0, 7.0, 0
42.0, 0.0, 4.0, 102.0, 265.0, 0.0, 2.0, 122.0, 0.0, 0.6, 2.0, 0.0, 3.0, 0
67.0, 0.0, 3.0, 115.0, 564.0, 0.0, 2.0, 160.0, 0.0, 1.6, 2.0, 0.0, 7.0, 0
70.0, 1.0, 4.0, 130.0, 322.0, 0.0, 2.0, 109.0, 0.0, 2.4, 2.0, 3.0, 3.0, 1
51.0, 1.0, 4.0, 140.0, 299.0, 0.0, 0.0, 173.0, 1.0, 1.6, 1.0, 0.0, 7.0, 1
54.0, 0.0, 3.0, 110.0, 214.0, 0.0, 0.0, 158.0, 0.0, 1.6, 2.0, 0.0, 3.0, 0
57.0, 1.0, 4.0, 132.0, 207.0, 0.0, 0.0, 168.0, 1.0, 0.0, 1.0, 0.0, 7.0, 0
54.0, 0.0, 2.0, 132.0, 288.0, 1.0, 2.0, 159.0, 1.0, 0.0, 1.0, 1.0, 3.0, 0
64.0, 1.0, 4.0, 145.0, 212.0, 0.0, 2.0, 132.0, 0.0, 2.0, 2.0, 2.0, 6.0, 4
56.0, 1.0, 4.0, 132.0, 184.0, 0.0, 2.0, 105.0, 1.0, 2.1, 2.0, 1.0, 6.0, 1
42.0, 1.0, 1.0, 148.0, 244.0, 0.0, 2.0, 178.0, 0.0, 0.8, 1.0, 2.0, 3.0, 0
63.0, 0.0, 2.0, 140.0, 195.0, 0.0, 0.0, 179.0, 0.0, 0.0, 1.0, 2.0, 3.0, 0
66.0, 1.0, 2.0, 160.0, 246.0, 0.0, 0.0, 120.0, 1.0, 0.0, 2.0, 3.0, 6.0, 2
69.0, 1.0, 3.0, 140.0, 254.0, 0.0, 2.0, 146.0, 0.0, 2.0, 2.0, 3.0, 7.0, 2
50.0, 1.0, 3.0, 129.0, 196.0, 0.0, 0.0, 163.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
50.0, 0.0, 2.0, 120.0, 244.0, 0.0, 0.0, 162.0, 0.0, 1.1, 1.0, 0.0, 3.0, 0
64.0, 0.0, 3.0, 140.0, 313.0, 0.0, 0.0, 133.0, 0.0, 0.2, 1.0, 0.0, 7.0, 0
37.0, 0.0, 3.0, 120.0, 215.0, 0.0, 0.0, 170.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
