@relation bands
@attribute Proof_cut real[25.0,72.5]
@attribute Viscosity integer[35,72]
@attribute Caliper real[0.133,0.533]
@attribute Ink_temperature real[11.2,24.5]
@attribute Humifity integer[57,105]
@attribute Roughness real[0.056,1.25]
@attribute Blade_pressure integer[16,70]
@attribute Varnish_pct real[0.0,35.8]
@attribute Press_speed integer[0,2600]
@attribute Ink_pct real[41.0,76.9]
@attribute Solvent_pct real[22.0,53.4]
@attribute Esa_voltage real[0.0,16.0]
@attribute ESA_amperage real[0.0,6.0]
@attribute Wax real[0.0,3.1]
@attribute Hardener real[0.0,3.0]
@attribute Roller_durometer real[28.0,60.0]
@attribute Density integer[30,45]
@attribute Anode_ratio real[83.33,117.86]
@attribute Chrome_content integer[90,100]
@attribute Band_type{band,noband}
@inputs Proof_cut, Viscosity, Caliper, Ink_temperature, Humifity, Roughness, Blade_pressure, Varnish_pct, Press_speed, Ink_pct, Solvent_pct, Esa_voltage, ESA_amperage, Wax, Hardener, Roller_durometer, Density, Anode_ratio, Chrome_content
@outputs Band_type
@data
50.0,50,0.367,14.0,80,0.75,40,10.5,1700,52.6,36.8,0.0,0.0,2.5,1.0,38.0,40,105.0,100,band
50.0,43,0.267,16.0,75,1.0,20,15.8,1600,49.5,34.7,0.0,0.0,2.5,1.0,38.0,40,103.22,100,noband
37.5,44,0.2,16.5,91,0.75,30,21.7,2050,43.5,34.8,0.0,0.0,2.7,0.8,35.0,40,107.4,100,noband
32.5,43,0.2,15.0,82,1.0,31,7.6,1500,54.3,38.0,4.0,0.0,2.5,1.0,40.0,40,103.12,100,noband
52.5,43,0.233,16.6,58,0.75,20,7.9,1480,56.2,36.0,0.0,0.0,1.7,0.7,33.0,40,103.12,100,noband
25.0,38,0.2,13.0,75,0.625,25,0.0,1600,57.5,42.5,0.0,0.0,2.5,0.85,30.0,40,103.12,100,noband
60.0,49,0.333,14.9,77,0.75,27,0.0,1650,58.8,41.2,0.0,0.0,2.5,0.7,33.0,40,103.33,100,noband
50.0,55,0.233,13.86,70,0.625,47,10.2,1635,51.0,38.8,0.0,0.0,3.0,1.0,40.0,40,100.0,100,noband
55.0,53,0.3,14.2,72,0.625,25,22.7,1750,45.5,31.8,1.0,0.0,2.4,0.9,34.0,40,103.125,100,band
40.0,50,0.2,16.0,68,0.812,30,0.0,2400,58.8,41.2,8.0,0.0,2.5,1.5,33.0,40,103.125,100,noband
40.0,68,0.3,14.0,88,0.75,32,0.0,1742,60.0,40.0,3.0,0.0,2.5,1.0,40.0,40,103.125,100,band
40.0,38,0.3,16.0,92,0.625,25,1.1,1900,53.8,45.2,0.0,0.0,2.5,1.0,30.0,33,100.0,100,noband
40.0,48,0.333,15.0,75,1.0,30,0.0,1720,61.7,38.3,0.0,0.0,2.5,3.0,33.0,33,103.2,100,noband
50.0,48,0.233,15.5,68,0.812,30,0.0,1900,57.4,42.6,10.0,0.0,1.5,1.0,30.0,33,100.0,100,noband
40.0,54,0.233,15.0,80,0.75,28,0.0,1800,58.8,41.2,0.0,0.0,2.5,1.2,30.0,33,100.0,100,noband
52.5,62,0.433,14.5,95,0.75,20,0.0,1950,58.8,41.2,0.0,0.0,2.0,1.0,38.0,35,100.0,100,band
30.0,58,0.433,15.9,81,0.625,30,0.0,2150,62.5,37.5,10.0,0.0,2.5,1.0,30.0,35,90.0,100,noband
57.5,55,0.333,14.0,86,0.75,30,13.0,1700,50.0,37.0,0.0,0.0,2.9,0.9,34.0,35,100.0,100,noband
65.0,49,0.333,13.5,82,0.625,30,0.0,1350,68.2,31.8,1.0,0.0,2.5,1.0,38.0,37,103.2,100,band
40.0,47,0.2,15.0,75,0.75,25,0.0,2100,61.1,38.9,0.0,0.0,2.4,1.1,33.0,40,96.9,100,noband
45.0,47,0.2,14.0,80,0.75,20,18.0,1800,45.0,37.0,0.0,0.0,2.5,0.8,40.0,40,96.9,100,noband
45.0,55,0.3,16.1,82,0.75,30,0.0,2400,58.8,41.2,0.0,0.0,2.0,0.8,30.0,45,93.75,100,noband
47.5,53,0.3,15.0,72,0.75,25,22.0,1500,45.9,32.1,0.0,0.0,2.5,0.8,35.0,40,114.3,100,band
55.0,48,0.233,18.0,76,0.25,24,10.0,1600,60.0,30.0,0.0,0.0,3.0,0.9,35.0,40,93.55,90,band
30.0,53,0.333,14.0,85,0.75,30,15.0,2290,50.0,35.0,0.0,0.0,2.0,1.5,33.0,40,110.7,100,noband
35.0,42,0.3,15.9,78,0.375,32,0.0,2150,62.5,37.5,0.0,0.0,1.7,0.9,30.0,40,101.67,100,band
40.0,47,0.2,16.53,78,0.812,24,0.0,2189,58.8,41.2,0.0,0.0,2.0,0.8,30.0,40,100.0,100,noband
50.0,42,0.3,17.0,88,0.75,30,0.0,1600,62.5,27.5,5.0,0.0,2.6,1.0,38.0,40,106.25,100,band
32.0,42,0.233,16.0,70,0.625,48,0.0,1350,63.9,36.1,0.0,0.0,3.0,1.0,34.0,40,100.0,100,noband
55.0,40,0.3,15.1,69,0.625,20,19.5,1450,44.2,36.3,0.0,0.0,2.5,0.9,34.0,40,106.45,100,noband
40.0,58,0.2,17.0,75,0.056,30,0.0,1900,58.8,41.2,0.0,0.0,2.6,1.4,30.0,40,103.225,100,band
45.0,58,0.2,15.0,75,0.625,20,10.5,2100,52.6,36.8,0.0,0.0,2.5,0.7,33.0,40,103.125,100,noband
50.0,47,0.2,15.0,80,0.625,28,0.0,1750,59.0,41.0,0.0,0.0,1.0,1.0,38.0,40,91.89,100,band
