@relation banana
@attribute At1 real [-3.09, 2.81]
@attribute At2 real [-2.39, 3.19]
@attribute Class {-1.0, 1.0}
@inputs At1, At2
@outputs Class
@data
-0.916, 0.397, 1.0
-0.482, -0.485, 1.0
-1.02, 0.619, -1.0
-0.595, -0.651, 1.0
1.18, -0.335, 1.0
2.52, 1.43, 1.0
1.71, -0.044, -1.0
1.13, 1.48, -1.0
-0.75, -0.881, -1.0
1.13, 0.405, -1.0
-1.31, 1.25, -1.0
0.0483, 0.866, -1.0
0.522, 1.46, -1.0
0.396, -0.606, 1.0
0.536, 0.921, -1.0
-0.123, -1.07, -1.0
-1.62, 0.593, -1.0
-0.124, -1.12, -1.0
-0.308, 2.19, 1.0
-1.69, -1.87, 1.0
0.495, -0.281, 1.0
-1.03, 0.654, -1.0
0.431, -1.33, -1.0
1.22, 0.561, -1.0
-0.838, 0.356, 1.0
-0.28, -1.3, -1.0
1.2, 1.54, 1.0
2.07, 1.02, 1.0
-0.462, -0.187, 1.0
-0.819, 1.26, -1.0
0.845, 0.766, -1.0
1.39, -0.376, -1.0
-0.214, 0.38, 1.0
-0.634, -0.969, -1.0
-1.21, 1.27, -1.0
-0.0962, 0.19, 1.0
2.35, 1.21, 1.0
0.0179, -0.7, 1.0
-0.62, -0.984, -1.0
-0.0625, -0.12, 1.0
0.666, 1.36, 1.0
-0.52, -1.17, -1.0
-0.753, -0.0615, 1.0
1.08, 0.683, -1.0
0.497, -0.671, 1.0
0.174, 1.92, -1.0
0.579, -1.02, 1.0
1.06, -0.69, 1.0
-0.75, 1.14, -1.0
1.14, -0.209, 1.0
-1.07, 0.707, -1.0
-0.723, 0.633, -1.0
0.36, -0.715, 1.0
0.0681, -0.76, -1.0
-0.574, 1.32, -1.0
0.0345, -0.691, -1.0
0.163, -1.31, -1.0
-1.9, 0.106, 1.0
-0.796, -1.63, -1.0
0.842, -1.41, 1.0
1.87, -0.239, -1.0
0.404, -0.868, -1.0
-1.35, 1.32, -1.0
-0.639, -0.938, -1.0
0.0346, 1.7, -1.0
1.63, -0.251, -1.0
0.812, -0.195, 1.0
-0.358, -1.02, -1.0
-1.54, -0.643, 1.0
0.311, 1.76, -1.0
1.88, -0.368, -1.0
-1.18, -0.0978, 1.0
0.0431, -0.0199, 1.0
