@relation unknow
@attribute age real [29.0, 77.0]
@attribute sex real [0.0, 1.0]
@attribute cp real [1.0, 4.0]
@attribute trestbps real [94.0, 200.0]
@attribute chol real [126.0, 564.0]
@attribute fbs real [0.0, 1.0]
@attribute restecg real [0.0, 2.0]
@attribute thalach real [71.0, 202.0]
@attribute exang real [0.0, 1.0]
@attribute oldpeak real [0.0, 6.2]
@attribute slope real [1.0, 3.0]
@attribute ca real [0.0, 3.0]
@attribute thal real [3.0, 7.0]
@attribute num {0, 1, 2, 3, 4}
@inputs age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal
@outputs num
@data
67.0, 1.0, 4.0, 160.0, 286.0, 0.0, 2.0, 108.0, 1.0, 1.5, 2.0, 3.0, 3.0, 2
63.0, 1.0, 4.0, 130.0, 254.0, 0.0, 2.0, 147.0, 0.0, 1.4, 2.0, 1.0, 7.0, 2
56.0, 0.0, 2.0, 140.0, 294.0, 0.0, 2.0, 153.0, 0.0, 1.3, 2.0, 0.0, 3.0, 0
48.0, 1.0, 2.0, 110.0, 229.0, 0.0, 0.0, 168.0, 0.0, 1.0, 3.0, 0.0, 7.0, 1
49.0, 1.0, 2.0, 130.0, 266.0, 0.0, 0.0, 171.0, 0.0, 0.6, 1.0, 0.0, 3.0, 0
64.0, 1.0, 1.0, 110.0, 211.0, 0.0, 2.0, 144.0, 1.0, 1.8, 2.0, 0.0, 3.0, 0
50.0, 0.0, 3.0, 120.0, 219.0, 0.0, 0.0, 158.0, 0.0, 1.6, 2.0, 0.0, 3.0, 0
58.0, 0.0, 3.0, 120.0, 340.0, 0.0, 0.0, 172.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
42.0, 1.0, 4.0, 140.0, 226.0, 0.0, 0.0, 178.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
43.0, 1.0, 4.0, 120.0, 177.0, 0.0, 2.0, 120.0, 1.0, 2.5, 2.0, 0.0, 7.0, 3
57.0, 1.0, 4.0, 150.0, 276.0, 0.0, 2.0, 112.0, 1.0, 0.6, 2.0, 1.0, 6.0, 1
55.0, 1.0, 4.0, 132.0, 353.0, 0.0, 0.0, 132.0, 1.0, 1.2, 2.0, 1.0, 7.0, 3
59.0, 1.0, 3.0, 150.0, 212.0, 1.0, 0.0, 157.0, 0.0, 1.6, 1.0, 0.0, 3.0, 0
61.0, 0.0, 4.0, 130.0, 330.0, 0.0, 2.0, 169.0, 0.0, 0.0, 1.0, 0.0, 3.0, 1
50.0, 1.0, 4.0, 150.0, 243.0, 0.0, 2.0, 128.0, 0.0, 2.6, 2.0, 0.0, 7.0, 4
53.0, 1.0, 3.0, 130.0, 197.0, 1.0, 2.0, 152.0, 0.0, 1.2, 3.0, 0.0, 3.0, 0
44.0, 1.0, 4.0, 112.0, 290.0, 0.0, 2.0, 153.0, 0.0, 0.0, 1.0, 1.0, 3.0, 2
50.0, 1.0, 3.0, 140.0, 233.0, 0.0, 0.0, 163.0, 0.0, 0.6, 2.0, 1.0, 7.0, 1
58.0, 1.0, 4.0, 128.0, 216.0, 0.0, 2.0, 131.0, 1.0, 2.2, 2.0, 3.0, 7.0, 1
60.0, 1.0, 4.0, 145.0, 282.0, 0.0, 2.0, 142.0, 1.0, 2.8, 2.0, 2.0, 7.0, 2
54.0, 1.0, 3.0, 150.0, 232.0, 0.0, 2.0, 165.0, 0.0, 1.6, 1.0, 0.0, 7.0, 0
59.0, 1.0, 4.0, 170.0, 326.0, 0.0, 2.0, 140.0, 1.0, 3.4, 3.0, 0.0, 7.0, 2
62.0, 1.0, 4.0, 120.0, 267.0, 0.0, 0.0, 99.0, 1.0, 1.8, 2.0, 2.0, 7.0, 1
60.0, 0.0, 4.0, 150.0, 258.0, 0.0, 2.0, 157.0, 0.0, 2.6, 2.0, 2.0, 7.0, 3
52.0, 1.0, 2.0, 134.0, 201.0, 0.0, 0.0, 158.0, 0.0, 0.8, 1.0, 1.0, 3.0, 0
49.0, 1.0, 3.0, 120.0, 188.0, 0.0, 0.0, 139.0, 0.0, 2.0, 2.0, 3.0, 7.0, 3
54.0, 1.0, 2.0, 108.0, 309.0, 0.0, 0.0, 156.0, 0.0, 0.0, 1.0, 0.0, 7.0, 0
62.0, 0.0, 4.0, 124.0, 209.0, 0.0, 0.0, 163.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
51.0, 1.0, 4.0, 140.0, 261.0, 0.0, 2.0, 186.0, 1.0, 0.0, 1.0, 0.0, 3.0, 0
45.0, 1.0, 2.0, 128.0, 308.0, 0.0, 2.0, 170.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
48.0, 1.0, 3.0, 124.0, 255.0, 1.0, 0.0, 175.0, 0.0, 0.0, 1.0, 2.0, 3.0, 0
35.0, 1.0, 4.0, 126.0, 282.0, 0.0, 2.0, 156.0, 1.0, 0.0, 1.0, 0.0, 7.0, 1
57.0, 1.0, 4.0, 152.0, 274.0, 0.0, 0.0, 88.0, 1.0, 1.2, 2.0, 1.0, 7.0, 1
52.0, 1.0, 4.0, 108.0, 233.0, 1.0, 0.0, 147.0, 0.0, 0.1, 1.0, 3.0, 7.0, 0
43.0, 1.0, 3.0, 130.0, 315.0, 0.0, 0.0, 162.0, 0.0, 1.9, 1.0, 1.0, 3.0, 0
54.0, 1.0, 2.0, 192.0, 283.0, 0.0, 2.0, 195.0, 0.0, 0.0, 1.0, 1.0, 7.0, 1
68.0, 0.0, 3.0, 120.0, 211.0, 0.0, 2.0, 115.0, 0.0, 1.5, 2.0, 0.0, 3.0, 0
59.0, 1.0, 1.0, 160.0, 273.0, 0.0, 2.0, 125.0, 0.0, 0.0, 1.0, 0.0, 3.0, 1
38.0, 1.0, 1.0, 120.0, 231.0, 0.0, 0.0, 182.0, 1.0, 3.8, 2.0, 0.0, 7.0, 4
41.0, 1.0, 3.0, 130.0, 214.0, 0.0, 2.0, 168.0, 0.0, 2.0, 2.0, 0.0, 3.0, 0
54.0, 0.0, 3.0, 108.0, 267.0, 0.0, 2.0, 167.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
47.0, 1.0, 4.0, 112.0, 204.0, 0.0, 0.0, 143.0, 0.0, 0.1, 1.0, 0.0, 3.0, 0
49.0, 1.0, 3.0, 118.0, 149.0, 0.0, 2.0, 126.0, 0.0, 0.8, 1.0, 3.0, 3.0, 1
42.0, 1.0, 2.0, 120.0, 295.0, 0.0, 0.0, 162.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
64.0, 1.0, 4.0, 128.0, 263.0, 0.0, 0.0, 105.0, 1.0, 0.2, 2.0, 1.0, 7.0, 0
43.0, 1.0, 4.0, 115.0, 303.0, 0.0, 0.0, 181.0, 0.0, 1.2, 2.0, 0.0, 3.0, 0
76.0, 0.0, 3.0, 140.0, 197.0, 0.0, 1.0, 116.0, 0.0, 1.1, 2.0, 0.0, 3.0, 0
