@relation unknow
@attribute a01 real [0.0, 1.0]
@attribute a02 real [0.0, 0.0]
@attribute a03 real [-1.0, 1.0]
@attribute a04 real [-1.0, 1.0]
@attribute a05 real [-1.0, 1.0]
@attribute a06 real [-1.0, 1.0]
@attribute a07 real [-1.0, 1.0]
@attribute a08 real [-1.0, 1.0]
@attribute a09 real [-1.0, 1.0]
@attribute a10 real [-1.0, 1.0]
@attribute a11 real [-1.0, 1.0]
@attribute a12 real [-1.0, 1.0]
@attribute a13 real [-1.0, 1.0]
@attribute a14 real [-1.0, 1.0]
@attribute a15 real [-1.0, 1.0]
@attribute a16 real [-1.0, 1.0]
@attribute a17 real [-1.0, 1.0]
@attribute a18 real [-1.0, 1.0]
@attribute a19 real [-1.0, 1.0]
@attribute a20 real [-1.0, 1.0]
@attribute a21 real [-1.0, 1.0]
@attribute a22 real [-1.0, 1.0]
@attribute a23 real [-1.0, 1.0]
@attribute a24 real [-1.0, 1.0]
@attribute a25 real [-1.0, 1.0]
@attribute a26 real [-1.0, 1.0]
@attribute a27 real [-1.0, 1.0]
@attribute a28 real [-1.0, 1.0]
@attribute a29 real [-1.0, 1.0]
@attribute a30 real [-1.0, 1.0]
@attribute a31 real [-1.0, 1.0]
@attribute a32 real [-1.0, 1.0]
@attribute a33 real [-1.0, 1.0]
@attribute a34 real [-1.0, 1.0]
@attribute class {b, g}
@inputs a01, a02, a03, a04, a05, a06, a07, a08, a09, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34
@outputs class
@data
1.0, 0.0, 0.29202, 0.13582, 0.45331, 0.16808, 0.51783, -0.00509, 0.52632, 0.20883, 0.52462, -0.16638, 0.47368, -0.04754, 0.55518, 0.03905, 0.81664, -0.22411, 0.42445, -0.04244, 0.34975, 0.06621, 0.28183, -0.20883, 0.51731, -0.03176, 0.50369, -0.03351, 0.34635, 0.09847, 0.70798, -0.01868, 0.39559, -0.03226, g
1.0, 0.0, 0.87048, 0.38027, 0.64099, 0.69212, 0.31347, 0.86625, -0.03933, 0.9074, -0.42173, 0.79346, -0.70561, 0.5156, -0.81049, 0.22735, -0.81136, -0.12539, -0.67474, -0.38102, -0.38334, -0.62861, -0.13013, -0.70762, 0.15552, -0.66421, 0.38544, -0.51568, 0.52573, -0.29897, 0.56239, -0.05938, 0.5146, 0.16645, g
1.0, 0.0, 1.0, 1.0, 0.367, 0.06158, 0.12993, 0.92713, -0.27586, 0.93596, -0.31527, 0.37685, -0.87192, 0.36946, -0.92857, -0.08867, -0.38916, -0.34236, -0.46552, -0.82512, -0.05419, -0.93596, 0.25616, -0.20443, 0.73792, -0.4595, 0.85471, -0.06831, 1.0, 1.0, 0.3867, 0.00246, 0.17758, 0.7979, g
1.0, 0.0, 0.69444, 0.38889, 0.0, 0.0, -0.32937, 0.69841, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20635, -0.24206, 0.21032, 0.19444, 0.46429, 0.78175, 0.0, 0.0, 0.0, 0.0, 0.73413, 0.27381, 0.7619, 0.63492, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, b
1.0, 0.0, -0.64286, -1.0, 1.0, 0.82857, 1.0, -1.0, 1.0, -0.23393, 1.0, 0.96161, 1.0, -0.37679, 1.0, -1.0, 1.0, 0.13839, 1.0, -1.0, 1.0, -0.03393, -0.84286, 1.0, 0.5375, 0.85714, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, b
1.0, 0.0, 0.10135, 0.10811, 0.0, 0.0, 0.0, 0.0, 0.5473, 0.82432, 0.31081, 1.0, 0.0, 0.0, 0.0, 0.0, 0.37162, -1.0, 0.33108, -1.0, 0.0, 0.0, 0.0, 0.0, -0.42568, -1.0, 1.0, -1.0, 0.55405, -0.23649, 0.0, 0.0, 0.0, 0.0, b
1.0, 0.0, 0.9408, 0.11933, 0.85738, 0.01038, 0.85124, 0.01546, 0.76966, -0.00278, 0.84459, 0.10916, 0.83289, 0.03027, 0.8268, 0.03506, 0.74838, 0.01943, 0.80019, 0.02405, 0.80862, 0.04901, 0.80259, 0.05352, 0.77336, 0.0222, 0.79058, 0.06235, 0.85939, 0.09251, 0.77863, 0.0709, 0.77269, 0.07508, g
1.0, 0.0, 0.96071, 0.07088, 1.0, 0.04296, 1.0, 0.09313, 0.90169, -0.05144, 0.89263, 0.0258, 0.8325, -0.06142, 0.87534, 0.09831, 0.76544, 0.0028, 0.75206, -0.05295, 0.65961, -0.07905, 0.64158, -0.05929, 0.55677, -0.07705, 0.58051, -0.02205, 0.49664, -0.01251, 0.5131, -1.5E-4, 0.52099, -0.00182, g
1.0, 0.0, 1.0, 0.09802, 1.0, 0.25101, 0.9839, 0.33044, 0.80365, 0.5302, 0.74977, 0.60297, 0.56937, 0.71942, 0.55311, 0.74079, 0.29452, 0.82193, 0.21137, 0.79777, 0.09709, 0.82162, -0.01734, 0.7987, -0.15144, 0.75596, -0.22839, 0.69187, -0.31713, 0.60948, -0.40291, 0.54522, -0.42815, 0.44534, g
1.0, 0.0, 0.74704, -0.13241, 0.53755, 0.16996, 0.72727, 0.09486, 0.69565, -0.11067, 0.66798, -0.23518, 0.87945, -0.1917, 0.73715, 0.0415, 0.63043, -0.00395, 0.63636, -0.11858, 0.79249, -0.25296, 0.66403, -0.28656, 0.67194, -0.10474, 0.61847, -0.12041, 0.60079, -0.20949, 0.37549, 0.06917, 0.61067, -0.01383, g
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0, 1.0, 0.37333, -0.12, -0.12, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 1.0, -1.0, 0.0, 0.0, 1.0, 0.22667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, b
0.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0, b
1.0, 0.0, 0.36876, -1.0, -1.0, -1.0, -0.07661, 1.0, 1.0, 0.95041, 0.74597, -0.3871, -1.0, -0.79313, -0.09677, 1.0, 0.48684, 0.46502, 0.31755, -0.27461, -0.14343, -0.20188, -0.11976, 0.06895, 0.03021, 0.06639, 0.03443, -0.01186, -0.00403, -0.01672, -0.00761, 0.00108, 1.5E-4, 0.00325, b
1.0, 0.0, 0.67065, 0.02528, 0.66626, 0.05031, 0.57197, 0.18761, 0.08776, 0.34081, 0.63621, 0.12131, 0.62099, 0.14285, 0.78637, 0.10976, 0.58373, 0.18151, 0.14395, 0.41224, 0.53888, 0.21326, 0.5142, 0.22625, 0.48838, 0.23724, 0.46167, 0.24618, 0.43433, 0.25306, 0.40663, 0.25792, 1.0, 0.33036, g
1.0, 0.0, 0.80627, 0.13069, 0.73061, 0.24323, 0.64615, 0.19038, 0.36923, 0.45577, 0.44793, 0.46439, 0.25, 0.57308, 0.25192, 0.37115, 0.15215, 0.51877, -0.09808, 0.575, -0.03462, 0.42885, -0.08856, 0.44424, -0.14943, 0.40006, -0.1994, 0.34976, -0.23832, 0.29541, -0.26634, 0.23896, -0.23846, 0.31154, g
