@relation unknow
@attribute a1 real [13.0, 334177.0]
@attribute a2 real [0.0, 256382.0]
@attribute a3 real [3.0, 5323.0]
@attribute a4 real [1.0, 893.0]
@attribute a5 real [0.0, 675.0]
@attribute a6 real [-457916.0, 575241.0]
@attribute a7 real [-297172.0, 238321.0]
@attribute a8 real [-205895.0, 179851.0]
@attribute a9 real [0.0, 89958.0]
@attribute a10 real [57.0, 495561.0]
@attribute a11 {g, h}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9, a10
@outputs a11
@data
3492.0, 15962.0, 2846.0, 327.0, 176.0, 15802.0, 11825.0, 11977.0, 959.0, 154712.0, g
25158.0, 12864.0, 2456.0, 462.0, 236.0, -24164.0, 11107.0, 7871.0, 47777.0, 149657.0, g
23211.0, 18431.0, 2747.0, 414.0, 22.0, 22805.0, 22652.0, 11701.0, 2846.0, 51499.0, g
23159.0, 5.0, 2132.0, 768.0, 388.0, 25351.0, 15032.0, 0.0, 61562.0, 14773.0, g
34424.0, 966.0, 2496.0, 489.0, 254.0, -29883.0, 23176.0, 6903.0, 27604.0, 18212.0, g
88017.0, 21611.0, 3246.0, 182.0, 93.0, 77091.0, 782.0, 2376.0, 6986.0, 243888.0, g
36852.0, 25134.0, 3005.0, 218.0, 113.0, 19247.0, 29505.0, 6207.0, 8877.0, 98712.0, g
17269.0, 1114.0, 225.0, 556.0, 312.0, 1263.0, -6316.0, 5349.0, 4008.0, 206442.0, g
31442.0, 19732.0, 2983.0, 333.0, 172.0, 2373.0, 2171.0, 10687.0, 27914.0, 96397.0, g
41294.0, 12674.0, 2694.0, 346.0, 181.0, -35225.0, -3003.0, 8742.0, 5153.0, 174052.0, g
41103.0, 11848.0, 2528.0, 4.0, 212.0, 31225.0, 20736.0, -978.0, 7067.0, 226629.0, g
23683.0, 0.0, 2051.0, 729.0, 369.0, 2667.0, -12818.0, 0.0, 77229.0, 79919.0, g
16041.0, 7144.0, 23.0, 852.0, 614.0, -294.0, -7937.0, -615.0, 6218.0, 203754.0, g
50171.0, 20665.0, 2986.0, 221.0, 114.0, -10844.0, -50462.0, -8821.0, 47392.0, 198364.0, g
23131.0, 14996.0, 2597.0, 412.0, 211.0, -9369.0, 2833.0, -7118.0, 41092.0, 212261.0, g
80219.0, 25896.0, 3459.0, 24.0, 147.0, -46652.0, 68024.0, 18484.0, 146.0, 315008.0, g
