@relation unknow
@attribute a1 real [13.0, 334177.0]
@attribute a2 real [0.0, 256382.0]
@attribute a3 real [3.0, 5323.0]
@attribute a4 real [1.0, 893.0]
@attribute a5 real [0.0, 675.0]
@attribute a6 real [-457916.0, 575241.0]
@attribute a7 real [-297172.0, 238321.0]
@attribute a8 real [-205895.0, 179851.0]
@attribute a9 real [0.0, 89958.0]
@attribute a10 real [57.0, 495561.0]
@attribute a11 {g, h}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9, a10
@outputs a11
@data
3492.0, 15962.0, 2846.0, 327.0, 176.0, 15802.0, 11825.0, 11977.0, 959.0, 154712.0, g
26977.0, 9724.0, 2306.0, 459.0, 24.0, -12317.0, 16287.0, 1648.0, 3675.0, 197338.0, g
29817.0, 19836.0, 2737.0, 372.0, 239.0, 10007.0, 23941.0, 1507.0, 15933.0, 222184.0, g
39176.0, 26382.0, 2797.0, 345.0, 2.0, -38124.0, 25422.0, 17057.0, 6497.0, 299173.0, g
414.0, 25658.0, 3041.0, 204.0, 102.0, 39265.0, 30505.0, -2335.0, 634.0, 91228.0, g
26893.0, 17768.0, 2844.0, 378.0, 236.0, -1671.0, -8159.0, -15811.0, 23821.0, 10902.0, g
28088.0, 6808.0, 225.0, 59.0, 317.0, -7709.0, -17411.0, -2859.0, 27549.0, 146596.0, g
25158.0, 12864.0, 2456.0, 462.0, 236.0, -24164.0, 11107.0, 7871.0, 47777.0, 149657.0, g
25569.0, 19074.0, 2291.0, 716.0, 422.0, 16707.0, 25194.0, -14876.0, 74308.0, 31647.0, g
37352.0, 16865.0, 2788.0, 396.0, 209.0, 4494.0, 31505.0, -11611.0, 1713.0, 184572.0, g
21633.0, 17222.0, 2543.0, 421.0, 225.0, 7969.0, 9602.0, 14492.0, 10615.0, 186555.0, g
23211.0, 18431.0, 2747.0, 414.0, 22.0, 22805.0, 22652.0, 11701.0, 2846.0, 51499.0, g
23159.0, 5.0, 2132.0, 768.0, 388.0, 25351.0, 15032.0, 0.0, 61562.0, 14773.0, g
34424.0, 966.0, 2496.0, 489.0, 254.0, -29883.0, 23176.0, 6903.0, 27604.0, 18212.0, g
32095.0, 13411.0, 2692.0, 405.0, 237.0, 40987.0, 17301.0, 665.0, 14233.0, 197379.0, g
80063.0, 31683.0, 3728.0, 11.0, 56.0, 30197.0, 73153.0, -12444.0, 57.0, 286451.0, g
22795.0, 17622.0, 2289.0, 473.0, 244.0, -25018.0, -1219.0, -12005.0, 37213.0, 173349.0, g
19663.0, 9268.0, 223.0, 618.0, 415.0, -2048.0, -14148.0, 2748.0, 8109.0, 211998.0, g
37612.0, 14301.0, 274.0, 334.0, 192.0, 6105.0, 21312.0, 10035.0, 28521.0, 220166.0, g
22241.0, 8967.0, 2253.0, 654.0, 338.0, 783.0, 10364.0, 946.0, 3261.0, 185545.0, g
70229.0, 28415.0, 3183.0, 255.0, 151.0, -19678.0, 65132.0, -19962.0, 1562.0, 321541.0, g
88017.0, 21611.0, 3246.0, 182.0, 93.0, 77091.0, 782.0, 2376.0, 6986.0, 243888.0, g
36852.0, 25134.0, 3005.0, 218.0, 113.0, 19247.0, 29505.0, 6207.0, 8877.0, 98712.0, g
5777.0, 19841.0, 3146.0, 227.0, 15.0, 33752.0, 43278.0, -4855.0, 6527.0, 154146.0, g
17269.0, 1114.0, 225.0, 556.0, 312.0, 1263.0, -6316.0, 5349.0, 4008.0, 206442.0, g
35315.0, 16406.0, 2687.0, 314.0, 18.0, 44324.0, 2992.0, -9498.0, 5231.0, 151136.0, g
31442.0, 19732.0, 2983.0, 333.0, 172.0, 2373.0, 2171.0, 10687.0, 27914.0, 96397.0, g
43964.0, 15125.0, 2845.0, 321.0, 203.0, -24454.0, -25943.0, 11334.0, 1228.0, 17196.0, g
34929.0, 15993.0, 2566.0, 35.0, 186.0, 31174.0, 23947.0, -8175.0, 1394.0, 210866.0, g
19866.0, 10773.0, 2332.0, 595.0, 333.0, -8046.0, 17566.0, 9981.0, 17929.0, 5345.0, g
36457.0, 962.0, 247.0, 522.0, 273.0, 3059.0, 22794.0, -3698.0, 19724.0, 228153.0, g
3897.0, 14899.0, 2826.0, 391.0, 257.0, 17011.0, 34847.0, -9842.0, 1453.0, 215223.0, g
2271.0, 17514.0, 2541.0, 368.0, 2.0, -9084.0, 9921.0, -15822.0, 78773.0, 140182.0, g
50045.0, 32915.0, 2947.0, 202.0, 106.0, -30798.0, -37444.0, 19244.0, 69094.0, 94916.0, g
1923.0, 11444.0, 2366.0, 599.0, 304.0, -10422.0, -18422.0, 8921.0, 24262.0, 222838.0, g
94843.0, 46501.0, 4161.0, 84.0, 44.0, 97085.0, 82809.0, -29645.0, 3276.0, 264476.0, g
41294.0, 12674.0, 2694.0, 346.0, 181.0, -35225.0, -3003.0, 8742.0, 5153.0, 174052.0, g
27336.0, 8088.0, 2258.0, 602.0, 318.0, 14405.0, 17554.0, -4133.0, 19459.0, 76649.0, g
41103.0, 11848.0, 2528.0, 4.0, 212.0, 31225.0, 20736.0, -978.0, 7067.0, 226629.0, g
23683.0, 0.0, 2051.0, 729.0, 369.0, 2667.0, -12818.0, 0.0, 77229.0, 79919.0, g
20083.0, 15499.0, 2363.0, 477.0, 25.0, 1227.0, 18253.0, 10776.0, 2062.0, 96767.0, g
23787.0, 13453.0, 2325.0, 501.0, 31.0, -24077.0, -14559.0, 9071.0, 4575.0, 10702.0, g
18514.0, 16925.0, 2533.0, 55.0, 291.0, 22226.0, 8083.0, -14144.0, 1174.0, 161406.0, g
16041.0, 7144.0, 23.0, 852.0, 614.0, -294.0, -7937.0, -615.0, 6218.0, 203754.0, g
50171.0, 20665.0, 2986.0, 221.0, 114.0, -10844.0, -50462.0, -8821.0, 47392.0, 198364.0, g
56521.0, 25534.0, 3302.0, 173.0, 87.0, 37594.0, 32893.0, -17352.0, 2379.0, 234512.0, g
27428.0, 12636.0, 2756.0, 392.0, 213.0, -133.0, 19197.0, 546.0, 3597.0, 255342.0, g
47836.0, 20812.0, 3392.0, 256.0, 141.0, 19236.0, 37475.0, -8701.0, 468.0, 215892.0, g
22616.0, 12698.0, 2279.0, 579.0, 313.0, 17014.0, 10195.0, 9062.0, 34598.0, 178035.0, g
27882.0, 17644.0, 2746.0, 376.0, 199.0, 33244.0, 19635.0, 7669.0, 37904.0, 202109.0, g
25153.0, 0.0, 216.0, 74.0, 467.0, 24187.0, 18169.0, 0.0, 61216.0, 237147.0, g
23131.0, 14996.0, 2597.0, 412.0, 211.0, -9369.0, 2833.0, -7118.0, 41092.0, 212261.0, g
483.0, 20615.0, 3009.0, 215.0, 119.0, 3648.0, 33103.0, -16025.0, 13028.0, 193971.0, g
31866.0, 17913.0, 266.0, 308.0, 163.0, 465.0, -2058.0, -8888.0, 2875.0, 139923.0, g
49544.0, 26269.0, 3528.0, 185.0, 97.0, 6905.0, 33604.0, 17394.0, 2433.0, 173885.0, g
72734.0, 25203.0, 3239.0, 217.0, 11.0, -48488.0, 3395.0, -4883.0, 3484.0, 293046.0, g
114722.0, 5897.0, 4445.0, 54.0, 27.0, 92306.0, 93767.0, -4316.0, 2934.0, 25785.0, g
80219.0, 25896.0, 3459.0, 24.0, 147.0, -46652.0, 68024.0, 18484.0, 146.0, 315008.0, g
53968.0, 25405.0, 3024.0, 218.0, 112.0, 16744.0, 50671.0, -1117.0, 8986.0, 261066.0, g
30797.0, 21285.0, 2714.0, 329.0, 198.0, 27194.0, 31548.0, -10674.0, 18654.0, 136253.0, g
66403.0, 32258.0, 3635.0, 138.0, 71.0, 57447.0, 48719.0, 26097.0, 9455.0, 224235.0, g
51824.0, 31499.0, 2877.0, 172.0, 9.0, 92315.0, -40315.0, -23188.0, 721.0, 158941.0, g
49922.0, 22332.0, 3293.0, 236.0, 121.0, 6722.0, 51401.0, -12995.0, 685.0, 240119.0, g
58036.0, 16086.0, 2903.0, 231.0, 121.0, 4615.0, 18862.0, -12331.0, 4913.0, 133565.0, g
51573.0, 25264.0, 3326.0, 178.0, 91.0, 834.0, 40431.0, -17456.0, 3174.0, 235107.0, g
28468.0, 2005.0, 2744.0, 347.0, 236.0, 17998.0, 1904.0, -14626.0, 10618.0, 12478.0, g
45415.0, 25363.0, 3139.0, 228.0, 116.0, 10349.0, 15256.0, 16218.0, 13285.0, 247465.0, g
28217.0, 17031.0, 2603.0, 37.0, 188.0, 25747.0, -9524.0, -13395.0, 14081.0, 215501.0, g
71958.0, 1256.0, 2723.0, 388.0, 207.0, -58961.0, 44307.0, 708.0, 9054.0, 273848.0, g
70308.0, 25174.0, 3324.0, 167.0, 86.0, -81475.0, 22391.0, -166.0, 3951.0, 243299.0, g
57813.0, 33036.0, 387.0, 131.0, 76.0, -4599.0, 41708.0, -1312.0, 211.0, 72582.0, g
26197.0, 12225.0, 2317.0, 482.0, 268.0, -4699.0, -1893.0, 9892.0, 11782.0, 116856.0, g
38674.0, 20202.0, 294.0, 236.0, 124.0, -8932.0, -22763.0, -11083.0, 3459.0, 119997.0, g
36939.0, 18226.0, 3094.0, 348.0, 177.0, 13799.0, 27527.0, 13671.0, 7149.0, 197201.0, g
18773.0, 14573.0, 2362.0, 683.0, 346.0, 24336.0, -12596.0, -10866.0, 41319.0, 177506.0, g
33148.0, 26149.0, 3115.0, 239.0, 126.0, -25817.0, -16051.0, 20315.0, 38817.0, 196181.0, g
75539.0, 34826.0, 3866.0, 127.0, 67.0, 60262.0, 73934.0, 20539.0, 3201.0, 219342.0, g
22715.0, 10573.0, 2305.0, 559.0, 334.0, 22467.0, 19578.0, 1089.0, 17478.0, 173991.0, g
32483.0, 21992.0, 277.0, 308.0, 19.0, -2543.0, -15632.0, -207.0, 3827.0, 15737.0, g
36148.0, 19977.0, 2869.0, 292.0, 157.0, -195.0, -30411.0, -8906.0, 4672.0, 194419.0, g
75867.0, 20082.0, 2974.0, 277.0, 151.0, -124634.0, 69865.0, -17387.0, 1861.0, 260741.0, g
2383.0, 15336.0, 2638.0, 446.0, 298.0, 1011.0, 13436.0, -1504.0, 5397.0, 220885.0, g
27593.0, 12112.0, 2479.0, 485.0, 281.0, -20248.0, 13301.0, -8208.0, 8947.0, 129518.0, g
6555.0, 26897.0, 2831.0, 283.0, 144.0, -7288.0, 43167.0, 2483.0, 15135.0, 313443.0, g
42389.0, 10806.0, 2598.0, 404.0, 213.0, 34864.0, -18703.0, 11821.0, 5565.0, 171184.0, g
