@relation unknow
@attribute sp11 integer [0, 255]
@attribute sp12 integer [0, 255]
@attribute sp13 integer [0, 255]
@attribute sp14 integer [0, 255]
@attribute sp15 integer [0, 255]
@attribute sp16 integer [0, 255]
@attribute sp17 integer [0, 255]
@attribute sp18 integer [0, 255]
@attribute sp19 integer [0, 255]
@attribute sp21 integer [0, 255]
@attribute sp22 integer [0, 255]
@attribute sp23 integer [0, 255]
@attribute sp24 integer [0, 255]
@attribute sp25 integer [0, 255]
@attribute sp26 integer [0, 255]
@attribute sp27 integer [0, 255]
@attribute sp28 integer [0, 255]
@attribute sp29 integer [0, 255]
@attribute sp31 integer [0, 255]
@attribute sp32 integer [0, 255]
@attribute sp33 integer [0, 255]
@attribute sp34 integer [0, 255]
@attribute sp35 integer [0, 255]
@attribute sp36 integer [0, 255]
@attribute sp37 integer [0, 255]
@attribute sp38 integer [0, 255]
@attribute sp39 integer [0, 255]
@attribute sp41 integer [0, 255]
@attribute sp42 integer [0, 255]
@attribute sp43 integer [0, 255]
@attribute sp44 integer [0, 255]
@attribute sp45 integer [0, 255]
@attribute sp46 integer [0, 255]
@attribute sp47 integer [0, 255]
@attribute sp48 integer [0, 255]
@attribute sp49 integer [0, 255]
@attribute class {1, 2, 3, 4, 5, 6, 7}
@inputs sp11, sp12, sp13, sp14, sp15, sp16, sp17, sp18, sp19, sp21, sp22, sp23, sp24, sp25, sp26, sp27, sp28, sp29, sp31, sp32, sp33, sp34, sp35, sp36, sp37, sp38, sp39, sp41, sp42, sp43, sp44, sp45, sp46, sp47, sp48, sp49
@outputs class
@data
88, 102, 106, 87, 92, 115, 111, 91, 92, 115, 115, 94, 88, 99, 104, 85, 88, 103, 113, 88, 88, 112, 118, 92, 88, 103, 109, 87, 84, 103, 113, 87, 88, 111, 113, 92, 3
80, 95, 104, 74, 76, 91, 104, 74, 76, 95, 100, 78, 75, 91, 96, 75, 75, 91, 96, 71, 79, 87, 93, 71, 74, 87, 92, 70, 74, 87, 88, 70, 78, 87, 84, 70, 4
88, 107, 118, 88, 88, 103, 108, 85, 88, 103, 113, 92, 88, 103, 109, 87, 93, 103, 109, 87, 88, 107, 109, 87, 86, 104, 112, 85, 86, 104, 104, 81, 86, 96, 104, 81, 3
88, 95, 100, 83, 88, 103, 100, 83, 88, 103, 109, 83, 82, 100, 100, 85, 82, 100, 104, 78, 86, 100, 96, 81, 83, 103, 110, 83, 83, 99, 101, 79, 79, 95, 101, 79, 3
63, 67, 104, 85, 82, 96, 104, 78, 86, 100, 108, 85, 52, 48, 110, 105, 71, 77, 97, 75, 83, 99, 105, 83, 44, 34, 119, 133, 53, 56, 105, 97, 74, 92, 101, 76, 2
87, 103, 105, 86, 87, 108, 114, 86, 92, 108, 114, 90, 93, 106, 114, 90, 93, 115, 114, 90, 93, 115, 114, 90, 84, 106, 111, 87, 92, 106, 111, 87, 92, 111, 111, 87, 3
83, 95, 105, 83, 83, 95, 101, 79, 83, 99, 105, 83, 82, 102, 105, 83, 82, 102, 114, 87, 89, 106, 114, 87, 88, 102, 111, 83, 84, 102, 106, 83, 88, 102, 115, 87, 3
63, 63, 72, 60, 63, 66, 72, 64, 59, 57, 75, 64, 70, 79, 82, 62, 67, 75, 74, 62, 60, 63, 74, 58, 72, 81, 86, 68, 72, 77, 78, 61, 64, 73, 74, 57, 7
89, 106, 114, 90, 89, 102, 114, 90, 89, 106, 114, 87, 92, 115, 120, 94, 88, 111, 111, 91, 84, 106, 111, 87, 88, 107, 113, 92, 92, 112, 122, 92, 88, 112, 113, 85, 3
64, 69, 102, 83, 57, 49, 111, 109, 50, 40, 125, 128, 53, 45, 113, 114, 46, 34, 133, 146, 46, 31, 139, 143, 51, 45, 113, 104, 44, 37, 128, 137, 41, 32, 139, 150, 2
67, 72, 96, 83, 59, 58, 104, 100, 51, 45, 113, 116, 56, 53, 108, 107, 49, 37, 122, 125, 43, 32, 127, 133, 46, 34, 130, 135, 42, 32, 130, 135, 42, 32, 124, 139, 2
42, 30, 140, 150, 42, 30, 135, 150, 42, 30, 130, 142, 42, 29, 135, 150, 44, 29, 124, 143, 44, 34, 129, 143, 44, 31, 131, 142, 44, 29, 136, 146, 44, 31, 136, 142, 2
46, 37, 119, 124, 52, 51, 110, 98, 75, 84, 101, 79, 47, 37, 114, 126, 47, 40, 114, 115, 57, 60, 105, 94, 44, 37, 120, 124, 44, 37, 115, 120, 50, 40, 111, 109, 2
74, 88, 89, 69, 70, 79, 85, 65, 67, 79, 82, 65, 76, 85, 90, 72, 76, 77, 90, 68, 72, 77, 78, 61, 68, 75, 79, 67, 71, 75, 79, 63, 71, 79, 79, 63, 7
92, 106, 111, 91, 92, 111, 115, 91, 92, 111, 120, 91, 92, 112, 113, 88, 92, 112, 118, 92, 92, 112, 118, 96, 93, 111, 113, 87, 88, 103, 113, 83, 84, 95, 100, 83, 3
60, 62, 67, 54, 64, 69, 74, 61, 64, 66, 67, 54, 53, 57, 67, 52, 60, 64, 75, 63, 64, 68, 79, 59, 55, 54, 67, 50, 55, 58, 70, 54, 63, 68, 77, 62, 7
53, 45, 108, 103, 50, 36, 118, 128, 43, 31, 139, 143, 48, 40, 118, 112, 51, 45, 104, 100, 48, 37, 123, 129, 46, 32, 122, 129, 49, 37, 112, 118, 52, 43, 104, 103, 2
46, 36, 122, 121, 46, 36, 118, 125, 46, 34, 118, 121, 44, 32, 113, 121, 48, 34, 118, 112, 51, 37, 118, 112, 46, 34, 112, 118, 46, 34, 112, 114, 46, 34, 112, 111, 2
88, 107, 108, 92, 92, 107, 108, 88, 92, 112, 113, 88, 88, 107, 109, 87, 88, 107, 109, 87, 93, 111, 113, 87, 90, 113, 112, 92, 90, 113, 112, 89, 86, 104, 104, 85, 3
84, 99, 100, 79, 84, 95, 96, 79, 71, 83, 93, 79, 82, 96, 104, 81, 82, 96, 100, 81, 82, 91, 92, 78, 83, 91, 97, 79, 83, 91, 101, 79, 79, 95, 93, 75, 4
