@relation unknow
@attribute region-centroid-col real [1.0, 254.0]
@attribute region-centroid-row real [11.0, 251.0]
@attribute region-pixel-count real [9.0, 10.0]
@attribute short-line-density-5 real [0.0, 0.33333334]
@attribute short-line-density-2 real [0.0, 0.22222222]
@attribute vedge-mean real [0.0, 29.222221]
@attribute vegde-sd real [0.0, 991.7184]
@attribute hedge-mean real [0.0, 44.722225]
@attribute hedge-sd real [-1.5894573E-8, 1386.3292]
@attribute intensity-mean real [0.0, 143.44444]
@attribute rawred-mean real [0.0, 137.11111]
@attribute rawblue-mean real [0.0, 150.88889]
@attribute rawgreen-mean real [0.0, 142.55556]
@attribute exred-mean real [-49.666668, 9.888889]
@attribute exblue-mean real [-12.444445, 82.0]
@attribute exgreen-mean real [-33.88889, 24.666666]
@attribute value-mean real [0.0, 150.88889]
@attribute saturatoin-mean real [0.0, 1.0]
@attribute hue-mean real [-3.0441751, 2.9124804]
@attribute class {1, 2, 3, 4, 5, 6, 7}
@inputs region-centroid-col, region-centroid-row, region-pixel-count, short-line-density-5, short-line-density-2, vedge-mean, vegde-sd, hedge-mean, hedge-sd, intensity-mean, rawred-mean, rawblue-mean, rawgreen-mean, exred-mean, exblue-mean, exgreen-mean, value-mean, saturatoin-mean, hue-mean
@outputs class
@data
197.0, 229.0, 9.0, 0.0, 0.0, 1.3888885, 1.5740727, 1.1666662, 0.5666664, 17.74074, 14.111111, 17.88889, 21.222221, -10.888889, 0.44444445, 10.444445, 21.222221, 0.3357168, 2.651605, 7
220.0, 220.0, 9.0, 0.11111111, 0.0, 2.277778, 1.12963, 2.2777777, 4.151854, 6.4444447, 5.6666665, 5.3333335, 8.333334, -2.3333333, -3.3333333, 5.6666665, 8.333334, 0.42735383, 1.9843658, 7
83.0, 28.0, 9.0, 0.0, 0.0, 0.3888893, 0.13608134, 0.88888675, 0.45542085, 112.96296, 99.44444, 131.11111, 108.333336, -40.555557, 54.444443, -13.888889, 131.11111, 0.24151142, -2.3878844, 2
14.0, 120.0, 9.0, 0.0, 0.0, 0.3333333, 0.13333331, 0.44444442, 0.29629624, 1.5925926, 0.0, 3.8888888, 0.8888889, -4.7777777, 6.888889, -2.1111112, 3.8888888, 1.0, -2.3157208, 3
79.0, 62.0, 9.0, 0.0, 0.0, 0.555556, 0.3851839, 0.88888675, 0.60740507, 110.18519, 100.666664, 127.111115, 102.77778, -28.555555, 50.77778, -22.222221, 127.111115, 0.20801263, -2.178149, 2
107.0, 146.0, 9.0, 0.0, 0.0, 1.888889, 1.0074077, 2.111111, 1.3185171, 21.37037, 16.777779, 29.666666, 17.666668, -13.777778, 24.88889, -11.111111, 29.666666, 0.43278608, -2.1649706, 4
155.0, 40.0, 9.0, 0.0, 0.0, 1.888889, 2.072751, 0.05555554, 0.13608274, 1.2592592, 1.2222222, 1.5555556, 1.0, -0.11111111, 0.8888889, -0.7777778, 1.5555556, 0.11666667, -1.5707964, 5
118.0, 125.0, 9.0, 0.0, 0.0, 0.33333334, 0.29814234, 0.88888884, 0.34426528, 1.1481482, 0.0, 3.1111112, 0.33333334, -3.4444444, 5.888889, -2.4444444, 3.1111112, 1.0, -2.1756468, 3
118.0, 85.0, 9.0, 0.0, 0.0, 3.2777777, 4.418521, 2.277778, 6.8185186, 8.185185, 3.5555556, 14.888889, 6.111111, -13.888889, 20.11111, -6.2222223, 14.888889, 0.7741213, -2.3290927, 3
56.0, 107.0, 9.0, 0.0, 0.0, 1.1111107, 0.20740713, 4.722223, 20.196299, 49.814816, 46.22222, 58.333332, 44.88889, -10.777778, 25.555555, -14.777778, 58.333332, 0.23045462, -1.9914447, 4
67.0, 136.0, 9.0, 0.0, 0.0, 6.722223, 3.7083488, 2.6666667, 3.1972213, 15.518518, 9.0, 25.333334, 12.222222, -19.555555, 29.444445, -9.888889, 25.333334, 0.66081303, -2.3075109, 3
96.0, 13.0, 9.0, 0.0, 0.0, 0.8333308, 0.47777966, 0.55555725, 0.20740579, 131.77777, 122.111115, 144.77777, 128.44444, -29.0, 39.0, -10.0, 144.77777, 0.1565683, -2.386251, 2
225.0, 58.0, 9.0, 0.0, 0.0, 0.3333335, 0.42163706, 0.4444445, 0.34426522, 8.333333, 5.5555553, 14.111111, 5.3333335, -8.333333, 17.333334, -9.0, 14.111111, 0.62222224, -2.0685637, 5
71.0, 180.0, 9.0, 0.11111111, 0.0, 1.222222, 0.5629625, 3.0, 1.8666646, 22.333334, 18.333334, 21.444445, 27.222221, -12.0, -2.6666667, 14.666667, 27.222221, 0.3273826, 2.4538307, 7
127.0, 120.0, 9.0, 0.11111111, 0.0, 1.6666666, 0.8444448, 3.222222, 4.0296273, 23.666666, 22.11111, 30.444445, 18.444445, -4.6666665, 20.333334, -15.666667, 30.444445, 0.39486286, -1.7648901, 1
14.0, 138.0, 9.0, 0.0, 0.0, 0.50000006, 0.12222217, 0.50000006, 0.077777766, 4.962963, 6.7777777, 5.4444447, 2.6666667, 5.4444447, 1.4444444, -6.888889, 6.7777777, 0.603836, -0.72289366, 1
97.0, 130.0, 9.0, 0.0, 0.0, 0.72222215, 0.50740737, 1.0555556, 0.685185, 5.851852, 7.3333335, 6.888889, 3.3333333, 4.4444447, 3.1111112, -7.5555553, 7.6666665, 0.5701058, -0.96304834, 1
147.0, 87.0, 9.0, 0.0, 0.0, 6.8333335, 6.6189947, 1.5555567, 1.6953089, 43.333332, 37.88889, 54.88889, 37.22222, -16.333334, 34.666668, -18.333334, 54.88889, 0.319706, -2.050388, 4
222.0, 114.0, 9.0, 0.0, 0.0, 0.27777776, 0.06296293, 0.44444433, 0.074074075, 5.4444447, 6.111111, 7.3333335, 2.8888888, 2.0, 5.6666665, -7.6666665, 7.3333335, 0.6031746, -1.3145328, 1
140.0, 125.0, 9.0, 0.0, 0.0, 0.2777779, 0.06296301, 0.66666675, 0.31111118, 6.185185, 7.3333335, 7.6666665, 3.5555556, 3.4444444, 4.4444447, -7.888889, 7.7777777, 0.5456349, -1.1218182, 1
17.0, 64.0, 9.0, 0.0, 0.0, 1.4444443, 1.3629619, 1.6666664, 1.4222221, 18.88889, 17.555555, 25.11111, 14.0, -4.0, 18.666666, -14.666667, 25.11111, 0.44109204, -1.7555053, 1
188.0, 42.0, 9.0, 0.0, 0.0, 0.7777786, 0.5443299, 1.6666679, 1.2649081, 108.92593, 95.666664, 126.22222, 104.888885, -39.77778, 51.88889, -12.111111, 126.22222, 0.24193405, -2.4103878, 2
153.0, 192.0, 9.0, 0.0, 0.0, 3.3888893, 1.7815926, 7.444444, 4.1347656, 53.444443, 47.333332, 65.0, 48.0, -18.333334, 34.666668, -16.333334, 65.0, 0.27272084, -2.1641955, 6
127.0, 118.0, 9.0, 0.0, 0.0, 11.555554, 10.22995, 0.8333337, 0.6912154, 34.333332, 30.777779, 41.666668, 30.555555, -10.666667, 22.0, -11.333333, 41.666668, 0.29394883, -2.0776675, 4
196.0, 95.0, 9.0, 0.0, 0.0, 1.722222, 1.1238165, 1.3333335, 1.264911, 7.6296296, 6.7777777, 10.777778, 5.3333335, -2.5555556, 9.444445, -6.888889, 10.777778, 0.51256585, -1.7492584, 5
63.0, 19.0, 9.0, 0.0, 0.0, 2.4444447, 1.1863403, 1.4444447, 0.8861062, 45.185184, 38.0, 58.77778, 38.77778, -21.555555, 40.77778, -19.222221, 58.77778, 0.35522667, -2.1336765, 4
63.0, 13.0, 9.0, 0.0, 0.0, 1.1666666, 1.011116, 0.9444453, 0.68518674, 141.81482, 137.11111, 148.88889, 139.44444, -14.111111, 21.222221, -7.111111, 148.88889, 0.07980576, -2.2767668, 2
60.0, 52.0, 9.0, 0.0, 0.0, 0.7222226, 0.5963011, 0.7777774, 0.7407436, 111.62963, 101.0, 129.22223, 104.666664, -31.88889, 52.77778, -20.88889, 129.22223, 0.21837935, -2.2296848, 2
240.0, 63.0, 9.0, 0.0, 0.0, 0.55555564, 0.5443313, 0.38888916, 0.38968176, 8.962963, 6.3333335, 14.0, 6.5555553, -7.888889, 15.111111, -7.2222223, 14.0, 0.54770046, -2.1218371, 5
86.0, 187.0, 9.0, 0.0, 0.0, 1.1111108, 0.7200825, 1.4444445, 0.750309, 13.740741, 11.666667, 10.333334, 19.222221, -6.2222223, -10.222222, 16.444445, 19.222221, 0.46332908, 1.9414649, 7
198.0, 183.0, 9.0, 0.0, 0.0, 1.0555547, 1.1816497, 3.3888881, 1.5974506, 54.037037, 48.88889, 66.55556, 46.666668, -15.444445, 37.555557, -22.11111, 66.55556, 0.2986217, -1.9749589, 6
13.0, 191.0, 9.0, 0.0, 0.0, 3.5555556, 5.4074097, 7.777778, 40.02962, 25.296297, 23.555555, 29.88889, 22.444445, -5.2222223, 13.777778, -8.555555, 30.11111, 0.2371126, -1.8582636, 6
10.0, 94.0, 9.0, 0.0, 0.0, 0.4444445, 0.11851851, 0.72222227, 0.1962963, 2.2592592, 0.11111111, 6.0, 0.6666667, -6.4444447, 11.222222, -4.7777777, 6.0, 0.9861111, -2.189708, 3
123.0, 143.0, 9.0, 0.0, 0.0, 0.2777778, 0.3896817, 0.2777778, 0.13608274, 0.4074074, 0.0, 1.2222222, 0.0, -1.2222222, 2.4444444, -1.2222222, 1.2222222, 0.7777778, -2.0943952, 3
238.0, 118.0, 9.0, 0.0, 0.0, 0.33333325, 0.17777774, 0.77777773, 0.07407411, 5.0, 6.2222223, 6.2222223, 2.5555556, 3.6666667, 3.6666667, -7.3333335, 6.6666665, 0.61706346, -1.0471976, 1
82.0, 109.0, 9.0, 0.11111111, 0.0, 0.722223, 0.24074084, 1.3333336, 0.8000008, 17.777779, 19.222221, 21.0, 13.111111, 4.3333335, 9.666667, -14.0, 21.0, 0.37602362, -1.2765617, 1
38.0, 202.0, 9.0, 0.0, 0.0, 2.166666, 1.0697863, 8.333334, 2.5121903, 57.333332, 50.22222, 71.55556, 50.22222, -21.333334, 42.666668, -21.333334, 71.55556, 0.30251354, -2.0937457, 6
63.0, 122.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33333334, 0.0, 1.0, 0.0, -1.0, 2.0, -1.0, 1.0, 1.0, -2.0943952, 3
93.0, 195.0, 9.0, 0.0, 0.0, 1.833334, 1.2064636, 4.0555553, 2.1230652, 61.592594, 54.666668, 76.66667, 53.444443, -20.777779, 45.22222, -24.444445, 76.66667, 0.30559286, -2.0371156, 6
235.0, 46.0, 9.0, 0.0, 0.0, 1.1666654, 0.62360954, 1.3333321, 0.59628177, 114.62963, 100.888885, 132.88889, 110.111115, -41.22222, 54.77778, -13.555555, 132.88889, 0.24072178, -2.395028, 2
167.0, 189.0, 9.0, 0.0, 0.0, 3.7777774, 2.2377224, 3.7777774, 1.544405, 58.407406, 51.333332, 72.44444, 51.444443, -21.222221, 42.11111, -20.88889, 72.44444, 0.29552308, -2.1013258, 6
209.0, 94.0, 9.0, 0.0, 0.0, 1.0000002, 0.7601168, 0.6111111, 0.49065334, 9.111111, 5.888889, 15.222222, 6.2222223, -9.666667, 18.333334, -8.666667, 15.222222, 0.6197129, -2.1293402, 5
