@relation sonar
@attribute Band1 real [0.0020, 0.137]
@attribute Band2 real [0.0010, 0.234]
@attribute Band3 real [0.0020, 0.306]
@attribute Band4 real [0.0060, 0.426]
@attribute Band5 real [0.0070, 0.401]
@attribute Band6 real [0.01, 0.382]
@attribute Band7 real [0.0030, 0.373]
@attribute Band8 real [0.0060, 0.459]
@attribute Band9 real [0.0080, 0.683]
@attribute Band10 real [0.011, 0.711]
@attribute Band11 real [0.029, 0.734]
@attribute Band12 real [0.024, 0.706]
@attribute Band13 real [0.018, 0.713]
@attribute Band14 real [0.027, 0.997]
@attribute Band15 real [0.0030, 1.0]
@attribute Band16 real [0.016, 0.999]
@attribute Band17 real [0.035, 1.0]
@attribute Band18 real [0.038, 1.0]
@attribute Band19 real [0.049, 1.0]
@attribute Band20 real [0.066, 1.0]
@attribute Band21 real [0.051, 1.0]
@attribute Band22 real [0.022, 1.0]
@attribute Band23 real [0.056, 1.0]
@attribute Band24 real [0.024, 1.0]
@attribute Band25 real [0.024, 1.0]
@attribute Band26 real [0.092, 1.0]
@attribute Band27 real [0.048, 1.0]
@attribute Band28 real [0.028, 1.0]
@attribute Band29 real [0.014, 1.0]
@attribute Band30 real [0.061, 1.0]
@attribute Band31 real [0.048, 0.966]
@attribute Band32 real [0.04, 0.931]
@attribute Band33 real [0.048, 1.0]
@attribute Band34 real [0.021, 0.965]
@attribute Band35 real [0.022, 1.0]
@attribute Band36 real [0.0080, 1.0]
@attribute Band37 real [0.035, 0.95]
@attribute Band38 real [0.038, 1.0]
@attribute Band39 real [0.037, 0.986]
@attribute Band40 real [0.012, 0.93]
@attribute Band41 real [0.036, 0.9]
@attribute Band42 real [0.0060, 0.825]
@attribute Band43 real [0.0, 0.773]
@attribute Band44 real [0.0, 0.776]
@attribute Band45 real [0.0, 0.703]
@attribute Band46 real [0.0, 0.729]
@attribute Band47 real [0.0, 0.552]
@attribute Band48 real [0.0, 0.334]
@attribute Band49 real [0.0, 0.198]
@attribute Band50 real [0.0, 0.082]
@attribute Band51 real [0.0, 0.1]
@attribute Band52 real [0.0010, 0.071]
@attribute Band53 real [0.0, 0.039]
@attribute Band54 real [0.0010, 0.035]
@attribute Band55 real [0.0010, 0.045]
@attribute Band56 real [0.0, 0.039]
@attribute Band57 real [0.0, 0.036]
@attribute Band58 real [0.0, 0.044]
@attribute Band59 real [0.0, 0.036]
@attribute Band60 real [0.0010, 0.044]
@attribute Type {R, M}
@inputs Band1, Band2, Band3, Band4, Band5, Band6, Band7, Band8, Band9, Band10, Band11, Band12, Band13, Band14, Band15, Band16, Band17, Band18, Band19, Band20, Band21, Band22, Band23, Band24, Band25, Band26, Band27, Band28, Band29, Band30, Band31, Band32, Band33, Band34, Band35, Band36, Band37, Band38, Band39, Band40, Band41, Band42, Band43, Band44, Band45, Band46, Band47, Band48, Band49, Band50, Band51, Band52, Band53, Band54, Band55, Band56, Band57, Band58, Band59, Band60
@outputs Type
@data
0.029, 0.045, 0.028, 0.017, 0.038, 0.099, 0.12, 0.183, 0.21, 0.304, 0.299, 0.425, 0.634, 0.82, 1.0, 0.999, 0.951, 0.902, 0.723, 0.512, 0.207, 0.398, 0.589, 0.287, 0.204, 0.578, 0.539, 0.375, 0.341, 0.507, 0.558, 0.478, 0.33, 0.22, 0.141, 0.286, 0.381, 0.416, 0.405, 0.33, 0.271, 0.265, 0.072, 0.124, 0.119, 0.109, 0.062, 0.049, 0.026, 0.0080, 0.01, 0.0040, 0.0010, 0.0040, 0.0010, 0.0090, 0.0060, 0.0030, 0.0050, 0.0060, R
0.035, 0.012, 0.019, 0.047, 0.074, 0.118, 0.168, 0.154, 0.147, 0.291, 0.233, 0.224, 0.247, 0.156, 0.349, 0.331, 0.23, 0.22, 0.249, 0.413, 0.316, 0.619, 0.585, 0.34, 0.256, 0.56, 0.814, 0.694, 0.698, 0.866, 0.593, 0.366, 0.675, 0.87, 0.784, 0.755, 0.579, 0.471, 0.125, 0.609, 0.732, 0.598, 0.343, 0.18, 0.238, 0.342, 0.23, 0.069, 0.022, 0.047, 0.043, 0.035, 0.016, 0.015, 0.011, 0.0050, 0.01, 0.0020, 0.0070, 0.0070, R
0.047, 0.051, 0.082, 0.125, 0.178, 0.307, 0.301, 0.236, 0.383, 0.376, 0.302, 0.291, 0.23, 0.141, 0.158, 0.243, 0.447, 0.596, 0.674, 0.797, 0.832, 0.781, 0.863, 0.737, 0.412, 0.26, 0.339, 0.379, 0.449, 0.628, 0.745, 0.733, 0.77, 0.787, 0.605, 0.586, 0.638, 0.728, 0.629, 0.532, 0.407, 0.179, 0.162, 0.253, 0.19, 0.164, 0.06, 0.021, 0.044, 0.018, 0.011, 0.019, 0.012, 0.0060, 0.0040, 0.0050, 0.0050, 0.0080, 0.0030, 0.0030, R
0.066, 0.058, 0.084, 0.037, 0.046, 0.077, 0.077, 0.113, 0.235, 0.184, 0.287, 0.413, 0.365, 0.198, 0.284, 0.404, 0.584, 0.679, 0.609, 0.486, 0.325, 0.201, 0.208, 0.169, 0.248, 0.274, 0.298, 0.466, 0.699, 0.747, 0.796, 0.798, 0.672, 0.694, 0.744, 0.817, 0.891, 1.0, 0.875, 0.706, 0.68, 0.59, 0.462, 0.364, 0.149, 0.122, 0.131, 0.12, 0.058, 0.024, 0.014, 0.014, 0.019, 0.0040, 0.0040, 0.0030, 0.0020, 0.016, 0.011, 0.0080, R
0.01, 0.048, 0.03, 0.03, 0.065, 0.108, 0.236, 0.238, 0.0080, 0.188, 0.146, 0.189, 0.318, 0.134, 0.217, 0.246, 0.259, 0.279, 0.23, 0.066, 0.144, 0.118, 0.167, 0.178, 0.248, 0.257, 0.104, 0.536, 0.712, 0.629, 0.476, 0.602, 0.721, 0.623, 0.572, 0.752, 0.871, 0.925, 0.971, 0.93, 0.9, 0.791, 0.56, 0.284, 0.441, 0.551, 0.433, 0.29, 0.198, 0.078, 0.04, 0.017, 0.015, 0.012, 0.02, 0.014, 0.0030, 0.016, 0.011, 0.013, R
0.029, 0.064, 0.039, 0.017, 0.048, 0.082, 0.099, 0.032, 0.074, 0.086, 0.041, 0.047, 0.084, 0.094, 0.147, 0.081, 0.118, 0.218, 0.333, 0.326, 0.211, 0.23, 0.336, 0.426, 0.461, 0.261, 0.087, 0.286, 0.561, 0.834, 0.81, 0.725, 0.805, 0.944, 1.0, 0.896, 0.552, 0.304, 0.234, 0.238, 0.332, 0.382, 0.158, 0.223, 0.158, 0.143, 0.163, 0.113, 0.057, 0.013, 0.017, 0.0040, 0.0050, 0.0080, 0.0080, 0.0080, 0.01, 0.016, 0.01, 0.0010, R
0.02, 0.0030, 0.014, 0.0060, 0.013, 0.015, 0.054, 0.021, 0.05, 0.11, 0.084, 0.094, 0.12, 0.042, 0.0030, 0.016, 0.062, 0.213, 0.344, 0.381, 0.382, 0.476, 0.631, 0.752, 0.868, 0.879, 0.79, 0.836, 0.963, 0.962, 0.924, 0.89, 0.971, 0.965, 0.789, 0.531, 0.272, 0.195, 0.137, 0.31, 0.379, 0.41, 0.336, 0.3, 0.275, 0.202, 0.104, 0.045, 0.034, 0.012, 0.0070, 0.011, 0.0070, 0.0060, 0.0030, 0.0010, 0.0010, 0.0020, 0.0060, 0.0040, R
0.0090, 0.017, 0.04, 0.036, 0.068, 0.071, 0.102, 0.089, 0.038, 0.133, 0.13, 0.027, 0.064, 0.071, 0.12, 0.072, 0.122, 0.235, 0.368, 0.392, 0.492, 0.879, 0.961, 0.879, 0.69, 0.694, 0.567, 0.654, 0.78, 0.758, 0.584, 0.632, 0.811, 0.904, 0.865, 0.67, 0.403, 0.237, 0.268, 0.366, 0.327, 0.22, 0.3, 0.22, 0.116, 0.064, 0.046, 0.042, 0.017, 0.017, 0.013, 0.014, 0.019, 0.014, 0.0060, 0.013, 0.022, 0.0090, 0.0080, 0.012, R
0.0090, 0.021, 0.021, 0.05, 0.066, 0.08, 0.097, 0.087, 0.074, 0.084, 0.158, 0.09, 0.031, 0.186, 0.297, 0.203, 0.126, 0.166, 0.166, 0.209, 0.231, 0.446, 0.663, 0.693, 0.766, 0.821, 0.705, 0.756, 0.747, 0.639, 0.485, 0.333, 0.536, 0.874, 0.857, 0.672, 0.345, 0.315, 0.27, 0.26, 0.274, 0.359, 0.438, 0.246, 0.076, 0.019, 0.08, 0.075, 0.037, 0.016, 0.03, 0.011, 0.011, 0.01, 0.0030, 0.01, 0.01, 0.0040, 0.0070, 0.011, R
0.0070, 0.023, 0.051, 0.044, 0.025, 0.064, 0.042, 0.113, 0.191, 0.248, 0.161, 0.092, 0.24, 0.322, 0.43, 0.265, 0.067, 0.144, 0.237, 0.26, 0.249, 0.39, 0.638, 0.804, 0.703, 0.687, 0.7, 0.856, 1.0, 0.962, 0.9, 0.758, 0.69, 0.569, 0.44, 0.455, 0.296, 0.159, 0.168, 0.084, 0.117, 0.175, 0.273, 0.17, 0.019, 0.021, 0.035, 0.042, 0.0090, 0.02, 0.02, 0.017, 0.016, 0.0060, 0.0040, 0.0070, 0.0040, 0.0050, 0.019, 0.01, R
