@relation unknow
@attribute a1 real [-4014.0, 3578.0]
@attribute a2 real [-3961.0, 4345.0]
@attribute a3 real [-3902.0, 4404.0]
@attribute a4 real [-3889.0, 4259.0]
@attribute a5 real [-3649.0, 4213.0]
@attribute a6 real [-3533.0, 3913.0]
@attribute a7 real [-3733.0, 4452.0]
@attribute a8 real [-4574.0, 3865.0]
@attribute a9 real [-3814.0, 4254.0]
@attribute a10 real [-3908.0, 4083.0]
@attribute a11 real [-3494.0, 4095.0]
@attribute a12 real [-3826.0, 4302.0]
@attribute a13 real [-3945.0, 3782.0]
@attribute a14 real [-3852.0, 4124.0]
@attribute a15 real [-3698.0, 3548.0]
@attribute a16 real [-3698.0, 4244.0]
@attribute a17 real [-3943.0, 3723.0]
@attribute a18 real [-4065.0, 4056.0]
@attribute a19 real [-4122.0, 4324.0]
@attribute a20 real [-3783.0, 4279.0]
@attribute class {0, 1}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20
@outputs class
@data
-1204.0, -2624.0, 596.0, 1386.0, -136.0, 676.0, 1001.0, -959.0, -1349.0, -557.0, -44.0, -1122.0, -182.0, -1317.0, -355.0, -1422.0, 198.0, -3051.0, -1065.0, -854.0, 1
937.0, 5.0, -89.0, -75.0, 8.0, -1123.0, 12.0, -3.0, -776.0, -1878.0, -1064.0, -1301.0, -3331.0, -127.0, -1071.0, -488.0, -204.0, -233.0, -1461.0, -174.0, 1
1696.0, -208.0, 764.0, 526.0, -217.0, 414.0, 991.0, -728.0, 78.0, -1611.0, 462.0, 1376.0, 2087.0, 9.0, 1664.0, 2078.0, 335.0, 253.0, -166.0, 36.0, 0
3.0, 507.0, -29.0, 881.0, 1026.0, -21.0, 1407.0, -176.0, 1704.0, -169.0, 41.0, 861.0, 539.0, -1229.0, 213.0, 1202.0, 248.0, 1997.0, -726.0, 601.0, 0
-1278.0, -1013.0, -1967.0, -273.0, 105.0, -1022.0, -2213.0, 1639.0, 1643.0, -43.0, -2265.0, -141.0, 91.0, -123.0, -173.0, -872.0, -616.0, -374.0, -1594.0, 607.0, 1
27.0, 1294.0, -91.0, -1185.0, -361.0, 146.0, -1724.0, -2502.0, 278.0, -1338.0, 566.0, -2215.0, -1269.0, -814.0, 133.0, -254.0, -1175.0, 1233.0, -1053.0, -1705.0, 1
1077.0, 1766.0, 238.0, 1091.0, -2612.0, 2211.0, -1999.0, -375.0, -1137.0, -1722.0, -1959.0, 1888.0, -1807.0, -1889.0, -638.0, 61.0, -759.0, -285.0, -133.0, -903.0, 1
164.0, -2257.0, -2468.0, -78.0, -378.0, -1237.0, -1878.0, 1911.0, -1816.0, -1193.0, -962.0, -759.0, -1205.0, -198.0, -559.0, -658.0, -736.0, 77.0, -1639.0, -331.0, 1
977.0, -706.0, 831.0, 1208.0, 59.0, -247.0, 592.0, -737.0, 565.0, 217.0, 358.0, 1037.0, 583.0, 642.0, 1558.0, 303.0, -2.0, -332.0, 48.0, 795.0, 0
1267.0, -2292.0, 514.0, -1369.0, -869.0, -72.0, -1292.0, -1011.0, 121.0, 121.0, -232.0, 612.0, 599.0, 933.0, 1607.0, 564.0, 89.0, -562.0, -512.0, 1353.0, 1
-573.0, -1114.0, 3091.0, 248.0, 952.0, 19.0, 996.0, 1948.0, 402.0, -548.0, -168.0, 123.0, 198.0, -906.0, 296.0, -127.0, 969.0, 492.0, 188.0, -189.0, 0
-914.0, 2648.0, -1546.0, -2072.0, -1457.0, 352.0, 363.0, 962.0, 81.0, 224.0, 935.0, -1408.0, -12.0, -877.0, 389.0, 876.0, -492.0, 216.0, 1023.0, -1168.0, 1
-121.0, -2525.0, -541.0, 649.0, 1263.0, -434.0, -2456.0, -136.0, -1381.0, -3.0, -158.0, 98.0, -252.0, -556.0, -671.0, -545.0, 978.0, -481.0, 163.0, -1391.0, 1
-1662.0, -452.0, 654.0, -198.0, -953.0, 355.0, -497.0, 1251.0, 946.0, -281.0, 969.0, 241.0, -629.0, 163.0, -493.0, 344.0, -427.0, -1553.0, -2945.0, 1212.0, 1
-541.0, 1485.0, -2086.0, -518.0, -213.0, -644.0, -2753.0, 763.0, 43.0, -1054.0, 405.0, -201.0, -85.0, -307.0, -128.0, -176.0, -1038.0, 794.0, -709.0, 688.0, 1
2568.0, 1411.0, 935.0, 2007.0, -321.0, 96.0, 752.0, -42.0, 45.0, -879.0, 807.0, 341.0, 147.0, 534.0, -497.0, 106.0, 34.0, -172.0, 2249.0, 113.0, 0
-1606.0, 74.0, -9.0, -1022.0, 347.0, -397.0, 1626.0, 676.0, -1161.0, 198.0, -205.0, -927.0, -1376.0, 904.0, -1379.0, -44.0, -21.0, -1721.0, -242.0, -511.0, 1
769.0, -71.0, 344.0, 1317.0, -45.0, 131.0, -263.0, 2085.0, -73.0, -1512.0, -442.0, 775.0, 1211.0, -334.0, 72.0, 21.0, 87.0, 247.0, 558.0, 49.0, 0
-944.0, 941.0, -76.0, 1292.0, 55.0, 1126.0, 124.0, -12.0, -865.0, -423.0, 612.0, 19.0, 123.0, 1629.0, -494.0, -1629.0, 26.0, 2499.0, 1371.0, -384.0, 0
-1034.0, -46.0, -1614.0, -1167.0, 489.0, -1125.0, -1336.0, 262.0, -1056.0, -439.0, -1113.0, 249.0, 344.0, -991.0, 552.0, -1179.0, -216.0, -4.0, -724.0, -53.0, 1
655.0, -1284.0, 2744.0, 608.0, -1652.0, -41.0, 252.0, 228.0, 222.0, 2764.0, -153.0, 87.0, 646.0, -95.0, -643.0, 1209.0, 1204.0, 1398.0, 298.0, 478.0, 0
1466.0, 2174.0, -86.0, 399.0, 1283.0, 496.0, 162.0, 186.0, 142.0, 2407.0, 43.0, 705.0, 1124.0, 1752.0, 49.0, 137.0, 1063.0, 1468.0, -128.0, -37.0, 0
-402.0, -373.0, -2328.0, -1789.0, 259.0, -35.0, -804.0, 26.0, -141.0, -1217.0, -1272.0, -76.0, 1171.0, -86.0, 1188.0, 229.0, -84.0, -2178.0, -433.0, -1209.0, 1
-1039.0, -491.0, -1527.0, 1151.0, -209.0, -1989.0, -953.0, -1834.0, 272.0, -936.0, -1015.0, -1446.0, 17.0, -1584.0, -122.0, 914.0, 545.0, 321.0, -864.0, -1574.0, 1
39.0, 498.0, -1924.0, -437.0, -149.0, -177.0, -334.0, -1015.0, 19.0, -39.0, -1148.0, -434.0, -954.0, -1229.0, -137.0, 502.0, 1061.0, -1727.0, -1122.0, -771.0, 1
-847.0, -1135.0, -135.0, 99.0, -1209.0, -707.0, -1854.0, 1767.0, -939.0, 36.0, -947.0, -1287.0, -637.0, -631.0, -161.0, -95.0, 676.0, -413.0, -1604.0, -1408.0, 1
-629.0, -544.0, -617.0, 971.0, -1947.0, 1864.0, 2.0, 519.0, -404.0, -2106.0, 2067.0, 19.0, -593.0, -586.0, 158.0, -193.0, 683.0, 219.0, -11.0, 34.0, 1
-1031.0, 1332.0, 22.0, 252.0, 231.0, 2407.0, 925.0, 363.0, 1545.0, 657.0, 953.0, 96.0, -6.0, 436.0, -114.0, 76.0, -144.0, 817.0, 767.0, 1005.0, 0
2617.0, -1502.0, -2362.0, 1189.0, 278.0, -243.0, -275.0, -843.0, -156.0, -1272.0, -1236.0, -4.0, 904.0, -304.0, -565.0, 108.0, 69.0, -119.0, -1074.0, 402.0, 1
-87.0, -57.0, -148.0, -895.0, -409.0, 864.0, -193.0, -806.0, -188.0, -1452.0, -1502.0, 758.0, -396.0, -895.0, -65.0, 1252.0, -1141.0, -27.0, -1492.0, -1706.0, 1
83.0, 77.0, -1448.0, 17.0, -1654.0, 813.0, -246.0, -1632.0, -1576.0, -1268.0, -245.0, 422.0, -654.0, 355.0, -945.0, -436.0, -2091.0, -1571.0, 1624.0, -1932.0, 1
1345.0, -1075.0, -509.0, 34.0, 301.0, -1388.0, -604.0, 52.0, -1674.0, 1367.0, 511.0, 207.0, -1318.0, 114.0, -13.0, -159.0, -1288.0, -26.0, -504.0, -792.0, 1
-819.0, -1.0, 104.0, 1433.0, 634.0, 739.0, -526.0, -167.0, 1807.0, -219.0, 1542.0, -842.0, -9.0, 807.0, -75.0, 1215.0, 58.0, -83.0, -1334.0, -437.0, 0
13.0, 144.0, -126.0, 253.0, 2168.0, 241.0, 1618.0, -182.0, -907.0, 971.0, -766.0, -134.0, 2932.0, 495.0, 487.0, -604.0, 114.0, 143.0, -1552.0, 653.0, 0
-78.0, 182.0, 273.0, -899.0, -723.0, -1247.0, -455.0, 1501.0, 1508.0, -771.0, -87.0, -101.0, 17.0, 281.0, 96.0, 43.0, -1178.0, -12.0, 441.0, 149.0, 1
259.0, 46.0, -1993.0, -416.0, 2184.0, 301.0, 82.0, -11.0, -66.0, 439.0, 1013.0, 285.0, 768.0, 11.0, 918.0, -973.0, 1195.0, 1286.0, 697.0, -1094.0, 0
-1512.0, -422.0, -148.0, -1931.0, -664.0, 1366.0, -1231.0, -856.0, -969.0, -1691.0, -171.0, -1935.0, -961.0, 646.0, -977.0, -1021.0, 4.0, 589.0, -989.0, -972.0, 1
968.0, 774.0, 36.0, 352.0, 1993.0, -799.0, -1281.0, 2364.0, 657.0, 15.0, 1851.0, 1083.0, 863.0, 1.0, -1278.0, -328.0, 1356.0, -98.0, 376.0, 84.0, 0
-607.0, -487.0, -841.0, 1371.0, 404.0, 213.0, 52.0, 1271.0, 98.0, -1013.0, 118.0, -535.0, 16.0, 505.0, -3.0, 616.0, 1437.0, -593.0, -104.0, 425.0, 0
1762.0, 2473.0, -1174.0, 807.0, -1291.0, -603.0, 486.0, 1629.0, 318.0, 133.0, 929.0, 274.0, -107.0, 352.0, 1395.0, -197.0, 838.0, 255.0, 35.0, 131.0, 0
-415.0, -1649.0, -832.0, 122.0, -838.0, -332.0, -698.0, 441.0, -3276.0, 929.0, -1074.0, 554.0, -1751.0, -697.0, 99.0, -553.0, -457.0, 2295.0, 152.0, 2085.0, 1
