@relation bands
@attribute Proof_cut real[25.0,72.5]
@attribute Viscosity integer[35,72]
@attribute Caliper real[0.133,0.533]
@attribute Ink_temperature real[11.2,24.5]
@attribute Humifity integer[57,105]
@attribute Roughness real[0.056,1.25]
@attribute Blade_pressure integer[16,70]
@attribute Varnish_pct real[0.0,35.8]
@attribute Press_speed integer[0,2600]
@attribute Ink_pct real[41.0,76.9]
@attribute Solvent_pct real[22.0,53.4]
@attribute Esa_voltage real[0.0,16.0]
@attribute ESA_amperage real[0.0,6.0]
@attribute Wax real[0.0,3.1]
@attribute Hardener real[0.0,3.0]
@attribute Roller_durometer real[28.0,60.0]
@attribute Density integer[30,45]
@attribute Anode_ratio real[83.33,117.86]
@attribute Chrome_content integer[90,100]
@attribute Band_type{band,noband}
@inputs Proof_cut, Viscosity, Caliper, Ink_temperature, Humifity, Roughness, Blade_pressure, Varnish_pct, Press_speed, Ink_pct, Solvent_pct, Esa_voltage, ESA_amperage, Wax, Hardener, Roller_durometer, Density, Anode_ratio, Chrome_content
@outputs Band_type
@data
45.0,44,0.267,14.1,78,0.625,22,7.6,1510,54.3,38.0,0.0,0.0,2.5,0.7,34.0,40,114.28,100,noband
47.5,41,0.233,16.5,72,0.75,20,14.1,1300,50.5,35.4,4.0,0.0,2.5,1.0,50.0,40,96.97,100,band
40.0,46,0.2,15.0,68,0.75,28,0.0,1700,58.8,41.2,0.0,0.0,1.0,1.0,33.0,40,103.22,100,noband
40.0,46,0.267,16.5,68,0.875,25,0.0,1700,58.8,41.2,0.0,0.0,1.0,1.0,33.0,40,103.125,100,noband
40.0,35,0.233,18.0,85,0.625,30,0.0,2000,62.5,37.5,0.0,0.0,2.5,0.9,30.0,40,103.125,100,noband
40.0,40,0.35,18.5,85,0.562,30,0.0,1900,62.5,37.5,4.0,0.0,1.8,1.4,40.0,40,106.45,100,band
40.0,44,0.2,16.1,78,0.938,30,5.6,1800,55.6,38.9,0.0,0.0,2.0,1.0,35.0,40,103.22,100,noband
40.0,49,0.233,16.8,78,0.938,30,0.0,2000,62.5,37.5,0.0,0.0,2.4,0.9,35.0,40,100.0,100,noband
35.0,48,0.233,16.0,76,0.812,30,8.9,1900,49.5,41.6,0.0,0.0,2.5,1.2,30.0,40,103.22,100,noband
30.0,63,0.3,13.0,94,1.0,29,0.0,1800,56.2,43.8,0.0,0.0,2.5,1.0,30.0,40,110.0,100,band
55.0,49,0.2,15.0,78,0.625,20,17.1,1900,47.6,35.2,0.0,0.0,2.5,0.85,34.0,40,106.45,100,band
40.0,62,0.3,16.0,84,0.938,28,0.0,2200,58.8,41.2,4.0,0.0,2.5,0.6,30.0,40,106.45,100,noband
30.0,69,0.3,16.0,98,0.75,35,0.0,2050,62.5,37.5,0.0,0.0,2.75,1.0,33.0,40,100.0,100,noband
55.0,54,0.267,15.0,70,0.625,60,3.4,1600,56.8,39.8,0.0,0.0,1.0,0.4,45.0,40,103.3,100,noband
45.0,55,0.3,15.0,75,0.75,25,0.0,2300,59.8,40.2,0.0,0.0,2.0,2.3,30.0,33,96.6,100,noband
40.0,54,0.3,15.0,88,0.75,28,0.0,1800,58.8,41.2,0.0,0.0,2.5,1.2,30.0,33,100.0,100,noband
60.0,58,0.333,15.1,93,1.0,25,0.0,1650,56.1,33.9,0.0,0.0,2.5,1.0,40.0,35,100.0,100,band
60.0,53,0.3,14.7,70,0.75,50,20.2,1550,42.0,37.8,3.0,0.0,3.0,1.0,40.0,35,111.1,100,noband
30.0,54,0.167,14.6,70,0.812,30,0.0,2000,58.8,41.2,0.0,0.0,1.5,0.6,30.0,35,106.9,100,noband
45.0,54,0.367,15.0,100,0.75,33,2.3,2000,56.8,40.9,0.0,0.0,2.75,0.9,33.0,35,106.9,100,noband
40.0,55,0.533,15.4,80,0.812,30,10.2,2400,51.0,38.8,0.0,0.0,1.7,0.7,30.0,45,93.75,100,noband
35.0,48,0.233,14.5,76,0.75,20,0.0,2225,62.5,37.5,4.0,0.0,2.7,1.2,33.0,40,106.25,90,noband
35.0,48,0.3,14.5,74,0.75,20,0.0,2225,62.5,37.5,4.0,0.0,2.0,1.2,33.0,40,106.25,90,noband
47.5,49,0.433,14.5,88,0.625,25,34.5,2000,43.5,22.0,0.0,0.0,2.5,0.7,40.0,40,96.97,90,noband
30.0,53,0.3,15.0,80,0.75,30,15.0,2290,50.0,35.0,0.0,0.0,2.5,1.0,33.0,40,110.7,100,noband
40.0,43,0.267,16.4,79,0.312,35,0.5,2400,59.5,40.0,0.5,0.0,2.6,1.1,35.0,40,96.77,100,noband
70.0,43,0.233,16.0,77,0.818,28,15.9,2125,46.5,37.6,3.0,0.0,1.75,0.6,33.0,40,100.0,100,noband
45.0,42,0.4,14.8,72,0.625,20,0.0,1800,58.8,41.2,0.0,0.0,2.5,0.9,34.0,40,106.25,100,noband
50.0,42,0.367,15.5,73,0.625,20,3.6,1800,60.2,36.2,0.0,0.0,2.5,0.9,34.0,40,106.25,100,noband
40.0,42,0.2,12.7,84,0.5,32,0.0,1750,62.5,37.5,0.0,0.0,2.5,0.9,40.0,40,100.0,100,noband
42.0,42,0.267,14.5,78,1.0,28,0.0,1800,61.7,38.3,0.0,0.0,2.5,2.0,40.0,40,100.0,100,band
65.0,50,0.2,15.1,75,0.625,20,19.0,1800,47.6,33.4,0.0,0.0,2.7,0.6,34.0,40,110.71,100,noband
40.0,54,0.267,22.2,77,0.625,32,6.25,1000,56.25,37.5,0.0,0.0,3.0,1.2,40.0,40,106.45,100,band
50.0,41,0.2,15.7,80,1.0,43,0.0,1800,62.5,37.5,1.0,0.0,2.5,1.5,30.0,40,106.45,100,noband
52.0,52,0.267,16.0,78,0.75,30,14.1,1250,50.5,53.4,0.0,0.0,3.0,0.9,34.0,40,103.22,100,band
40.0,60,0.2,14.5,85,1.0,35,0.0,1250,58.8,41.2,2.5,0.0,1.5,1.0,30.0,40,100.0,100,band
40.0,69,0.2,14.5,76,0.625,22,0.0,1250,58.8,41.2,1.0,0.0,2.5,1.0,35.0,40,100.0,100,band
45.0,61,0.2,14.0,98,0.75,30,0.0,1600,58.8,41.2,2.0,0.0,2.4,0.9,30.0,40,100.0,100,band
40.0,65,0.2,15.0,80,0.625,50,10.4,1640,47.2,42.4,1.0,0.0,3.0,1.5,32.0,40,103.13,100,band
45.0,63,0.267,15.0,80,0.75,50,0.0,1470,58.8,41.2,2.0,0.0,3.0,1.0,34.0,40,100.0,100,band
