@relation bands
@attribute Proof_cut real [25.0, 72.5]
@attribute Viscosity integer [35, 72]
@attribute Caliper real [0.133, 0.533]
@attribute Ink_temperature real [11.2, 24.5]
@attribute Humifity integer [57, 105]
@attribute Roughness real [0.056, 1.25]
@attribute Blade_pressure integer [16, 70]
@attribute Varnish_pct real [0.0, 35.8]
@attribute Press_speed integer [0, 2600]
@attribute Ink_pct real [41.0, 76.9]
@attribute Solvent_pct real [22.0, 53.4]
@attribute Esa_voltage real [0.0, 16.0]
@attribute ESA_amperage real [0.0, 6.0]
@attribute Wax real [0.0, 3.1]
@attribute Hardener real [0.0, 3.0]
@attribute Roller_durometer real [28.0, 60.0]
@attribute Density integer [30, 45]
@attribute Anode_ratio real [83.33, 117.86]
@attribute Chrome_content integer [90, 100]
@attribute Band_type {band, noband}
@inputs Proof_cut, Viscosity, Caliper, Ink_temperature, Humifity, Roughness, Blade_pressure, Varnish_pct, Press_speed, Ink_pct, Solvent_pct, Esa_voltage, ESA_amperage, Wax, Hardener, Roller_durometer, Density, Anode_ratio, Chrome_content
@outputs Band_type
@data
55.0,46,0.2,17.0,78,0.75,20,13.1,1700,50.5,36.4,0.0,0.0,2.5,1.0,34.0,40,105.0,100,band
50.0,46,0.2,16.5,75,0.75,28,0.0,2600,62.5,37.5,6.0,0.0,2.5,1.1,30.0,40,106.67,100,noband
50.0,50,0.367,14.0,80,0.75,40,10.5,1700,52.6,36.8,0.0,0.0,2.5,1.0,38.0,40,105.0,100,band
50.0,43,0.267,16.0,75,1.0,20,15.8,1600,49.5,34.7,0.0,0.0,2.5,1.0,38.0,40,103.22,100,noband
30.0,43,0.2,16.3,70,0.812,25,1.2,2200,58.1,40.7,4.0,0.0,2.0,1.0,30.0,40,96.875,100,noband
45.0,42,0.2,14.0,70,1.0,20,8.0,1850,57.5,34.5,0.0,0.0,2.0,0.7,35.0,40,107.4,100,band
50.0,45,0.3,15.0,76,1.0,30,8.0,2150,57.5,34.5,0.0,0.0,2.5,1.0,35.0,40,107.4,100,noband
50.0,43,0.2,16.0,82,0.875,30,0.0,2270,55.6,44.4,12.0,0.0,2.0,1.0,30.0,40,103.22,100,noband
50.0,43,0.3,16.3,80,0.812,30,0.0,2270,55.6,44.4,12.0,0.0,1.5,1.5,30.0,40,103.22,100,noband
52.5,43,0.233,16.6,58,0.75,20,7.9,1480,56.2,36.0,0.0,0.0,1.7,0.7,33.0,40,103.12,100,noband
40.0,46,0.333,15.9,78,0.5,34,2.4,2000,61.0,36.6,0.0,0.0,2.4,1.3,35.0,40,103.22,100,noband
45.0,41,0.333,17.0,78,0.75,16,14.1,1100,50.5,35.4,0.0,0.0,2.5,1.0,50.0,40,96.97,100,band
40.0,46,0.2,15.0,68,0.75,28,0.0,1700,58.8,41.2,0.0,0.0,1.0,1.0,33.0,40,103.22,100,noband
50.0,46,0.2,14.6,60,0.625,25,10.5,1750,52.6,36.8,2.0,0.0,2.4,0.8,28.0,40,96.97,100,band
40.0,47,0.333,24.5,78,0.875,30,8.8,2100,54.9,36.3,16.0,0.0,2.3,1.0,40.0,40,100.0,100,band
40.0,39,0.2,15.0,79,0.75,20,11.8,2000,49.0,39.2,0.0,0.0,2.5,1.0,40.0,40,103.22,100,noband
