@relation unknow
@attribute age real [29.0, 77.0]
@attribute sex real [0.0, 1.0]
@attribute cp real [1.0, 4.0]
@attribute trestbps real [94.0, 200.0]
@attribute chol real [126.0, 564.0]
@attribute fbs real [0.0, 1.0]
@attribute restecg real [0.0, 2.0]
@attribute thalach real [71.0, 202.0]
@attribute exang real [0.0, 1.0]
@attribute oldpeak real [0.0, 6.2]
@attribute slope real [1.0, 3.0]
@attribute ca real [0.0, 3.0]
@attribute thal real [3.0, 7.0]
@attribute num {0, 1, 2, 3, 4}
@inputs age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal
@outputs num
@data
56.0, 1.0, 2.0, 120.0, 236.0, 0.0, 0.0, 178.0, 0.0, 0.8, 1.0, 0.0, 3.0, 0
52.0, 1.0, 3.0, 172.0, 199.0, 1.0, 0.0, 162.0, 0.0, 0.5, 1.0, 0.0, 7.0, 0
66.0, 0.0, 1.0, 150.0, 226.0, 0.0, 0.0, 114.0, 0.0, 2.6, 3.0, 0.0, 3.0, 0
40.0, 1.0, 4.0, 110.0, 167.0, 0.0, 2.0, 114.0, 1.0, 2.0, 2.0, 0.0, 7.0, 3
59.0, 1.0, 4.0, 135.0, 234.0, 0.0, 0.0, 161.0, 0.0, 0.5, 2.0, 0.0, 7.0, 0
51.0, 1.0, 3.0, 110.0, 175.0, 0.0, 0.0, 123.0, 0.0, 0.6, 1.0, 0.0, 3.0, 0
65.0, 0.0, 3.0, 140.0, 417.0, 1.0, 2.0, 157.0, 0.0, 0.8, 1.0, 1.0, 3.0, 0
41.0, 0.0, 2.0, 105.0, 198.0, 0.0, 0.0, 168.0, 0.0, 0.0, 1.0, 1.0, 3.0, 0
44.0, 1.0, 2.0, 130.0, 219.0, 0.0, 2.0, 188.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0
54.0, 1.0, 4.0, 124.0, 266.0, 0.0, 2.0, 109.0, 1.0, 2.2, 2.0, 1.0, 7.0, 1
51.0, 1.0, 1.0, 125.0, 213.0, 0.0, 2.0, 125.0, 1.0, 1.4, 1.0, 1.0, 3.0, 0
65.0, 0.0, 3.0, 160.0, 360.0, 0.0, 2.0, 151.0, 0.0, 0.8, 1.0, 0.0, 3.0, 0
45.0, 1.0, 4.0, 104.0, 208.0, 0.0, 2.0, 148.0, 1.0, 3.0, 2.0, 0.0, 3.0, 0
62.0, 0.0, 4.0, 160.0, 164.0, 0.0, 2.0, 145.0, 0.0, 6.2, 3.0, 3.0, 7.0, 3
44.0, 0.0, 3.0, 108.0, 141.0, 0.0, 0.0, 175.0, 0.0, 0.6, 2.0, 0.0, 3.0, 0
71.0, 0.0, 3.0, 110.0, 265.0, 1.0, 2.0, 130.0, 0.0, 0.0, 1.0, 1.0, 3.0, 0
59.0, 1.0, 4.0, 140.0, 177.0, 0.0, 0.0, 162.0, 1.0, 0.0, 1.0, 1.0, 7.0, 2
57.0, 1.0, 3.0, 128.0, 229.0, 0.0, 2.0, 150.0, 0.0, 0.4, 2.0, 1.0, 7.0, 1
61.0, 1.0, 4.0, 120.0, 260.0, 0.0, 0.0, 140.0, 1.0, 3.6, 2.0, 1.0, 7.0, 2
43.0, 0.0, 4.0, 132.0, 341.0, 1.0, 2.0, 136.0, 1.0, 3.0, 2.0, 0.0, 7.0, 2
41.0, 1.0, 2.0, 135.0, 203.0, 0.0, 0.0, 132.0, 0.0, 0.0, 2.0, 0.0, 6.0, 0
48.0, 1.0, 4.0, 130.0, 256.0, 1.0, 2.0, 150.0, 1.0, 0.0, 1.0, 2.0, 7.0, 3
63.0, 0.0, 4.0, 150.0, 407.0, 0.0, 2.0, 154.0, 0.0, 4.0, 2.0, 3.0, 7.0, 4
55.0, 1.0, 4.0, 140.0, 217.0, 0.0, 0.0, 111.0, 1.0, 5.6, 3.0, 0.0, 7.0, 3
51.0, 1.0, 3.0, 125.0, 245.0, 1.0, 2.0, 166.0, 0.0, 2.4, 2.0, 0.0, 3.0, 0
58.0, 1.0, 3.0, 105.0, 240.0, 0.0, 2.0, 154.0, 1.0, 0.6, 2.0, 0.0, 7.0, 0
47.0, 1.0, 3.0, 108.0, 243.0, 0.0, 0.0, 152.0, 0.0, 0.0, 1.0, 0.0, 3.0, 1
55.0, 1.0, 4.0, 160.0, 289.0, 0.0, 2.0, 145.0, 1.0, 0.8, 2.0, 1.0, 7.0, 4
64.0, 1.0, 4.0, 120.0, 246.0, 0.0, 2.0, 96.0, 1.0, 2.2, 3.0, 1.0, 3.0, 3
45.0, 0.0, 2.0, 112.0, 160.0, 0.0, 0.0, 138.0, 0.0, 0.0, 2.0, 0.0, 3.0, 0
56.0, 0.0, 4.0, 134.0, 409.0, 0.0, 2.0, 150.0, 1.0, 1.9, 2.0, 2.0, 7.0, 2
67.0, 1.0, 4.0, 100.0, 299.0, 0.0, 2.0, 125.0, 1.0, 0.9, 2.0, 2.0, 3.0, 3
69.0, 1.0, 1.0, 160.0, 234.0, 1.0, 2.0, 131.0, 0.0, 0.1, 2.0, 1.0, 3.0, 0
57.0, 1.0, 3.0, 150.0, 126.0, 1.0, 0.0, 173.0, 0.0, 0.2, 1.0, 1.0, 7.0, 0
45.0, 1.0, 4.0, 142.0, 309.0, 0.0, 2.0, 147.0, 1.0, 0.0, 2.0, 3.0, 7.0, 3
56.0, 1.0, 1.0, 120.0, 193.0, 0.0, 2.0, 162.0, 0.0, 1.9, 2.0, 0.0, 7.0, 0
63.0, 0.0, 4.0, 108.0, 269.0, 0.0, 0.0, 169.0, 1.0, 1.8, 2.0, 2.0, 3.0, 1
55.0, 0.0, 4.0, 180.0, 327.0, 0.0, 1.0, 117.0, 1.0, 3.4, 2.0, 0.0, 3.0, 2
49.0, 0.0, 2.0, 134.0, 271.0, 0.0, 0.0, 162.0, 0.0, 0.0, 2.0, 0.0, 3.0, 0
