@relation unknow
@attribute a01 real [0.0, 1.0]
@attribute a02 real [0.0, 0.0]
@attribute a03 real [-1.0, 1.0]
@attribute a04 real [-1.0, 1.0]
@attribute a05 real [-1.0, 1.0]
@attribute a06 real [-1.0, 1.0]
@attribute a07 real [-1.0, 1.0]
@attribute a08 real [-1.0, 1.0]
@attribute a09 real [-1.0, 1.0]
@attribute a10 real [-1.0, 1.0]
@attribute a11 real [-1.0, 1.0]
@attribute a12 real [-1.0, 1.0]
@attribute a13 real [-1.0, 1.0]
@attribute a14 real [-1.0, 1.0]
@attribute a15 real [-1.0, 1.0]
@attribute a16 real [-1.0, 1.0]
@attribute a17 real [-1.0, 1.0]
@attribute a18 real [-1.0, 1.0]
@attribute a19 real [-1.0, 1.0]
@attribute a20 real [-1.0, 1.0]
@attribute a21 real [-1.0, 1.0]
@attribute a22 real [-1.0, 1.0]
@attribute a23 real [-1.0, 1.0]
@attribute a24 real [-1.0, 1.0]
@attribute a25 real [-1.0, 1.0]
@attribute a26 real [-1.0, 1.0]
@attribute a27 real [-1.0, 1.0]
@attribute a28 real [-1.0, 1.0]
@attribute a29 real [-1.0, 1.0]
@attribute a30 real [-1.0, 1.0]
@attribute a31 real [-1.0, 1.0]
@attribute a32 real [-1.0, 1.0]
@attribute a33 real [-1.0, 1.0]
@attribute a34 real [-1.0, 1.0]
@attribute class {b, g}
@inputs a01, a02, a03, a04, a05, a06, a07, a08, a09, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34
@outputs class
@data
1.0, 0.0, 0.84177, 0.4346, 0.5, 0.7616, 0.09916, 0.9346, -0.37764, 0.88186, -0.72363, 0.61181, -0.93882, 0.19409, -0.86709, -0.25527, -0.62869, -0.65612, -0.25105, -0.85654, 0.16245, -0.86498, 0.51477, -0.66878, 0.74895, -0.28903, 0.77937, 0.07933, 0.64135, 0.42827, 0.31435, 0.62447, -0.00422, 0.69409, g
1.0, 0.0, 0.99701, 0.21677, 0.91966, 0.4703, 0.76902, 0.62415, 0.53312, 0.7812, 0.36774, 0.88291, 0.10107, 0.83312, -0.06827, 0.89274, -0.28269, 0.72073, -0.43707, 0.61688, -0.55769, 0.4812, -0.65, 0.35534, -0.64658, 0.15908, -0.66651, 0.02277, -0.64872, -0.13462, -0.54615, -0.22949, -0.47201, -0.35032, g
1.0, 0.0, 0.86284, 0.1931, 0.8092, 0.41149, 0.67203, 0.55785, 0.54559, 0.69962, 0.36705, 0.81533, 0.19617, 0.85671, -0.04061, 0.86284, -0.17241, 0.75785, -0.341, 0.65747, -0.48199, 0.56092, -0.6023, 0.40996, -0.59234, 0.25747, -0.63038, 0.08818, -0.57241, -0.07816, -0.54866, -0.19923, -0.42912, -0.31954, g
1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.9101, 1.0, -0.2697, 1.0, -0.83152, 1.0, -1.0, 1.0, -1.0, 0.72526, -1.0, -0.57779, -1.0, -0.42052, -1.0, -1.0, -0.52838, -1.0, 0.90014, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -0.34686, 1.0, 0.34845, g
1.0, 0.0, 1.0, 0.5782, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -0.62796, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, b
1.0, 0.0, 0.84557, -0.0858, -0.31745, -0.80553, -0.08961, -0.56435, 0.80648, 0.04576, 0.89514, -0.00763, -0.18494, 0.63966, -0.20019, -0.68065, 0.85701, -0.11344, 0.77979, -0.15729, -0.06959, 0.5081, -0.34128, 0.80934, 0.78932, -0.03718, 0.70882, -0.25288, 0.77884, -0.14109, -0.21354, -0.7817, -0.18494, -0.59867, b
1.0, 0.0, 0.86889, -0.07111, 1.0, -0.02494, 1.0, -0.06889, 0.87778, 0.00222, 0.83556, -0.06444, 1.0, -0.07287, 1.0, -0.2, 0.86889, 0.05333, 0.88, -0.03778, 1.0, -0.11526, 1.0, -0.18667, 0.84444, 0.03556, 1.0, -0.14162, 0.82222, -0.14667, 1.0, -0.15609, 1.0, -0.44222, g
1.0, 0.0, 0.50466, -0.169, 0.71442, 0.01513, 0.71063, 0.02258, 0.68065, 0.01282, 0.34615, 0.05594, 0.6905, 0.04393, 0.68101, 0.05058, 0.67023, 0.05692, 0.63403, -0.04662, 0.64503, 0.06856, 0.63077, 0.07381, 0.84033, 0.18065, 0.59935, 0.08304, 0.38228, 0.0676, 0.56466, 0.09046, 0.54632, 0.09346, g
1.0, 0.0, 0.52542, -0.0339, 0.94915, 0.08475, 0.52542, -0.16949, 0.30508, -0.01695, 0.50847, -0.13559, 0.64407, 0.28814, 0.83051, -0.35593, 0.54237, 0.01695, 0.55932, 0.0339, 0.59322, 0.30508, 0.86441, 0.05085, 0.40678, 0.15254, 0.67287, -0.00266, 0.66102, -0.0339, 0.83051, -0.15254, 0.76271, -0.10169, g
1.0, 0.0, 0.83479, 0.28993, 0.69256, 0.47702, 0.49234, 0.68381, 0.21991, 0.86761, -0.08096, 0.85011, -0.35558, 0.77681, -0.52735, 0.58425, -0.7035, 0.31291, -0.75821, 0.03939, -0.71225, -0.15317, -0.58315, -0.39168, -0.37199, -0.52954, -0.1695, -0.60863, 0.08425, -0.61488, 0.25164, -0.48468, 0.40591, -0.35339, g
1.0, 0.0, -1.0, -1.0, -0.50694, 1.0, 1.0, -1.0, 1.0, 0.53819, 0.0, 0.0, 0.23958, -1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, -0.71528, 1.0, 0.33333, -1.0, 1.0, -1.0, 0.69792, -1.0, 0.47569, 1.0, b
1.0, 0.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.0, 0.0, 1.0, -1.0, 1.0, -1.0, b
1.0, 0.0, 0.91353, 0.81586, -0.72973, 1.0, -0.39466, 0.55735, 0.05405, 0.2973, -0.18599, -0.10241, -0.03158, -0.0897, 0.01401, -0.03403, 0.01108, -0.00537, 0.00342, 9.7E-4, 4.8E-4, 7.5E-4, -3.0E-5, 1.9E-4, -3.0E-5, 2.0E-5, -1.0E-5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, b
1.0, 0.0, 0.5894, -0.60927, 0.8543, 0.55298, 0.81126, 0.07285, 0.56623, 0.16225, 0.32781, 0.24172, 0.50331, 0.12252, 0.63907, 0.19868, 0.71854, 0.42715, 0.54305, 0.13907, 0.65232, 0.27815, 0.68874, 0.07285, 0.51872, 0.26653, 0.49013, 0.27687, 0.46216, 0.28574, 0.43484, 0.29324, 0.40821, 0.29942, g
