@relation unknow
@attribute Led1 {0, 1}
@attribute Led2 {0, 1}
@attribute Led3 {0, 1}
@attribute Led4 {0, 1}
@attribute Led5 {0, 1}
@attribute Led6 {0, 1}
@attribute Led7 {0, 1}
@attribute number {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs Led1, Led2, Led3, Led4, Led5, Led6, Led7
@outputs number
@data
0, 1, 1, 0, 1, 1, 1, 0
1, 1, 1, 0, 0, 1, 1, 0
1, 1, 1, 0, 1, 1, 1, 0
0, 0, 1, 0, 0, 1, 0, 1
0, 0, 1, 0, 0, 1, 0, 1
0, 1, 1, 0, 0, 1, 0, 1
1, 0, 1, 1, 1, 0, 1, 2
1, 0, 1, 1, 1, 0, 1, 2
1, 1, 1, 1, 1, 1, 1, 2
0, 0, 1, 1, 0, 1, 1, 3
1, 0, 1, 1, 0, 0, 1, 3
1, 0, 1, 1, 0, 1, 1, 3
1, 0, 1, 1, 0, 1, 1, 3
1, 0, 1, 1, 0, 1, 1, 3
1, 1, 1, 1, 1, 1, 1, 3
0, 1, 0, 1, 0, 1, 0, 4
0, 1, 1, 1, 0, 1, 0, 4
0, 1, 1, 1, 0, 1, 0, 4
0, 1, 1, 1, 0, 1, 0, 4
0, 1, 1, 1, 0, 1, 1, 4
1, 1, 0, 1, 0, 1, 0, 5
1, 1, 0, 1, 0, 1, 1, 5
1, 1, 0, 1, 0, 1, 1, 5
1, 1, 0, 1, 0, 1, 1, 5
1, 1, 0, 1, 1, 1, 1, 6
1, 0, 0, 0, 0, 0, 0, 7
1, 0, 1, 0, 0, 1, 0, 7
1, 0, 1, 0, 0, 1, 0, 7
1, 0, 1, 0, 1, 1, 0, 7
1, 1, 1, 0, 0, 1, 0, 7
1, 1, 0, 1, 1, 1, 0, 8
1, 1, 1, 1, 1, 0, 1, 8
1, 1, 1, 1, 1, 1, 1, 8
1, 1, 0, 1, 0, 1, 1, 9
1, 1, 1, 1, 0, 1, 1, 9
1, 1, 1, 1, 0, 1, 1, 9
1, 1, 1, 0, 1, 1, 1, 0
1, 0, 0, 0, 1, 0, 1, 2
1, 0, 1, 0, 0, 0, 1, 2
1, 0, 1, 1, 1, 0, 1, 2
0, 0, 1, 0, 0, 0, 0, 3
1, 0, 1, 1, 0, 1, 1, 3
1, 0, 1, 1, 0, 1, 1, 3
0, 1, 0, 1, 0, 1, 1, 4
0, 1, 1, 1, 0, 1, 0, 4
0, 1, 1, 1, 1, 1, 0, 4
1, 0, 0, 0, 0, 1, 1, 5
1, 1, 0, 1, 0, 0, 1, 5
1, 1, 0, 1, 0, 1, 1, 5
1, 0, 0, 1, 1, 1, 1, 6
1, 1, 0, 1, 0, 1, 1, 6
1, 1, 0, 1, 1, 1, 1, 6
1, 1, 0, 1, 1, 1, 1, 6
1, 1, 1, 1, 1, 1, 1, 6
0, 0, 1, 0, 0, 1, 0, 7
1, 0, 1, 0, 0, 1, 0, 7
1, 0, 1, 0, 0, 1, 0, 7
1, 0, 1, 1, 0, 1, 0, 7
0, 1, 0, 1, 1, 1, 1, 8
1, 0, 1, 1, 1, 1, 1, 8
1, 1, 1, 1, 1, 1, 0, 8
1, 1, 1, 1, 1, 1, 1, 8
0, 1, 1, 1, 1, 1, 1, 9
1, 1, 1, 1, 0, 1, 1, 9
1, 1, 1, 1, 0, 1, 1, 9
1, 1, 1, 0, 1, 1, 1, 0
1, 1, 1, 0, 1, 1, 1, 0
1, 1, 1, 1, 1, 1, 1, 0
0, 0, 1, 0, 0, 0, 0, 1
0, 0, 1, 0, 0, 1, 0, 1
0, 0, 1, 0, 0, 1, 0, 1
0, 0, 0, 1, 1, 0, 1, 2
1, 0, 1, 1, 0, 0, 1, 2
1, 0, 1, 1, 1, 0, 1, 2
1, 0, 1, 1, 1, 1, 1, 2
0, 0, 1, 1, 0, 1, 1, 3
1, 0, 1, 1, 0, 1, 1, 3
1, 0, 1, 1, 0, 1, 1, 3
1, 0, 1, 1, 0, 1, 1, 3
0, 0, 1, 1, 0, 1, 0, 4
0, 1, 0, 1, 0, 1, 0, 4
0, 1, 1, 1, 0, 1, 0, 4
0, 1, 1, 1, 0, 1, 0, 4
1, 0, 0, 1, 0, 0, 1, 5
1, 1, 0, 1, 0, 0, 1, 5
1, 1, 0, 1, 0, 1, 1, 5
1, 1, 0, 0, 1, 1, 1, 6
1, 1, 0, 1, 1, 1, 1, 6
1, 1, 0, 1, 1, 1, 1, 6
0, 0, 1, 0, 0, 1, 0, 7
1, 0, 1, 0, 0, 1, 0, 7
1, 0, 1, 0, 0, 1, 0, 7
0, 1, 1, 1, 1, 0, 1, 8
1, 1, 0, 1, 1, 1, 1, 8
1, 1, 1, 1, 1, 1, 1, 8
1, 1, 1, 1, 1, 1, 1, 8
1, 1, 1, 1, 1, 1, 1, 8
1, 1, 0, 0, 0, 1, 1, 9
1, 1, 1, 1, 0, 1, 0, 9
1, 1, 1, 1, 1, 1, 1, 9
1, 1, 1, 0, 0, 1, 1, 0
1, 1, 1, 0, 1, 1, 1, 0
1, 1, 1, 0, 1, 1, 1, 0
1, 1, 1, 0, 1, 1, 1, 0
0, 0, 1, 0, 0, 1, 0, 1
0, 0, 1, 0, 0, 1, 0, 1
1, 0, 0, 0, 0, 1, 0, 1
0, 0, 1, 0, 1, 0, 1, 2
1, 0, 1, 0, 1, 0, 0, 2
1, 0, 1, 1, 1, 0, 1, 2
1, 1, 1, 1, 1, 0, 1, 2
0, 0, 1, 1, 0, 1, 1, 3
1, 0, 1, 1, 0, 1, 0, 3
1, 0, 1, 1, 0, 1, 1, 3
1, 0, 1, 1, 0, 1, 1, 3
0, 1, 1, 0, 0, 1, 0, 4
0, 1, 1, 1, 0, 1, 0, 4
0, 1, 1, 1, 0, 1, 0, 4
0, 1, 1, 1, 0, 1, 1, 4
1, 1, 0, 0, 0, 1, 0, 5
1, 1, 0, 1, 0, 1, 0, 5
1, 1, 0, 1, 0, 1, 1, 5
1, 1, 0, 1, 0, 1, 1, 5
1, 1, 0, 1, 0, 1, 1, 5
0, 1, 0, 1, 1, 1, 1, 6
1, 1, 0, 0, 1, 1, 0, 6
1, 1, 0, 1, 1, 1, 1, 6
1, 1, 0, 1, 1, 1, 1, 6
0, 0, 1, 0, 0, 1, 0, 7
1, 0, 0, 0, 0, 1, 0, 7
1, 0, 1, 0, 0, 1, 0, 7
1, 0, 1, 0, 0, 1, 0, 7
1, 0, 1, 0, 1, 1, 1, 7
1, 0, 1, 1, 1, 1, 1, 8
1, 1, 0, 1, 0, 1, 1, 8
1, 1, 1, 1, 1, 1, 1, 8
1, 1, 1, 1, 1, 1, 1, 8
1, 1, 1, 1, 1, 1, 1, 8
1, 0, 1, 1, 0, 1, 1, 9
1, 1, 1, 0, 0, 1, 1, 9
1, 1, 1, 1, 0, 1, 1, 9
1, 1, 1, 1, 1, 1, 1, 9
1, 0, 0, 0, 1, 1, 1, 0
1, 1, 1, 0, 1, 1, 1, 0
1, 1, 1, 0, 1, 1, 1, 0
1, 1, 1, 0, 1, 1, 1, 0
1, 1, 1, 1, 1, 1, 1, 0
0, 0, 1, 0, 0, 1, 0, 1
0, 0, 1, 0, 0, 1, 0, 1
0, 0, 0, 1, 1, 0, 0, 2
1, 0, 1, 1, 0, 0, 1, 2
1, 0, 1, 1, 1, 0, 1, 2
1, 0, 1, 1, 1, 0, 1, 2
1, 0, 1, 1, 1, 0, 1, 2
1, 0, 1, 1, 0, 0, 1, 3
1, 0, 1, 1, 0, 1, 1, 3
1, 0, 1, 1, 0, 1, 1, 3
1, 0, 1, 1, 0, 1, 1, 3
1, 1, 1, 1, 0, 1, 1, 3
0, 1, 0, 1, 0, 1, 0, 4
0, 1, 1, 1, 0, 1, 0, 4
0, 1, 0, 1, 0, 1, 1, 5
1, 1, 0, 1, 0, 1, 1, 5
1, 0, 0, 0, 1, 1, 1, 6
1, 1, 0, 1, 1, 0, 1, 6
1, 1, 0, 1, 1, 1, 1, 6
0, 0, 1, 1, 0, 0, 1, 7
1, 0, 1, 0, 0, 1, 0, 7
1, 0, 1, 0, 0, 1, 0, 7
1, 0, 1, 0, 0, 1, 0, 7
1, 0, 1, 1, 0, 1, 1, 8
1, 1, 1, 1, 0, 1, 1, 8
1, 1, 1, 1, 1, 0, 1, 8
1, 1, 1, 1, 1, 1, 1, 8
1, 1, 1, 1, 1, 1, 1, 8
0, 1, 1, 1, 0, 1, 1, 9
1, 1, 1, 0, 1, 1, 1, 9
1, 0, 1, 0, 0, 1, 1, 0
1, 1, 0, 0, 1, 1, 1, 0
1, 1, 1, 0, 1, 1, 1, 0
1, 1, 1, 0, 1, 1, 1, 0
0, 0, 0, 0, 0, 1, 0, 1
0, 0, 1, 0, 0, 1, 0, 1
0, 0, 1, 1, 1, 0, 1, 2
1, 0, 1, 1, 0, 0, 1, 2
1, 0, 1, 1, 1, 0, 1, 2
