@relation page-blocks
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {1, 2, 3, 4, 5}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
6, 18, 108, 3.0, 0.287, 0.741, 4.43, 31, 80, 7, 1
5, 2, 10, 0.4, 0.8, 1.0, 8.0, 8, 10, 1, 1
5, 19, 95, 3.8, 0.232, 0.4, 5.5, 22, 38, 4, 1
7, 103, 721, 14.714, 0.295, 0.691, 1.76, 213, 498, 121, 1
3, 113, 339, 37.667, 0.41, 0.472, 13.9, 139, 160, 10, 2
3, 59, 177, 19.667, 0.475, 0.475, 84.0, 84, 84, 1, 2
9, 21, 189, 2.333, 0.429, 0.772, 3.0, 81, 146, 27, 1
2, 22, 44, 11.0, 0.75, 0.75, 33.0, 33, 33, 1, 2
8, 95, 760, 11.875, 0.303, 0.937, 1.77, 230, 712, 130, 1
9, 92, 828, 10.222, 0.292, 0.843, 2.05, 242, 698, 118, 1
1, 44, 44, 44.0, 0.25, 1.0, 2.2, 11, 44, 5, 2
11, 20, 220, 1.818, 0.168, 0.75, 3.36, 37, 165, 11, 1
10, 126, 1260, 12.6, 0.425, 0.862, 2.68, 536, 1086, 200, 1
9, 13, 117, 1.444, 0.239, 0.462, 4.67, 28, 54, 6, 1
9, 75, 675, 8.333, 0.256, 0.606, 2.19, 173, 409, 79, 1
9, 40, 360, 4.444, 0.356, 0.967, 2.29, 128, 348, 56, 1
8, 48, 384, 6.0, 0.302, 0.914, 1.76, 116, 351, 66, 1
9, 47, 423, 5.222, 0.274, 0.747, 2.42, 116, 316, 48, 1
9, 41, 369, 4.556, 0.301, 0.886, 1.91, 111, 327, 58, 1
1, 57, 57, 57.0, 0.456, 1.0, 3.71, 26, 57, 7, 2
10, 152, 1520, 15.2, 0.297, 0.778, 2.17, 452, 1182, 208, 1
1, 12, 12, 12.0, 0.583, 1.0, 3.5, 7, 12, 2, 1
6, 27, 162, 4.5, 0.154, 0.481, 2.78, 25, 78, 9, 1
7, 17, 119, 2.429, 0.227, 0.58, 2.7, 27, 69, 10, 1
1, 12, 12, 12.0, 0.583, 1.0, 3.5, 7, 12, 2, 1
11, 8, 88, 0.727, 0.705, 1.0, 7.75, 62, 88, 8, 1
11, 7, 77, 0.636, 0.468, 1.0, 3.6, 36, 77, 10, 1
10, 21, 210, 2.1, 0.329, 0.843, 2.56, 69, 177, 27, 1
9, 19, 171, 2.111, 0.292, 0.76, 2.63, 50, 130, 19, 1
9, 34, 306, 3.778, 0.337, 0.817, 1.81, 103, 250, 57, 1
10, 13, 130, 1.3, 0.108, 0.685, 2.33, 14, 89, 6, 1
9, 82, 738, 9.111, 0.252, 0.74, 2.0, 186, 546, 93, 1
9, 34, 306, 3.778, 0.379, 0.961, 1.71, 116, 294, 68, 1
11, 26, 286, 2.364, 0.297, 0.941, 2.02, 85, 269, 42, 1
7, 33, 231, 4.714, 0.143, 0.844, 2.36, 33, 195, 14, 1
9, 84, 756, 9.333, 0.288, 0.791, 1.83, 218, 598, 119, 1
5, 2, 10, 0.4, 0.8, 0.8, 8.0, 8, 8, 1, 4
9, 20, 180, 2.222, 0.261, 0.556, 2.35, 47, 100, 20, 1
9, 22, 198, 2.444, 0.298, 0.965, 2.11, 59, 191, 28, 1
1, 45, 45, 45.0, 0.756, 1.0, 5.67, 34, 45, 6, 2
7, 35, 245, 5.0, 0.453, 0.873, 2.47, 111, 214, 45, 1
5, 3, 15, 0.6, 0.467, 1.0, 7.0, 7, 15, 1, 1
4, 47, 188, 11.75, 0.298, 0.739, 2.33, 56, 139, 24, 1
11, 9, 99, 0.818, 0.465, 0.818, 9.2, 46, 81, 5, 1
12, 73, 876, 6.083, 0.257, 0.591, 2.14, 225, 518, 105, 1
8, 17, 136, 2.125, 0.353, 0.801, 2.0, 48, 109, 24, 1
9, 82, 738, 9.111, 0.343, 0.913, 2.02, 253, 674, 125, 1
8, 53, 424, 6.625, 0.37, 0.901, 1.76, 157, 382, 89, 1
11, 84, 924, 7.636, 0.251, 0.681, 1.77, 232, 629, 131, 1
42, 7, 294, 0.167, 0.282, 0.432, 2.18, 83, 127, 38, 4
8, 122, 976, 15.25, 0.227, 0.65, 1.44, 222, 634, 154, 1
11, 96, 1056, 8.727, 0.331, 0.954, 4.32, 350, 1007, 81, 1
9, 80, 720, 8.889, 0.338, 0.954, 2.04, 243, 687, 119, 1
