@relation unknow
@attribute A1 real [-6879.0, 6285.0]
@attribute A2 real [-7141.0, 6921.0]
@attribute A3 real [-7734.0, 7611.0]
@attribute A4 real [-6627.0, 7149.0]
@attribute A5 real [-7184.0, 6383.0]
@attribute A6 real [-6946.0, 6743.0]
@attribute A7 real [-7781.0, 6285.0]
@attribute A8 real [-6882.0, 6357.0]
@attribute A9 real [-7184.0, 7487.0]
@attribute A10 real [-7232.0, 6757.0]
@attribute A11 real [-7803.0, 7208.0]
@attribute A12 real [-7395.0, 6791.0]
@attribute A13 real [-7096.0, 6403.0]
@attribute A14 real [-7472.0, 7261.0]
@attribute A15 real [-7342.0, 7372.0]
@attribute A16 real [-7121.0, 6905.0]
@attribute A17 real [-7163.0, 7175.0]
@attribute A18 real [-8778.0, 6896.0]
@attribute A19 real [-7554.0, 5726.0]
@attribute A20 real [-6722.0, 7627.0]
@attribute class {0, 1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20
@outputs class
@data
132.0, -1984.0, -2962.0, 1367.0, 749.0, 546.0, 849.0, -3196.0, 3687.0, 82.0, 584.0, -1438.0, -483.0, 717.0, -1868.0, -52.0, -2509.0, 1391.0, 4448.0, 3737.0, 0
722.0, 1.0, -3476.0, 161.0, -281.0, -1687.0, -1441.0, -94.0, 2444.0, -2449.0, -126.0, 2178.0, 33.0, 335.0, 344.0, -1961.0, 1389.0, -1497.0, 4755.0, -2818.0, 0
974.0, 1316.0, 1044.0, 32.0, 1189.0, 592.0, 472.0, 1748.0, 637.0, -821.0, 61.0, -801.0, 413.0, -1208.0, 47.0, 736.0, 326.0, 295.0, -208.0, 1504.0, 1
-323.0, 1815.0, 973.0, 2249.0, -14.0, -29.0, -158.0, 555.0, -122.0, -176.0, -379.0, 2975.0, -1025.0, 654.0, -1614.0, -3776.0, -402.0, 2638.0, 5253.0, -65.0, 0
707.0, -469.0, 1215.0, 91.0, 814.0, 818.0, 118.0, 6.0, -1016.0, -509.0, 1916.0, 1406.0, -404.0, -3.0, 1366.0, 1353.0, 1719.0, -114.0, -1221.0, 887.0, 1
514.0, 1885.0, -584.0, 198.0, -2843.0, -881.0, 1004.0, -2508.0, -507.0, 558.0, 2587.0, 887.0, -1171.0, -2446.0, -275.0, 377.0, 535.0, -1323.0, 1042.0, -2276.0, 0
-187.0, 602.0, 989.0, 2078.0, -1484.0, 729.0, 45.0, -555.0, 753.0, -628.0, -1324.0, 627.0, 135.0, 241.0, -1012.0, -227.0, 3.0, 1726.0, -104.0, 796.0, 1
-2186.0, 927.0, 495.0, -2936.0, 1911.0, 1033.0, 3751.0, 1452.0, 3556.0, 19.0, -5035.0, -142.0, -3168.0, -4486.0, -3579.0, -95.0, -369.0, 1552.0, 1707.0, 746.0, 0
-564.0, 59.0, 41.0, -1038.0, 925.0, 22.0, 114.0, 1141.0, -6.0, 2002.0, 1174.0, -137.0, -318.0, 418.0, 464.0, 26.0, 215.0, 1114.0, -151.0, 1212.0, 1
1806.0, 1336.0, 353.0, -201.0, 408.0, -354.0, -412.0, -94.0, -2352.0, 516.0, 345.0, -1597.0, 342.0, 412.0, -1028.0, 135.0, 713.0, -854.0, 406.0, 52.0, 1
3137.0, -1585.0, 1051.0, -2812.0, -2528.0, -1049.0, 2705.0, -812.0, -2296.0, -715.0, -592.0, 186.0, 1676.0, 546.0, 3.0, 232.0, -1958.0, -2134.0, 1201.0, 547.0, 0
1356.0, 199.0, -304.0, 904.0, 1652.0, -465.0, 2321.0, -333.0, 1252.0, -866.0, 4.0, 1126.0, 377.0, -243.0, -974.0, 1203.0, 87.0, 254.0, 99.0, 1116.0, 1
-207.0, -163.0, 39.0, 2712.0, -1.0, 345.0, -2723.0, 524.0, -21.0, -1243.0, 125.0, -316.0, 45.0, 1337.0, 2614.0, -906.0, -1914.0, 3215.0, 2153.0, 239.0, 0
164.0, -1484.0, -451.0, 48.0, -2155.0, 148.0, -2022.0, -1563.0, 433.0, 1942.0, -124.0, 812.0, -1716.0, -192.0, 2722.0, 717.0, -228.0, -137.0, -2492.0, 985.0, 0
73.0, 1875.0, 3183.0, -1748.0, 1402.0, 63.0, -165.0, -2974.0, 111.0, -3406.0, 329.0, -2385.0, 114.0, 48.0, -1484.0, -2979.0, -511.0, 34.0, -1638.0, 557.0, 0
47.0, 1338.0, -1678.0, -2967.0, -101.0, 7.0, -2546.0, -937.0, -798.0, 1893.0, 544.0, -192.0, 1674.0, 187.0, -1768.0, -187.0, -164.0, 1383.0, 3572.0, -506.0, 0
463.0, 182.0, 1123.0, -174.0, 628.0, 841.0, -248.0, 966.0, 48.0, 1697.0, 1299.0, 279.0, 146.0, 1483.0, 868.0, 1281.0, -577.0, 456.0, 1734.0, 828.0, 1
1324.0, -333.0, -2784.0, -495.0, -1231.0, 238.0, 1221.0, -2703.0, 4271.0, -2386.0, 379.0, -304.0, 1106.0, -434.0, -1549.0, 1617.0, 971.0, 912.0, -1417.0, 496.0, 0
562.0, 597.0, 1214.0, 704.0, 63.0, -923.0, -537.0, -385.0, -11.0, -1088.0, 996.0, 272.0, 1952.0, 946.0, -44.0, 1223.0, 1054.0, 1238.0, 67.0, 272.0, 1
-608.0, 166.0, 756.0, -2453.0, 443.0, 841.0, 116.0, 1064.0, 646.0, 389.0, 2006.0, 1156.0, 857.0, 306.0, 229.0, 823.0, 2772.0, 1441.0, -118.0, 1029.0, 1
373.0, -709.0, 167.0, 129.0, 725.0, 1086.0, -794.0, 897.0, 1439.0, 99.0, -1291.0, -137.0, 355.0, 9.0, 311.0, -627.0, -626.0, -19.0, 1274.0, 337.0, 1
21.0, -159.0, -19.0, 908.0, 1428.0, -456.0, 422.0, -1594.0, 2176.0, 214.0, 237.0, -856.0, 977.0, -11.0, -32.0, 1646.0, 443.0, 1146.0, 353.0, 1294.0, 1
-1249.0, 775.0, 859.0, -416.0, 1543.0, -48.0, -2646.0, 52.0, 524.0, -4103.0, 164.0, 3797.0, 3742.0, 127.0, 1544.0, -334.0, -246.0, 907.0, -172.0, -6.0, 0
-205.0, -385.0, 231.0, -333.0, 3058.0, -826.0, -142.0, -626.0, -1748.0, 519.0, 1126.0, 849.0, 216.0, -96.0, -41.0, 147.0, 413.0, 159.0, 9.0, 2846.0, 1
-866.0, -433.0, 359.0, 1755.0, -1099.0, 1282.0, 149.0, 887.0, 2744.0, -1664.0, 1212.0, 1326.0, 38.0, 1638.0, -402.0, -717.0, 1442.0, 248.0, 1581.0, 1985.0, 1
-1212.0, 52.0, 3286.0, 1299.0, 995.0, -21.0, 289.0, 2197.0, -1523.0, 1582.0, 74.0, -17.0, 1067.0, -932.0, -202.0, -874.0, -232.0, -182.0, 15.0, 352.0, 1
-721.0, 7.0, 1713.0, -1429.0, 1182.0, -3952.0, -1772.0, -535.0, -2293.0, 628.0, 4006.0, 1017.0, -276.0, 576.0, 759.0, -3696.0, -256.0, -322.0, 1686.0, -2809.0, 0
668.0, -1165.0, 3415.0, -691.0, -2187.0, 1622.0, -517.0, 1495.0, -2538.0, 1704.0, -489.0, -396.0, -1539.0, -398.0, -21.0, -1024.0, -1104.0, -1556.0, -2147.0, 3068.0, 0
