@relation sonar
@attribute Band1 real [0.0020, 0.137]
@attribute Band2 real [0.0010, 0.234]
@attribute Band3 real [0.0020, 0.306]
@attribute Band4 real [0.0060, 0.426]
@attribute Band5 real [0.0070, 0.401]
@attribute Band6 real [0.01, 0.382]
@attribute Band7 real [0.0030, 0.373]
@attribute Band8 real [0.0060, 0.459]
@attribute Band9 real [0.0080, 0.683]
@attribute Band10 real [0.011, 0.711]
@attribute Band11 real [0.029, 0.734]
@attribute Band12 real [0.024, 0.706]
@attribute Band13 real [0.018, 0.713]
@attribute Band14 real [0.027, 0.997]
@attribute Band15 real [0.0030, 1.0]
@attribute Band16 real [0.016, 0.999]
@attribute Band17 real [0.035, 1.0]
@attribute Band18 real [0.038, 1.0]
@attribute Band19 real [0.049, 1.0]
@attribute Band20 real [0.066, 1.0]
@attribute Band21 real [0.051, 1.0]
@attribute Band22 real [0.022, 1.0]
@attribute Band23 real [0.056, 1.0]
@attribute Band24 real [0.024, 1.0]
@attribute Band25 real [0.024, 1.0]
@attribute Band26 real [0.092, 1.0]
@attribute Band27 real [0.048, 1.0]
@attribute Band28 real [0.028, 1.0]
@attribute Band29 real [0.014, 1.0]
@attribute Band30 real [0.061, 1.0]
@attribute Band31 real [0.048, 0.966]
@attribute Band32 real [0.04, 0.931]
@attribute Band33 real [0.048, 1.0]
@attribute Band34 real [0.021, 0.965]
@attribute Band35 real [0.022, 1.0]
@attribute Band36 real [0.0080, 1.0]
@attribute Band37 real [0.035, 0.95]
@attribute Band38 real [0.038, 1.0]
@attribute Band39 real [0.037, 0.986]
@attribute Band40 real [0.012, 0.93]
@attribute Band41 real [0.036, 0.9]
@attribute Band42 real [0.0060, 0.825]
@attribute Band43 real [0.0, 0.773]
@attribute Band44 real [0.0, 0.776]
@attribute Band45 real [0.0, 0.703]
@attribute Band46 real [0.0, 0.729]
@attribute Band47 real [0.0, 0.552]
@attribute Band48 real [0.0, 0.334]
@attribute Band49 real [0.0, 0.198]
@attribute Band50 real [0.0, 0.082]
@attribute Band51 real [0.0, 0.1]
@attribute Band52 real [0.0010, 0.071]
@attribute Band53 real [0.0, 0.039]
@attribute Band54 real [0.0010, 0.035]
@attribute Band55 real [0.0010, 0.045]
@attribute Band56 real [0.0, 0.039]
@attribute Band57 real [0.0, 0.036]
@attribute Band58 real [0.0, 0.044]
@attribute Band59 real [0.0, 0.036]
@attribute Band60 real [0.0010, 0.044]
@attribute Type {R, M}
@inputs Band1, Band2, Band3, Band4, Band5, Band6, Band7, Band8, Band9, Band10, Band11, Band12, Band13, Band14, Band15, Band16, Band17, Band18, Band19, Band20, Band21, Band22, Band23, Band24, Band25, Band26, Band27, Band28, Band29, Band30, Band31, Band32, Band33, Band34, Band35, Band36, Band37, Band38, Band39, Band40, Band41, Band42, Band43, Band44, Band45, Band46, Band47, Band48, Band49, Band50, Band51, Band52, Band53, Band54, Band55, Band56, Band57, Band58, Band59, Band60
@outputs Type
@data
0.012, 0.031, 0.017, 0.031, 0.036, 0.01, 0.018, 0.058, 0.112, 0.084, 0.055, 0.085, 0.203, 0.256, 0.187, 0.203, 0.146, 0.285, 0.582, 0.773, 0.785, 0.852, 0.531, 0.365, 0.597, 0.828, 1.0, 0.867, 0.63, 0.459, 0.394, 0.258, 0.282, 0.264, 0.276, 0.27, 0.399, 0.458, 0.394, 0.252, 0.178, 0.135, 0.052, 0.034, 0.089, 0.086, 0.087, 0.044, 0.013, 0.022, 0.019, 0.013, 0.026, 0.022, 0.0070, 0.012, 0.0030, 0.0090, 0.0010, 0.0040, R
0.0080, 0.0090, 0.0060, 0.025, 0.034, 0.055, 0.053, 0.096, 0.101, 0.124, 0.11, 0.122, 0.187, 0.338, 0.323, 0.272, 0.394, 0.643, 0.727, 0.867, 0.967, 0.985, 0.948, 0.804, 0.683, 0.514, 0.309, 0.083, 0.402, 0.234, 0.19, 0.124, 0.172, 0.235, 0.249, 0.365, 0.338, 0.159, 0.099, 0.109, 0.104, 0.084, 0.139, 0.082, 0.068, 0.066, 0.12, 0.069, 0.015, 0.027, 0.017, 0.018, 0.013, 0.0090, 0.01, 0.0020, 0.0060, 0.0060, 0.0060, 0.0030, R
0.027, 0.0090, 0.014, 0.028, 0.041, 0.076, 0.103, 0.114, 0.079, 0.152, 0.168, 0.137, 0.136, 0.134, 0.214, 0.535, 0.683, 0.56, 0.309, 0.323, 0.443, 0.557, 0.578, 0.617, 0.813, 0.982, 0.982, 0.917, 0.742, 0.774, 0.847, 0.735, 0.667, 0.608, 0.624, 0.597, 0.572, 0.524, 0.292, 0.154, 0.2, 0.203, 0.221, 0.178, 0.135, 0.137, 0.075, 0.047, 0.032, 0.018, 0.0040, 0.0080, 0.0010, 0.0020, 0.0070, 0.0040, 0.012, 0.013, 0.0070, 0.0090, R
0.013, 0.015, 0.064, 0.173, 0.256, 0.256, 0.295, 0.411, 0.498, 0.592, 0.583, 0.542, 0.547, 0.531, 0.498, 0.698, 0.829, 0.784, 0.822, 0.936, 1.0, 0.922, 0.784, 0.547, 0.456, 0.592, 0.545, 0.397, 0.088, 0.238, 0.2, 0.059, 0.254, 0.201, 0.033, 0.155, 0.121, 0.245, 0.317, 0.32, 0.305, 0.084, 0.127, 0.138, 0.114, 0.052, 0.0070, 0.028, 0.037, 0.012, 0.015, 0.0090, 0.0040, 0.01, 0.012, 0.0010, 0.018, 0.0090, 0.012, 0.0060, R
0.021, 0.013, 0.053, 0.057, 0.065, 0.143, 0.134, 0.204, 0.157, 0.157, 0.233, 0.178, 0.151, 0.192, 0.206, 0.231, 0.236, 0.13, 0.381, 0.586, 0.45, 0.488, 1.0, 0.868, 0.472, 0.534, 0.62, 0.714, 0.56, 0.373, 0.248, 0.192, 0.139, 0.332, 0.288, 0.323, 0.261, 0.204, 0.24, 0.132, 0.068, 0.033, 0.072, 0.098, 0.079, 0.052, 0.05, 0.023, 0.022, 0.014, 0.031, 0.039, 0.015, 0.0020, 0.01, 0.01, 0.0080, 0.018, 0.011, 0.0070, R
0.0090, 0.027, 0.022, 0.034, 0.03, 0.117, 0.145, 0.064, 0.074, 0.136, 0.213, 0.374, 0.374, 0.267, 0.233, 0.537, 0.731, 0.766, 0.627, 0.44, 0.433, 0.433, 0.554, 0.736, 0.859, 0.899, 0.942, 0.94, 0.938, 0.858, 0.728, 0.67, 0.755, 0.877, 0.992, 0.992, 0.942, 0.839, 0.66, 0.482, 0.292, 0.177, 0.114, 0.07, 0.158, 0.194, 0.111, 0.069, 0.018, 0.02, 0.031, 0.021, 0.0090, 0.0060, 0.0090, 0.0090, 0.0070, 0.012, 0.0060, 0.011, R
0.019, 0.0040, 0.064, 0.045, 0.033, 0.069, 0.09, 0.145, 0.074, 0.035, 0.146, 0.347, 0.32, 0.282, 0.017, 0.057, 0.216, 0.456, 0.382, 0.563, 0.648, 0.724, 0.824, 0.877, 1.0, 0.858, 0.656, 0.509, 0.482, 0.453, 0.452, 0.453, 0.538, 0.531, 0.536, 0.527, 0.426, 0.244, 0.12, 0.384, 0.411, 0.507, 0.422, 0.248, 0.159, 0.112, 0.065, 0.079, 0.032, 0.0070, 0.0030, 0.0090, 0.012, 0.011, 0.0090, 0.014, 0.0070, 0.0020, 0.0060, 0.012, R
0.012, 0.058, 0.062, 0.06, 0.14, 0.188, 0.142, 0.145, 0.049, 0.086, 0.214, 0.372, 0.266, 0.211, 0.11, 0.114, 0.193, 0.414, 0.328, 0.622, 0.747, 0.768, 0.787, 0.825, 1.0, 0.948, 0.754, 0.601, 0.544, 0.539, 0.562, 0.514, 0.608, 0.562, 0.596, 0.608, 0.502, 0.283, 0.048, 0.281, 0.342, 0.515, 0.437, 0.247, 0.171, 0.134, 0.084, 0.076, 0.03, 0.0070, 0.0070, 0.0020, 0.01, 0.0070, 0.012, 0.0070, 0.0080, 0.0070, 0.0030, 0.014, R
0.022, 0.0020, 0.0080, 0.01, 0.044, 0.091, 0.089, 0.066, 0.162, 0.145, 0.144, 0.095, 0.062, 0.164, 0.071, 0.084, 0.259, 0.268, 0.309, 0.468, 0.596, 0.724, 0.877, 0.921, 0.928, 0.994, 1.0, 0.907, 0.854, 0.729, 0.65, 0.607, 0.559, 0.597, 0.628, 0.546, 0.479, 0.396, 0.209, 0.165, 0.184, 0.065, 0.076, 0.049, 0.035, 0.03, 0.024, 0.038, 0.012, 0.0070, 0.0050, 0.0030, 0.013, 0.01, 0.0040, 0.0060, 0.0030, 0.0040, 0.0020, 0.0030, R
0.014, 0.0040, 0.0050, 0.029, 0.056, 0.093, 0.103, 0.088, 0.16, 0.191, 0.158, 0.111, 0.12, 0.117, 0.142, 0.222, 0.266, 0.271, 0.386, 0.572, 0.68, 0.875, 1.0, 0.895, 0.842, 0.917, 0.931, 0.905, 0.823, 0.699, 0.583, 0.492, 0.456, 0.516, 0.567, 0.528, 0.514, 0.374, 0.228, 0.119, 0.109, 0.043, 0.107, 0.058, 0.0050, 0.047, 0.041, 0.029, 0.019, 0.0090, 0.0020, 0.0040, 0.0080, 0.01, 0.01, 0.0020, 0.0040, 0.0030, 0.0030, 0.0030, R
