@relation unknow
@attribute a1 real [-4014.0, 3578.0]
@attribute a2 real [-3961.0, 4345.0]
@attribute a3 real [-3902.0, 4404.0]
@attribute a4 real [-3889.0, 4259.0]
@attribute a5 real [-3649.0, 4213.0]
@attribute a6 real [-3533.0, 3913.0]
@attribute a7 real [-3733.0, 4452.0]
@attribute a8 real [-4574.0, 3865.0]
@attribute a9 real [-3814.0, 4254.0]
@attribute a10 real [-3908.0, 4083.0]
@attribute a11 real [-3494.0, 4095.0]
@attribute a12 real [-3826.0, 4302.0]
@attribute a13 real [-3945.0, 3782.0]
@attribute a14 real [-3852.0, 4124.0]
@attribute a15 real [-3698.0, 3548.0]
@attribute a16 real [-3698.0, 4244.0]
@attribute a17 real [-3943.0, 3723.0]
@attribute a18 real [-4065.0, 4056.0]
@attribute a19 real [-4122.0, 4324.0]
@attribute a20 real [-3783.0, 4279.0]
@attribute class {0, 1}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20
@outputs class
@data
-476.0, -1622.0, -189.0, -86.0, 95.0, -1235.0, 38.0, -827.0, -214.0, -309.0, -677.0, -1707.0, -998.0, 1356.0, -632.0, -1397.0, -199.0, -1019.0, 79.0, 2019.0, 1
1159.0, 959.0, 45.0, -354.0, -768.0, 111.0, 1371.0, -22.0, -1006.0, 2037.0, -979.0, 1586.0, -1095.0, 85.0, -843.0, -1025.0, 1322.0, 593.0, 2806.0, 1832.0, 0
-66.0, 122.0, 225.0, 227.0, -1084.0, 268.0, 11.0, 899.0, -758.0, -1501.0, 478.0, -839.0, -872.0, -1276.0, 116.0, 63.0, -426.0, -809.0, -1173.0, 1136.0, 1
1349.0, -1261.0, -482.0, 808.0, 181.0, 167.0, -1583.0, 1061.0, -901.0, 1002.0, -1841.0, -551.0, 61.0, -701.0, -157.0, -36.0, -3477.0, -925.0, -1298.0, -231.0, 1
-1722.0, 661.0, 1098.0, -69.0, 113.0, 3164.0, 306.0, 368.0, 756.0, -714.0, 1322.0, 1739.0, 153.0, -292.0, 231.0, 1581.0, -954.0, -69.0, 244.0, -1152.0, 0
829.0, 292.0, 1009.0, -34.0, 1458.0, -194.0, -377.0, 451.0, -602.0, 232.0, 1598.0, 1799.0, -1167.0, 37.0, 1782.0, -451.0, 1224.0, -308.0, 1036.0, 898.0, 0
-824.0, -1092.0, -408.0, -377.0, -2331.0, 1088.0, -897.0, -624.0, 32.0, -2622.0, 746.0, -272.0, -676.0, 518.0, -122.0, -1695.0, -427.0, -1151.0, -1171.0, -819.0, 1
-388.0, -423.0, -1064.0, -854.0, -914.0, -1756.0, -62.0, 1334.0, 64.0, -15.0, -205.0, -1176.0, -1174.0, -1391.0, -422.0, -1329.0, -992.0, -515.0, -12.0, -195.0, 1
-1798.0, 25.0, 509.0, -64.0, 313.0, 884.0, 886.0, 72.0, -2566.0, -873.0, 163.0, 154.0, -1791.0, 862.0, 176.0, 442.0, -834.0, -1196.0, 1371.0, -104.0, 1
-1221.0, -454.0, -792.0, -1329.0, 781.0, -788.0, -531.0, -335.0, -312.0, 37.0, 399.0, -2202.0, -207.0, -974.0, -958.0, -1466.0, -668.0, -1163.0, -294.0, -1631.0, 1
1125.0, -582.0, -1686.0, 234.0, -87.0, -1512.0, 147.0, 1035.0, -1291.0, -545.0, -789.0, -2645.0, -1071.0, 105.0, -165.0, -1579.0, -2394.0, 35.0, -1568.0, -528.0, 1
-789.0, 888.0, 1084.0, -121.0, -1502.0, 45.0, 1261.0, 106.0, 784.0, -1638.0, -648.0, 501.0, -107.0, -1081.0, 27.0, 1694.0, -1572.0, 132.0, -8.0, -73.0, 1
1682.0, -513.0, 1691.0, -951.0, -1.0, 501.0, -317.0, 68.0, -726.0, 404.0, -1717.0, 696.0, -706.0, -254.0, -2395.0, -964.0, -342.0, -155.0, -1339.0, -876.0, 1
2837.0, 1224.0, -984.0, -439.0, 1717.0, 1308.0, 42.0, 1372.0, 197.0, 16.0, -154.0, 5.0, 878.0, -374.0, -646.0, 1646.0, -1022.0, 453.0, 1915.0, -171.0, 0
-465.0, 658.0, 422.0, 163.0, 113.0, -895.0, 1925.0, 143.0, 1968.0, 1716.0, 816.0, 72.0, -1064.0, 286.0, -75.0, 1185.0, 42.0, 1308.0, 883.0, 7.0, 0
-1126.0, 163.0, 206.0, 88.0, -109.0, -958.0, 988.0, 578.0, 1216.0, 4.0, -817.0, -1815.0, -1102.0, 517.0, -2604.0, -453.0, -8.0, -874.0, -1589.0, -1388.0, 1
1815.0, 896.0, -1159.0, -14.0, -1359.0, 1108.0, 736.0, 1316.0, 111.0, 665.0, 2468.0, 1952.0, 1069.0, 1054.0, 123.0, 2029.0, 391.0, -1516.0, -39.0, 2622.0, 0
438.0, 1185.0, -761.0, 196.0, -2204.0, 2027.0, -171.0, 347.0, 4.0, 1238.0, -105.0, -296.0, -1742.0, -1148.0, 563.0, -226.0, -1051.0, -888.0, -382.0, 155.0, 1
-958.0, 94.0, 1892.0, 56.0, -74.0, 1392.0, 1212.0, 1567.0, 8.0, 46.0, 241.0, -58.0, 342.0, 404.0, 919.0, 1586.0, 293.0, 1584.0, 824.0, -1633.0, 0
-663.0, 67.0, -84.0, 68.0, 1141.0, 808.0, 236.0, 39.0, -255.0, 518.0, -758.0, -12.0, 1115.0, -2203.0, -594.0, 265.0, 148.0, -898.0, 788.0, 855.0, 0
35.0, 708.0, -117.0, -39.0, 931.0, -948.0, -1074.0, 1056.0, 59.0, 487.0, -145.0, -722.0, 1099.0, 66.0, 384.0, 219.0, 1169.0, 1028.0, 1556.0, 1176.0, 0
