@relation unknow
@attribute a1 real [-4014.0, 3578.0]
@attribute a2 real [-3961.0, 4345.0]
@attribute a3 real [-3902.0, 4404.0]
@attribute a4 real [-3889.0, 4259.0]
@attribute a5 real [-3649.0, 4213.0]
@attribute a6 real [-3533.0, 3913.0]
@attribute a7 real [-3733.0, 4452.0]
@attribute a8 real [-4574.0, 3865.0]
@attribute a9 real [-3814.0, 4254.0]
@attribute a10 real [-3908.0, 4083.0]
@attribute a11 real [-3494.0, 4095.0]
@attribute a12 real [-3826.0, 4302.0]
@attribute a13 real [-3945.0, 3782.0]
@attribute a14 real [-3852.0, 4124.0]
@attribute a15 real [-3698.0, 3548.0]
@attribute a16 real [-3698.0, 4244.0]
@attribute a17 real [-3943.0, 3723.0]
@attribute a18 real [-4065.0, 4056.0]
@attribute a19 real [-4122.0, 4324.0]
@attribute a20 real [-3783.0, 4279.0]
@attribute class {0, 1}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20
@outputs class
@data
-103.0, -724.0, -172.0, -178.0, -1335.0, -16.0, -734.0, 45.0, -71.0, -1038.0, -789.0, -45.0, 1068.0, -1598.0, -1062.0, 1262.0, -67.0, -599.0, -534.0, 215.0, 1
-1951.0, 29.0, -968.0, -988.0, -65.0, 407.0, -307.0, 355.0, -24.0, -877.0, -61.0, -1916.0, -1067.0, -947.0, 1003.0, -1316.0, 126.0, -306.0, -965.0, 1291.0, 1
-1274.0, 139.0, -441.0, 452.0, -1451.0, -644.0, -472.0, 705.0, 135.0, -416.0, 238.0, 1008.0, 886.0, -1523.0, 676.0, 983.0, 1531.0, 259.0, 1.0, -715.0, 0
-1134.0, 767.0, 1523.0, -2033.0, -226.0, 1787.0, 738.0, 9.0, 1013.0, 352.0, 1206.0, 292.0, -849.0, 393.0, 651.0, -919.0, 553.0, -162.0, 1223.0, 1917.0, 0
-1016.0, -273.0, -116.0, 509.0, -341.0, 35.0, 1881.0, 1409.0, 226.0, 425.0, 1573.0, 262.0, 65.0, -194.0, -1903.0, -847.0, 828.0, 392.0, 323.0, 653.0, 0
-205.0, 2166.0, -1404.0, 56.0, 15.0, -2712.0, -981.0, -688.0, -435.0, -143.0, -1254.0, -375.0, 1004.0, -376.0, 373.0, -1064.0, 914.0, 579.0, 665.0, -111.0, 1
-1203.0, 906.0, -113.0, 1527.0, -989.0, 135.0, 306.0, -213.0, 2837.0, 561.0, 1249.0, -396.0, 533.0, 1903.0, 711.0, -845.0, 1319.0, 1055.0, 109.0, -566.0, 0
-1595.0, -1032.0, -1552.0, -2161.0, 536.0, -156.0, -164.0, -1076.0, -89.0, -4.0, -554.0, -842.0, -7.0, 194.0, -607.0, -965.0, 83.0, 1417.0, 187.0, -2366.0, 1
-476.0, -1622.0, -189.0, -86.0, 95.0, -1235.0, 38.0, -827.0, -214.0, -309.0, -677.0, -1707.0, -998.0, 1356.0, -632.0, -1397.0, -199.0, -1019.0, 79.0, 2019.0, 1
-661.0, -663.0, 53.0, -129.0, 1886.0, 424.0, -508.0, -1705.0, 1228.0, 491.0, 1196.0, 904.0, 1179.0, 1462.0, -708.0, 264.0, -742.0, -168.0, 121.0, 1576.0, 0
1814.0, 1926.0, -751.0, -952.0, 517.0, -878.0, -1327.0, 855.0, -939.0, 908.0, -136.0, 1048.0, -594.0, -1126.0, -2127.0, 1924.0, 88.0, -2392.0, -1253.0, -59.0, 1
-1115.0, -2347.0, 1185.0, -1708.0, -48.0, -327.0, -1369.0, 89.0, 839.0, 723.0, -994.0, 342.0, -3.0, 138.0, -1731.0, 755.0, -956.0, 285.0, -338.0, -758.0, 1
1101.0, -548.0, 1264.0, 1777.0, 1283.0, 143.0, 288.0, 1067.0, -1215.0, -256.0, 976.0, -1883.0, 1949.0, 221.0, 1512.0, 65.0, 182.0, -257.0, 1854.0, 64.0, 0
-841.0, -1807.0, -2027.0, -552.0, 69.0, -1357.0, -518.0, -814.0, -604.0, 195.0, 88.0, -1176.0, 1116.0, 386.0, -336.0, -101.0, 856.0, -957.0, -699.0, 947.0, 1
707.0, 344.0, -185.0, -1346.0, -1815.0, 2042.0, 1322.0, 308.0, 161.0, 188.0, -176.0, 918.0, 148.0, 79.0, 37.0, 671.0, 95.0, 858.0, -56.0, 267.0, 0
1159.0, 959.0, 45.0, -354.0, -768.0, 111.0, 1371.0, -22.0, -1006.0, 2037.0, -979.0, 1586.0, -1095.0, 85.0, -843.0, -1025.0, 1322.0, 593.0, 2806.0, 1832.0, 0
-66.0, 122.0, 225.0, 227.0, -1084.0, 268.0, 11.0, 899.0, -758.0, -1501.0, 478.0, -839.0, -872.0, -1276.0, 116.0, 63.0, -426.0, -809.0, -1173.0, 1136.0, 1
285.0, 1173.0, 748.0, 1849.0, 311.0, -139.0, -75.0, -1026.0, 1942.0, 226.0, 2987.0, 2732.0, 896.0, 499.0, 1388.0, 1228.0, -92.0, 198.0, 801.0, 505.0, 0
