dataSetname,fuzzyMeasure,dat,training,testing
appendicitis,5,1,96.42857142857143,86.36363636363636
appendicitis,5,2,98.82352941176471,61.904761904761905
appendicitis,5,3,96.47058823529412,85.71428571428571
appendicitis,5,4,95.29411764705883,85.71428571428571
appendicitis,5,5,96.47058823529412,80.95238095238095
appendicitis,50,1,95.23809523809524,81.81818181818181
appendicitis,50,2,97.6470588235294,76.19047619047619
appendicitis,50,3,95.29411764705883,85.71428571428571
appendicitis,50,4,95.29411764705883,90.47619047619048
appendicitis,50,5,96.47058823529412,85.71428571428571
balance,5,1,89.8,80.0
balance,5,2,89.4,83.2
balance,5,3,88.6,85.6
balance,5,4,89.6,82.4
balance,5,5,89.2,80.8
balance,50,1,89.4,78.4
balance,50,2,87.4,77.6
balance,50,3,89.0,83.2
balance,50,4,89.0,76.0
balance,50,5,89.6,81.6
banana,5,1,87.94811320754717,85.37735849056604
banana,5,2,88.56132075471699,86.22641509433963
banana,5,3,87.0754716981132,86.79245283018868
banana,5,4,85.94339622641509,85.66037735849056
banana,5,5,88.06603773584905,87.54716981132076
banana,50,1,84.15094339622641,81.50943396226415
banana,50,2,84.12735849056604,81.50943396226415
banana,50,3,84.10377358490567,83.39622641509433
banana,50,4,83.60849056603773,84.71698113207547
banana,50,5,83.51415094339623,83.01886792452831
bands,5,1,90.0,66.66666666666667
bands,5,2,88.73720136518772,77.77777777777777
bands,5,3,89.00343642611683,62.16216216216216
bands,5,4,91.49659863945578,70.4225352112676
bands,5,5,89.72602739726027,65.75342465753425
bands,50,1,90.6896551724138,65.33333333333333
bands,50,2,88.39590443686006,61.111111111111114
bands,50,3,89.34707903780068,62.16216216216216
bands,50,4,89.79591836734694,73.2394366197183
bands,50,5,89.38356164383562,68.4931506849315
bupa,5,1,78.6231884057971,66.66666666666667
bupa,5,2,85.5072463768116,66.66666666666667
bupa,5,3,81.52173913043478,69.56521739130434
bupa,5,4,80.07246376811594,63.768115942028984
bupa,5,5,81.8840579710145,68.1159420289855
bupa,50,1,78.26086956521739,63.768115942028984
bupa,50,2,83.33333333333333,62.31884057971015
bupa,50,3,80.07246376811594,55.072463768115945
bupa,50,4,78.98550724637681,60.869565217391305
bupa,50,5,77.17391304347827,68.1159420289855
cleveland,5,1,88.18565400843882,55.0
cleveland,5,2,91.56118143459915,50.0
cleveland,5,3,89.49579831932773,64.40677966101696
cleveland,5,4,91.17647058823529,52.54237288135593
cleveland,5,5,89.49579831932773,55.932203389830505
cleveland,50,1,90.29535864978902,58.333333333333336
cleveland,50,2,89.0295358649789,53.333333333333336
cleveland,50,3,90.33613445378151,55.932203389830505
cleveland,50,4,90.75630252100841,52.54237288135593
cleveland,50,5,89.91596638655462,55.932203389830505
contraceptive,5,1,61.120543293718164,54.91525423728814
contraceptive,5,2,61.884550084889646,49.152542372881356
contraceptive,5,3,61.37521222410866,50.16949152542373
contraceptive,5,4,62.6802374893978,53.06122448979592
contraceptive,5,5,61.15351993214588,48.97959183673469
contraceptive,50,1,61.79966044142615,52.20338983050848
contraceptive,50,2,60.18675721561969,47.45762711864407
contraceptive,50,3,61.37521222410866,52.20338983050848
contraceptive,50,4,61.32315521628499,51.02040816326531
contraceptive,50,5,61.83206106870229,49.31972789115646
ecoli,5,1,91.41791044776119,70.58823529411765
ecoli,5,2,90.70631970260223,82.08955223880596
ecoli,5,3,90.70631970260223,73.13432835820896
ecoli,5,4,91.44981412639405,73.13432835820896
ecoli,5,5,93.3085501858736,83.58208955223881
ecoli,50,1,91.04477611940298,72.05882352941177
ecoli,50,2,92.19330855018588,77.61194029850746
ecoli,50,3,90.70631970260223,73.13432835820896
ecoli,50,4,89.59107806691449,79.1044776119403
ecoli,50,5,92.93680297397769,88.05970149253731
glass,5,1,81.87134502923976,62.7906976744186
glass,5,2,85.96491228070175,60.46511627906977
glass,5,3,84.7953216374269,62.7906976744186
glass,5,4,80.11695906432749,69.76744186046511
glass,5,5,81.97674418604652,64.28571428571429
glass,50,1,81.87134502923976,55.81395348837209
glass,50,2,87.71929824561404,65.11627906976744
glass,50,3,84.7953216374269,65.11627906976744
glass,50,4,81.28654970760233,62.7906976744186
glass,50,5,83.13953488372093,61.904761904761905
haberman,5,1,85.24590163934427,80.64516129032258
haberman,5,2,81.63265306122449,65.57377049180327
haberman,5,3,82.04081632653062,72.1311475409836
haberman,5,4,84.89795918367346,70.49180327868852
haberman,5,5,82.04081632653062,73.77049180327869
haberman,50,1,83.19672131147541,79.03225806451613
haberman,50,2,82.44897959183673,70.49180327868852
haberman,50,3,82.44897959183673,75.40983606557377
haberman,50,4,84.48979591836735,72.1311475409836
haberman,50,5,83.26530612244898,77.04918032786885
hayes-roth,5,1,89.52380952380952,88.88888888888889
hayes-roth,5,2,91.42857142857143,77.77777777777777
hayes-roth,5,3,91.50943396226415,84.61538461538461
hayes-roth,5,4,91.50943396226415,73.07692307692308
hayes-roth,5,5,91.50943396226415,73.07692307692308
hayes-roth,50,1,89.52380952380952,88.88888888888889
hayes-roth,50,2,91.42857142857143,81.48148148148148
hayes-roth,50,3,91.50943396226415,80.76923076923077
hayes-roth,50,4,91.50943396226415,73.07692307692308
hayes-roth,50,5,91.50943396226415,69.23076923076923
ionosphere,5,1,98.92857142857143,87.32394366197182
ionosphere,5,2,99.644128113879,92.85714285714286
ionosphere,5,3,99.28825622775801,87.14285714285714
ionosphere,5,4,98.57651245551601,95.71428571428571
ionosphere,5,5,98.57651245551601,87.14285714285714
ionosphere,50,1,98.57142857142857,85.91549295774648
ionosphere,50,2,99.28825622775801,91.42857142857143
ionosphere,50,3,100.0,82.85714285714286
ionosphere,50,4,98.932384341637,94.28571428571429
ionosphere,50,5,98.57651245551601,84.28571428571429
iris,5,1,98.33333333333333,96.66666666666667
iris,5,2,97.5,96.66666666666667
iris,5,3,99.16666666666667,90.0
iris,5,4,100.0,83.33333333333333
iris,5,5,100.0,90.0
iris,50,1,97.5,100.0
iris,50,2,98.33333333333333,96.66666666666667
iris,50,3,99.16666666666667,90.0
iris,50,4,99.16666666666667,93.33333333333333
iris,50,5,100.0,90.0
led7digit,5,1,72.75,68.0
led7digit,5,2,80.75,58.0
led7digit,5,3,76.25,72.0
led7digit,5,4,73.0,73.0
led7digit,5,5,73.5,70.0
led7digit,50,1,72.75,68.0
