dataSet,5.0-TRA,5.0-TES,50.0-TRA,50.0-TES
appendicitis,96.7±1.15,80.13±9.32,95.99±0.95,83.98±4.77
balance,89.32±0.41,82.4±1.96,88.88±0.78,79.36±2.65
banana,87.52±0.92,86.32±0.78,83.9±0.28,82.83±1.22
bands,89.79±0.97,68.56±5.31,89.52±0.74,66.07±4.42
bupa,81.52±2.3,66.96±1.92,79.57±2.11,62.03±4.24
cleveland,90.08±1.31,57.2±3.79,90.92±1.97,53.78±7.36
contraceptive,61.93±0.78,49.08±2.18,62.0±0.89,49.9±2.65
ecoli,91.52±0.95,76.51±5.27,91.29±1.17,77.99±5.68
glass,82.95±2.13,64.02±3.12,83.76±2.32,62.15±3.41
haberman,83.17±1.56,72.52±4.9,83.17±0.75,74.82±3.13
hayes-roth,92.03±1.15,76.88±7.55,92.03±1.15,77.5±6.96
ionosphere,99.29±0.5,92.32±3.04,98.86±0.52,91.46±2.68
iris,99.0±0.97,91.33±4.99,98.83±0.85,94.0±3.89
led7digit,75.05±1.91,69.4±5.78,75.05±2.11,68.8±4.62
magic,84.55±0.22,83.56±0.3,83.86±0.38,82.57±0.13
newthyroid,98.95±0.44,94.88±2.71,98.84±0.52,93.95±1.86
page-blocks,95.59±0.08,94.81±0.86,95.23±0.15,94.7±0.74
penbased,95.03±0.2,93.83±0.33,91.69±0.31,89.98±0.46
phoneme,84.96±0.47,82.98±0.84,84.32±0.61,82.4±1.34
pima,84.6±0.96,74.6±2.35,84.83±1.06,74.34±2.48
ring,92.73±0.39,91.28±0.38,91.26±0.23,89.47±0.53
saheart,85.12±0.8,69.69±2.37,84.63±1.03,69.9±3.53
satimage,84.18±0.17,83.01±0.73,82.98±0.71,81.69±0.74
segment,95.23±0.33,92.9±0.72,94.17±0.6,90.91±0.56
shuttle,97.62±1.1,97.56±1.14,96.64±0.2,96.61±0.28
sonar,99.76±0.3,77.43±3.04,99.76±0.48,78.39±6.36
spectfheart,94.01±1.08,77.88±5.4,94.48±0.85,77.13±4.43
titanic,79.07±0.29,78.87±1.32,79.07±0.29,78.87±1.32
twonorm,93.68±0.33,91.57±0.47,89.94±0.46,86.85±0.89
vehicle,81.03±1.54,68.44±0.62,80.32±1.02,66.31±3.34
wine,99.86±0.28,93.79±3.77,99.86±0.28,94.35±3.61
wisconsin,98.98±0.27,96.2±1.05,99.05±0.07,96.5±1.81
yeast,64.02±1.65,58.42±2.39,63.39±1.04,57.28±1.7
Mean,88.75±9.38,79.86±12.49,88.12±9.35,79.0±12.67
